//Sentences
"Biofuels have, apart from the positive C02 effect, other environmental effects too.", "Vid sidan om den positiva koldioxideffekten har biobränslen också andra miljöeffekter."
"A considerable proportion of the C02 that we all send into the atmosphere is accounted for by car exhaust fumes.", "En ansenlig mängd av den koldioxid som vi alla sänder ut i atmosfären utgörs av ångor från bilavgaser."
"Thirdly, it should become possible to include substances other than C02 if this can be backed by scientific proof.", "För det tredje borde det bli möjligt att inkludera andra ämnen än koldioxid, om detta kan stödjas med vetenskapliga belägg."
"Our irresponsible and profligate use of energy, with its consequential emissions of C02 and other environmental hazards must stop.", "Vår oansvariga och slösaktiga användning av energi och därmed förenade utsläpp av koldioxid och andra miljöfaror måste stoppas."
"Forests are, of course, important storages of C02 but the potential for expansion of forests in the EU is limited, even if welcome.", "Skogar är, naturligtvis, viktiga för lagring av koldioxid, men potentialen för utbredning av skogar i EU är, om än välkommen, dock begränsad."
"This would give C02 a price tag and promote innovation, particularly more efficient engines and more economical and better use of fuel.", "Detta skulle sätta ett pris på koldioxiden och främja innovationer, särskilt effektivare motorer och mer ekonomisk och bättre bränsleanvändning."
"One such Christmas bauble is, for example, the C02 multiplier, while the CE study shows that including non-C02 effects is very difficult to measure.", "Ett exempel på detta är multiplikatorn på koldioxidutsläpp, samtidigt som Europeiska kommissionens studie visar att medföljande icke-koldioxideffekter är mycket svåra att mäta."
"It is a voluntary scheme and it is hoped that between now and 2015 savings of 10 terawatt hours and 5 million tonnes of C02 emissions will be achieved in the EU through this scheme.", "Det är ett frivilligt system och förhoppningen är att mellan i dag och år 2015 kommer man att spara 10 terawatttimmar och 5 miljoner ton utsläpp av koldioxid i EU genom detta system."
"more_vert open_in_new Link to Linköpings Universitet warning Request revision The picture of the car is a CAD rendering.", "expand_more Bilden på bilen är en cad-rendering."
"more_vert open_in_new Link to Linköpings Universitet warning Request revision Bilden på bilen är en cad-rendering.", "expand_more The picture of the car is a CAD rendering."
"It has cost CAD 2 billion in replacement costs.", "Det har kostat 2 miljarder kanadensiska dollar till återanskaffningsvärde."
"Canada spent CAD 90 million on such a system, and the Union must make a similar effort.", "I Kanada har man lagt ner 90 miljoner kanadensiska dollar på det. Europeiska unionen kan förvänta sig något liknande."
