//Sentences
"more_vert open_in_new Link to Mozilla warning Request revision to or CC", "expand_more till eller kopia"
"more_vert open_in_new Link to Open Office warning Request revision For example, the third number of the second level is " cc ".", "expand_more Tredje numreringen på andra nivån blir alltså " cc "."
"more_vert open_in_new Link to Open Office warning Request revision Tredje numreringen på andra nivån blir alltså " cc ".", "expand_more For example, the third number of the second level is " cc "."
"This amendment means that all fishing vessels would have to have CCTV.", "Detta ändringsförslag innebär att alla fiskefartyg måste ha kameraövervakningssystem (CCTV)."
"In France, CCTV cameras cover the public transport system.", "I Frankrike täcks det allmänna transportsystemet av övervakningskameror."
"The whole operation could be policed by attaching weatherproof CCTV cameras to every vessel.", "Hela operationen skulle kunna övervakas genom att väderbeständiga övervakningskameror monteras på alla fartyg."
"The Commission will closely follow developments at the CCW review conference.", "Kommissionen kommer att nära följa utvecklingen vid översynskonferensen om CCW."
"What outcome to the Third Review Conference on CCW does the Council expect?", "Vilka resultat förväntar sig rådet av den tredje översynskonferensen om CCW-konventionen?"
"Does the Council support efforts to universalise the CCW?", "Stödjer rådet insatser för att göra CCW-konventionen universell?"
"Does the Council support efforts to introduce compliance mechanisms for the implementation of the CCW?", "Stödjer rådet insatser för att införa mekanismer som säkrar att CCW-konventionen efterlevs?"
"Therefore, the EU has proposed that the work of the CCW Group of Governmental Experts should be continued in 2007.", "Därför har EU föreslagit att CCW-gruppen med regeringsexperter ska fortsätta sitt arbete under 2007."
"The Third Review Conference of the CCW has a good, though not perhaps optimal, chance of success.", "Det finns en god, även om den kanske inte är optimal, chans att den tredje konferensen om översyn av CCW-konventionen blir framgångsrik."
"The revision of the CCW is still at the level of working groups: one on anti-vehicles mines, the other on submunitions.", "Revideringen av CCW befinner sig fortfarande på arbetsgruppsnivå: en för fordonsminor och en annan för substridsdelar."
"The EU Member States, however, do not have a shared view on how to deal with the rather restricted area of cluster bombs within the framework of the CCW.", "EU:s medlemsstater är dock inte eniga om hur det tämligen begränsade området för klusterbomber ska hanteras inom ramen för CCW-konventionen."
"The Third Review Conference on the Convention on Certain Conventional Weapons (CCW) will be held in Geneva during the period from 7 to 17 November 2006.", "Den tredje översynskonferensen om konventionen om förbud mot vissa konventionella vapen (CCW-konventionen) kommer att hållas i Genève den 7–17 november 2006."
"We unanimously condemn the unbelievable attempt by the USA, Russia and China at the last Geneva conference to legalise cluster munitions within the CCW.", "Vi fördömer enhälligt det häpnadsväckande försöket av Förenta staterna, Ryssland och Kina att legalisera klustervapen inom CCW vid den senaste Genève-konferensen."
"The universalisation of Protocol V to the CCW on Explosive Remnants of War and its effective implementation mean that we all have to make an effort.", "Om protokoll V i CCW-konventionen om explosiva lämningar efter krig ska kunna göras allmängiltigt och genomförandet av det ska bli effektivt måste vi alla göra en insats."
"The Commission is fully engaged in implementing a common course of action, adopted by the Council last year, in favour of the universal nature of the CCW and its Protocols.", "Kommissionen är fullt engagerad i att genomföra en gemensam handlingsväg, som antogs av rådet förra året, till förmån för den allmänna karaktären hos CCW och dess protokoll."
"EU Member States are signatories to some of the protocols of the CCW, and the EU has actively supported actions against anti-personnel landmines and provided assistance for mine clearance.", "EU:s medlemsstater är signatärer till vissa av protokollen till denna konvention, och EU har aktivt stött åtgärder mot truppminor samt tillhandahållit bistånd för minröjning."
"We expect that the European Union will continue to campaign for a legally binding ban on cluster munitions as part of the UN Convention on Certain Conventional Weapons (CCW).", "Vi förväntar oss att Europeiska unionen kommer att fortsätta att propagera för ett rättsligt bindande förbud av klustervapen som en del av FN-konventionen om vissa konventionella vapen (CCW)."
"more_vert open_in_new Link to European Parliament warning Request revision The Commission also wished to limit the extensive pirate copying of CDs and CD-ROMs.", "expand_more Kommissionen ville dessutom begränsa den omfattande piratkopieringen av CD-romskivor."
"more_vert open_in_new Link to European Parliament warning Request revision Vi är väl alla överens om att det är CD-skivan som skall patenteras, inte verken av Dante eller Shakespeare.", "expand_more I think we all agree that it is the compact disc which can be patented, not the work of Dante or Shakespeare."
"more_vert open_in_new Link to European Parliament warning Request revision Kommissionen ville dessutom begränsa den omfattande piratkopieringen av CD-romskivor.", "expand_more The Commission also wished to limit the extensive pirate copying of CDs and CD-ROMs."
"We need European computer programs for education: CD-ROM or Internet-based.", "Vi behöver europeiska dataprogram för undervisning, t.ex."
"CdTe cells enable producers to achieve higher profits than is the case with silicon cells.", "Celler med kadmiumtellurid gör det möjligt för tillverkare att göra större vinster än silikonceller."
"On the basis of earlier decisions by the CD coalition, this post was awarded to the Polish Member, Mr Saryusz-Wolski.", "Enligt tidigare beslut av den kristdemokratiska koalitionen tilldelades den polska ledamoten Jacek Saryusz-Wolski denna befattning."
"And I burned you a new CD, see?", "Och... din nya skiva."
"And one of my biggest failures as a marketer in the last few years, a record label I started that had a CD called "Sauce."", "Hur artisten Jeff Koons gick från att vara ingen till att grova pengar och ha stort inflytande, till hur Frank Gehry omdefinierade vad det innebär att vara arkitekt."
