//Sentences
"We see a danger, for example, in the uncontrolled use of DNA testing.", "En risk ser vi till exempel vid okontrollerad användning av DNA-tester."
"Here we have a person declaring his innocence and asking to undergo DNA testing.", "I det här aktuella fallet gäller det en person som hävdar att han är oskyldig och som begär att få bli DNA-testad."
"Since the advent of DNA testing and mobile communications of a world nature, we have available to us tools for good and for bad.", "En av mina sista uppgifter på inrikesdepartementet under 1990-talet var att tillsätta en granskningskommission för brottmål."
"Offering DNA testing is either a cross-border service, or DNA tests are products traded in the internal market.", "Att erbjuda DNA-tester är inte en gränsöverskridande tjänst, och DNA-testerna är inte heller en produkt som det handlas med på den inre marknaden."
"Since the advent of DNA testing and mobile communications of a world nature, we have available to us tools for good and for bad.", "Sedan DNA-testerna och de mobila kommunikationerna började användas runtom i världen har vi fått tillgång till verktyg som både hjälper och stjälper."
"The question of sport broadly departs from the framework of sport proper.", "Idrottsfrågan går i stor utsträckning inom ramen för de egentliga idrottsgrenarna."
"It is a shame the draft resolution departs from the premises of the explanatory statement.", "Det är beklagligt att resolutionsförslaget tar avstånd från premisserna i motiveringen!"
"There can hardly be an amendment that departs further from the text than one that deletes a paragraph.", "Det finns knappast något förslag som går längre än till att ett stycke stryks."
"The Bourlanges report contains a resolution that departs from the norm.", "I och med Bourlanges betänkande förslår parlamentet en resolution som skiljer sig från de vanliga."
"We support the Convention's compromise despite the fact that, on a number of points, it departs from our own positions.", "Vi stöder konventets kompromiss trots att den på ett antal punkter avviker från våra ställningstaganden."
"You also said that the Italian Presidency’ s position is clear: it advocates a text which departs from the Convention’ s draft as little as possible.", "Begreppet “ så lite som möjligt ” är emellertid fullständigt öppet för tolkning och godtycke."
"So I believe it would be more logical to vote first on the amendment that departs furthest from the original position.", "Jag tror därför att det är logiskt att först rösta om det ändringsförslag som går längst jämfört med den ursprungliga ståndpunkten."
"So I believe it would be more logical to vote first on the amendment that departs furthest from the original position.", "Där föreslås ett totalförbud mot markörer för antibiotikaresistens, vilket inte är fallet med ändringsförslag 37, eftersom det endast gäller del C av direktivet."
"The Council has only accepted certain parts of Parliament's proposals and totally departs from Parliament's criteria for interconnection points.", "Rådet övertog parlamentets hållning endast på vissa villkor och sällade sig inte alls till parlamentet vad gäller kriterierna för knutpunkter."
"You also said that the Italian Presidency’s position is clear: it advocates a text which departs from the Convention’s draft as little as possible.", "Ni sade även att det italienska ordförandeskapets ståndpunkt är tydlig: det förordar en text som avviker så lite som möjligt från konventets utkast."
"And in my view, an amendment that seeks to delete a paragraph always departs further from the text than an amendment that seeks to replace it.", "Jag tycker att ett ändringsförslag som syftar till att ett stycke skall bortfalla alltid är mer långtgående än ett ändringsförslag som syftar till att byta ut det mot andra."
"The Commission has therefore already communicated its agreement in principle with the Council's point of view, even though it departs somewhat from the Commission's initial proposal.", "Därför har kommissionen redan meddelat att den principiellt instämmer i rådets åsikt, även om denna skiljer sig en aning från kommissionens ursprungliga förslag."
"The Commission has therefore already communicated its agreement in principle with the Council' s point of view, even though it departs somewhat from the Commission' s initial proposal.", "Därför har kommissionen redan meddelat att den principiellt instämmer i rådets åsikt, även om denna skiljer sig en aning från kommissionens ursprungliga förslag."
"This kind of policy, which departs from what has been agreed upon, is not likely to create the stability and spirit that would enable us to share a common view of the future.", "Med en sådan politik, där man avviker från vad som överenskommits, skapar man inte den stabilitet och den anda, med vilken man tillsammans skulle kunna blicka långt framåt i tiden."
"Can the Council report on aspects of this case under its direct responsibility?", "Kan rådet redogöra för de aspekter av detta ärende som ligger under rådets direkta ansvar?"
"It is a fundamental issue as the Commission has a direct and specific responsibility in this field.", "Det är en väsentlig fråga eftersom kommissionen har direkt och eget ansvar på området."
"This is the direct responsibility of the Member States and the Commission.", "Detta är medlemsstaternas och kommissionens direkta ansvar."
"On this matter, I consider that you and the College have direct responsibility when it comes to the choice of tool.", "Jag anser att ni och kollegiet har ett direkt ansvar i frågan om val av styrmedel."
"But the best result of all would be if harmonised inspections were to become the direct responsibility of the government.", "Det allra bästa vore om en harmoniserad kontroll blir myndigheternas direkta ansvar."
"On specific cases, I would say that direct responsibility for monitoring trials lies with the ICRC.", "I konkreta fall skulle jag vilja säga att det är ICRC som har det direkta ansvaret för att följa processen."
"Worryingly, subcontracting may increasingly be used as a way of reducing direct social responsibility.", "Oroande nog kan underentreprenörer i allt högre grad användas för att minska det direkta sociala ansvaret."
"And within the wider Europe the Union is now itself taking direct responsibility for an important peacekeeping operation.", "Inom det större Europa tar nu också unionen själv direkt ansvar för en viktig fredsoperation."
"Without recognition of the direct and indirect responsibility for this massacre, there can be no peace.", "Utan ett erkännande av det direkta och indirekta ansvaret för denna massaker kan det heller inte bli någon fred."
"(FR) On specific cases, I would say that direct responsibility for monitoring trials lies with the ICRC.", "(FR) I konkreta fall skulle jag vilja säga att det är ICRC som har det direkta ansvaret för att följa processen."
"Direct responsibility for monitoring lies with the Member States, while the problems arise at Community level.", "Det direkta ansvaret för övervakningen ligger hos medlemsstaterna, medan problemen uppstår på gemenskapsnivå."
"What is true of Afghanistan applies far more to the Balkans, for which the European Union has a direct responsibility.", "Det som gäller för Afghanistan gäller i än högre grad för Balkan, som ligger inom EU:s direkta ansvarsområde."
"What is true of Afghanistan applies far more to the Balkans, for which the European Union has a direct responsibility.", "Det som gäller för Afghanistan gäller i än högre grad för Balkan, som ligger inom EU: s direkta ansvarsområde."
"We do not have any direct responsibility here.", "Vi har inget direkt ansvar på det området."
"Therefore, Colombia's government also has direct responsibility for stopping the paramilitaries ' campaign of terror in the country.", "Därför har Colombias regering också ett direkt ansvar för att stoppa paramilitärens terror i landet."
"Therefore, Colombia' s government also has direct responsibility for stopping the paramilitaries' campaign of terror in the country.", "Därför har Colombias regering också ett direkt ansvar för att stoppa paramilitärens terror i landet."
"The new system is still not in place, but 24 delegations have, for the time being, been given direct financial responsibility.", "Det nya systemet har ännu inte införts, men hittills har 24 delegationer fått ett direkt ekonomiskt ansvar."
"Madam President, ladies and gentlemen, I must begin by pointing out that the Commission has no direct responsibility where the law on bankruptcy is concerned.", "Jag måste börja med att påpeka att kommissionen inte har något direkt ansvar för konkurslagen."
"I understand the appeal made in this House but must point out that this is not a direct responsibility of this European Council.", "Jag förstår den begäran som här framställdes, men jag vill klargöra att den inte ingår i Europeiska rådets direkta behörighet."
"If the UN does not bear the direct responsibility for this, then better the EU than NATO with its bias toward American war policy.", "Om FN inte bär det direkta ansvaret för det så är det bättre att EU gör det än Nato, som tyngs av den amerikanska krigspolitiken."
"Be hard for any man to risk his life...... especially if he doesn't understand the reason.", "Det är svårt att riskera sitt liv, särskilt om man inte förstår varför."
"She doesn't understand what it's like to make love to a congressman.", "Hon fattar inte hur det känns att ligga med en kongressman."
"He doesn't understand business, right?", "Han förstår inte sig på affärer, eller hur?"
"That beautiful lady doesn't understand.", "Den vackra kvinnan fattar inte."
"So when they spoke into it, the computer typed out gibberish, so they said, "Well, it doesn't understand anything of what we are saying."", "Så när de talade till den, så skrev datorn ut rappakalja, så barnen sa, "Tja, den förstår inget av vad vi säger till den.""
"My son doesn't understand anything!", "Min son förstår ingenting!"
"He doesn't understand Thai!", "Han förstår inte Thailändska!"
"Responsibilities are shared between the international community, including the European Union, and domestic authorities.", "Ansvaret är delat mellan världssamfundet, inklusive EU, och de nationella myndigheterna."
"The first is the degree of involvement of Eurojust in direct communication between the domestic authorities.", "Den första är i vilken omfattning Eurojust ska vara inblandat i den direkta kommunikationen mellan de inhemska myndigheterna."
"The report confirms only two previously known facts, the Italian and the Swedish cases, which are already being dealt with by the relevant domestic authorities of these countries.", "Betänkandet bekräftar bara två redan kända fakta, det italienska och det svenska fallet, som redan behandlas av de behöriga myndigheterna i respektive land."
"Obviously, the aim is the best interests of the child, so the ability to be adopted must certainly be granted warily, under the scrupulous supervision of the competent domestic authorities.", "Syftet är naturligtvis att se till barnets bästa intresse, så möjligheten att adopteras måste ges med försiktighet och bör övervakas mycket noggrant av de behöriga nationella myndigheterna."
"Should we, for example, provide needles to drug users who live on the streets?", "Skall vi exempelvis förse hemlösa narkotikamissbrukare med nålar?"
"We must finally make the protection and health of drug users a priority.", "Vi måste slutligen prioritera narkotikaanvändarnas skydd och hälsa."
"The restrictive policy has led to dramatic reductions specifically in the number of drug users recruited.", "Den restriktiva politiken har lett till dramatiska minskningar i just nyrekryteringen av missbrukare."
"Infectious diseases such as HIV and Hepatitis B and C have reached high prevalence amongst intravenous drug users.", "Utbredningen av infektionssjukdomar som hiv och hepatit B och C är hög hos dem som använder intravenösa droger."
"Since then, policy in a number of states has been aimed at isolating, criminalising, penalising and eliminating drug users.", "Giusto Catania nämnde rapporten från Europeiska centrumet för kontroll av narkotika och narkotikamissbruk."
"The interval between diagnosis and presentation was substantially greater among injection drug users than among other risk groups.", "Tiden mellan diagnos och vård var betydligt längre bland sprutnarkomaner än bland andra riskgrupper."
"At the present time, Iran has about two million drug addicts, along with some eight million occasional drug users.", "För närvarande har Iran omkring två miljoner narkomaner, och cirka åtta miljoner invånare som använder narkotika ibland."
"I wish to take this opportunity to home in on just one aspect: infection due to the use of infected needles by drug-users.", "Jag vill bara passa på att uppmärksamma en aspekt: smitta som beror på narkotikamissbrukares användning av infekterade nålar."
"It consists of NGOs, women's groups, groups for men who have sex with men, sex workers, prisoners, drug users.", "Det består av icke-statliga organisationer, kvinnogrupper, homosexuella och bisexuella män, prostituerade, intagna i fängelser, narkomaner."
"By adopting a more liberalised stance on drugs, we could help drug users deal with their sickness and at the same time eliminate drug traffickers.", "Främjande av kriminella organisationer – vad är det, vad betyder det, vilken är den juridiska definitionen?"
"Since then, policy in a number of states has been aimed at isolating, criminalising, penalising and eliminating drug users.", "Sedan dess har politiken i ett antal länder varit inriktad på att isolera, kriminalisera, bestraffa och eliminera narkotikaanvändarna."
"The restrictive policy has led to dramatic reductions specifically in the number of drug users recruited.", "Låt mig inleda med att säga hur glad jag är över att vara här igen, och jag hoppas att vi skall ha nått en överenskommelse i morgon när omröstningen sker."
"We must take the reality of women, young people, sex workers and drug users seriously, and that reality is what we need to take as a basis.", "Vi måste ta kvinnors, ungdomars, sexarbetares och narkomaners verklighet på allvar, och använda denna verklighet som grund."
"Prohibition denies drug users the information about content that is available to everyone who enjoys an alcohol drink in the evening.", "Förbud förnekar narkotikamissbrukare den innehållsinformation som finns tillgänglig för var och en som tar sig en drink på kvällen."
"In my view, homosexuals and drug users, who are currently still considered to be criminals, are also people whose rights should be defended.", "Ursäkta mig, de homosexuella och narkomanerna som fortfarande lever olagligt, är också människor vars rättigheter vi måste försvara."
"We should also be making better use of the experiences of former drug users in the information we provide in places like schools and community centres.", "Vid sidan om det borde före detta missbrukares erfarenheter utnyttjas bättre i informationen till exempelvis skolor och ungdomsgårdar."
"In addition, we must firmly distinguish between drug dealers and drug users, although repressive policies tend to place them in the same category.", "Dessutom måste vi göra tydlig åtskillnad mellan narkotikalangare och narkotikaanvändare, även om de i bekämpningsstrategier ofta placeras i samma kategori."
"If the problem is not tackled seriously, the drug users fraternity, as a result of the existence of synthetic drugs, will extend to those outside the so-called marginalized group.", "Tar man inte genast på allvar tag i problemet kommer drogbrukarnas krets att utvidgas utanför de så kallade marginalgrupperna."
"By adopting a more liberalised stance on drugs, we could help drug users deal with their sickness and at the same time eliminate drug traffickers.", "Genom att inta en mer liberal hållning i narkotikafrågan skulle vi kunna hjälpa narkotikamissbrukare att handskas med sjukdomen och samtidigt utrota narkotikasmugglarna."
"The annual report of EuroHIV on trends in drug consumption in the European Union puts Portugal as the country with the highest number of detected cases of HIV/AIDS among drug users.", "Enligt EuroHIV:s senaste årsrapport är Portugal det land som har det största antalet upptäckta fall av hiv/aids bland narkotikamissbrukare."
"In my opinion, this can no longer be due to a shortage of time.", "Här kan det enligt min mening inte längre enbart vara fråga om tidsbrist."
"I do not wish to imply that this is due to a shortage of staff.", "Jag vill dock inte påstå att detta beror på personalbrist."
"Extremely long detentions due to a shortage of judges and overfull prisons illustrate this point.", "Extremt långa häktningstider på grund av brist på domare och på grund av överfulla fängelser belyser detta faktum."
"I should like to apologise for the lack of interpretation from Maltese, which is due to a shortage of interpreters.", "– Jag vill be om ursäkt för att det saknas tolkning från maltesiska, vilket beror på bristen på tolkar."
"Tanzania has 150 000 inhabitants who, due to a shortage of the colour pigment melanin, have red eyes, pale skin and fair hair.", "I Tanzania finns 150 000 invånare som på grund av brist på färgämnet melanin har röda ögon, blek hy och ljust hår."
"I suspect that due to the shortage of personnel in the Commission, you have decided to simply hand this year's money over in large chunks to the international organisations.", "Jag misstänker att ni på grund av personalbristen i kommissionen utan vidare vill lämna stora luckor och överföra det här årets medel till internationella organisationer."
"Whilst it is important to take one-off measures, such measures do not take account of the fact that the situation could last for many more months, due to the shortage of seed and cattle feed.", "Som en följd av liberaliseringen av handeln är jordbruket numera mycket mer utsatt för särskilda risker och kriser som jordbrukarna inte själva kan påverka."
"Whilst it is important to take one-off measures, such measures do not take account of the fact that the situation could last for many more months, due to the shortage of seed and cattle feed.", "Engångsinsatser är förvisso viktiga, men sådana åtgärder tar inte hänsyn till att situationen kan komma att pågå i flera månader, på grund av bristen på säd och kreatursfoder."
"In Poland, for example, it is hard for nurses to find a job paying more than EUR 250 a month, whilst in Belgium hospital wards are being closed due to a shortage of nurses.", "I Polen till exempel är det svårt för sjuksköterskor att hitta ett arbete som ger mer än 250 euro i månaden, samtidigt som sjukhusavdelningar i Belgien stängs på grund av bristen på sjuksköterskor."
"Perhaps it would be possible to save more lives if the rescuers could reach the affected area, but they are prevented by objective difficulties, as well as due to a shortage of adequate equipment.", "Kanske vore det möjligt att rädda fler liv om räddningsarbetarna kunde nå det drabbade området, men de förhindras av objektiva svårigheter, samt av en brist på tillfredsställande utrustning."
"Dung beetles.", "Skalbaggar."
"Again all we had were a few worthy but irrelevant discussion papers.", "Åter var allt vi fick några värdefulla, men irrelevanta diskussionshandlingar."
"Again all we had were a few worthy but irrelevant discussion papers.", "Insyn och öppenhet är en annan fråga för ordförandeskapet."
"Instead, the Presidency produced a couple of discussion papers written by academics and even these were not discussed.", "Jag håller med José Manuel Barroso om att ordförandeskapet måste anstränga sig för att nå ett resultat vid rådets möte i december."
"Instead, the Presidency produced a couple of discussion papers written by academics and even these were not discussed.", "Istället lade ordförandeskapet fram ett par diskussionshandlingar som skrivits av forskare men som inte ens togs upp till diskussion."
"One thing must be made clear, however: discussion papers, green papers and white papers are not enough.", "En sak är klar: det räcker inte med diskussionsdokument, grön- och vitböcker, för sådana finns det redan i överflöd."
"Real-world problems are often ambiguous and ill-defined and the context is always changing.", "Verkliga problem är ofta tvetydiga och illa definierade och kontexten ändras hela tiden."
