//Sentences
"All the Commission's DGs are involved, all the various EP Committees are involved ...", "Alla generaldirektorat från kommissionen är inblandade, och alla utskott i parlamentet ..."
"But I would like to sincerely thank our colleagues from the DGs for their flexibility.", "Jag vill ändå uppriktigt tacka våra kolleger från generaldirektoraten för deras flexibilitet."
"Commissioner Schreyer and I sent a letter to all DGs in July 2003.", "Kommissionsledamot Schreyer och jag sände ett brev till alla generaldirektorat i juli 2003."
"Is it just to suit two DGs which could not come up with a cooperative proposal?", "Är det för att det skulle passa två generaldirektorat som inte kunde lägga fram ett förslag tillsammans?"
"I am sure that in each of the geographical DGs there is a full list of NGOs.", "Jag är säker på att det i varje geografiskt GD finns en heltäckande lista över icke-statliga organisationer."
"That is added to by the fact that the RELEX DGs are being reorganised.", "Till detta läggs det faktum att generaldirektoraten för yttre förbindelser håller på att omorganiseras."
"I call on the Commissioner to make DG SANCO's policy mandatory for all DGs.", "Jag uppmanar kommissionsledamoten att se till att GD SANCO:s policy blir obligatorisk för alla generaldirektorat."
"The consequences only for the Commission will be a loss of close to 2000 posts, which means close to four DGs.", "Det motsvarar också ungefär hälften av de tjänster som under de senaste åren inrättats inför utvidgningen."
"The Commission's DGs must be made fully responsible for their own expenditure, including financial control.", "Kommissionens generaldirektorat måste få ett totalansvar för sina egna kostnader, inklusive den ekonomiska kontrollen."
"For which of the Commission’s DGs is financial information not up to the required quality standards?", "I fråga om vilka generaldirektorat vid kommissionen uppfyller den finansiella informationen inte de kvalitetsnormer som fordras?"
"A further complication is that three DGs are involved in all of this: ENTR, SANCO and indeed AGRI.", "Ytterligare en komplikation är att tre generaldirektorat deltar i sammanhanget: GD Näringsliv, GD Hälsa och konsumentskydd och t.o.m."
"Which directorates-general (DGs) report to the Development Commissioner and which regional ‘desks’ do they include?", "Vilka generaldirektorat (GD) är underordnade kommissionären för utveckling och vilka geografiska avdelningar omfattar de?"
