//Sentences
"On our shelves at home, we have a box set of the DVD series "24," season six to be precise.", "Hemma på en hylla har vi en DVD-box med serien "24", säsong sex för att vara exakt."
"And they had the farmers -- there is posters they put in the barn, and they have a DVD.", "Och de hade uppfödarna, det finns affischer de sätter upp i ladugården och de har en DVD."
"Nothin ' I like better than stayin ' home on a quiet night watchin ' a good movie on my DVD.", "Det finns inget som är så skönt som som en hemmakväll med en bra dvd-film."
"If you're gonna have a first-rate home entertainment center, you gotta have a DVD.", "Om man har en riktig hemmabio måste man ju också ha en dvd."
"In first class you get a DVD player and may view the film of your choice.", "I första klass får man en DVD-spelare och man får välja film."
"(Laughter) Every week the number one best-selling DVD in America changes.", "Människor betalar fullt pris för båda, och det enda de har gemensamt är... att de inte har något gemensamt."
"We have heard rumours of a ban on multi-region DVD players.", "Vi har hört rykten om förbud mot regionsfria DVD-spelare."
"I don't want the DVD; I want the movie it carries.", "Jag vill inte ha DVD-skivan, jag vill ha filmen som är på den."
"It prevents them from benefiting from a broader choice of DVD titles and potentially cheaper prices.", "Det förhindrar dem att dra fördel av ett bredare utbud av DVD-titlar och berövar dem en möjlighet till lägre priser."
"Music and films on CD and DVD are being pirated.", "Musik och filmer på cd och dvd piratkopieras."
"All of the films by the Lumière brothers have been restored by the French Film Archive and have recently been released on DVD.", "Alla filmer av bröderna Lumière har restaurerats av det franska filmarkivet och gavs nyligen ut på dvd."
"You also have a DVD of the film that won the prize in 2007, which has been translated into 23 languages, plus another seven.", "Ni har även fått en dvd med filmen som fick priset 2007. Denna film har översatts till 23 språk plus ytterligare sju."
"The Commission is therefore investigating whether the DVD regional coding system is compatible with Community competition rules.", "Därför undersöker kommissionen huruvida systemet med regionala koder för DVD är förenligt med gemenskapens konkurrensregler."
"And I got a copy of this DVD.", "Och jag fick en kopia av den här DVDn."
"In fact, they were so successful that you could buy a pirated copy of their DVD, even before it was released in the Middle East. ~~~ Anywhere you go.", "De var så framgångsrika- -att man kunde köpa en piratkopia av DVD:n- -innan den släppts i Mellanöstern- -varsomhelst."
"But you didn't take the DVD.", "Men du tog inte dvd: n?"
"It is also about strategic raw materials such as coltan, which we need for the production of our mobile phones, DVD players and computers.", "Det handlar även om strategiska råvaror som t.ex. coltan, som vi behöver vid tillverkningen av mobiltelefoner, dvd-spelare och datorer."
"I'm not takin ' the DVD!", "Jag tar inte dvd: n."
"I bet he's got a DVD.", "Han har säkert dvd."
"The Commission shares the honourable Member's concerns that the Community's consumers may suffer as a result of the DVD regional coding system.", "Kommissionen delar den ärade ledamotens oro att gemenskapens konsumenter kan lida skada på grund av systemet med regionala koder för DVD."
"Wide-screen and flat-screen TV sets and DVDs set the pace for home entertainment.", "I hemmen är det en bredbilds- eller plattskärms-TV med DVD som ska stå i vardagsrummet."
"There are a lot of excellent DVDs, which do a very good job of describing the work we do.", "Det finns en stor mängd utmärkta dvd-skivor som på ett mycket bra sätt beskriver vårt arbete."
"There are a lot of excellent DVDs, which do a very good job of describing the work we do.", "Hon önskade att det hädanefter skulle finnas betydligt mer information om Europeiska unionen."
"One such category could, for instance, be books, CDs and DVDs.", "En sådan kategori skulle till exempel kunna vara böcker, CD och DVD."
"DVDs already have the potential to be multilingual.", "Med dvd finns redan potential till mångspråkighet."
"I am thinking of new technologies in this connection, because 40% of the income from a film is already generated by DVDs.", "Jag tänker i detta sammanhang på ny teknik, för 40 procent av inkomsterna från en film genereras redan av dvd-utgåvor."
"Like our children, they are bombarded with information and they dream, like our children, of iPods, Playstations, DVDs.", "I likhet med våra barn bombarderas de med information, och precis som våra barn drömmer de om iPods, Playstations och DVD-skivor."
"This might be a supplementary contribution over and above the subscription cost, similar to the levy on blank CDs and DVDs.", "Det skulle kunna vara en extra avgift som läggs på abonnemangskostnaden, vilket kan jämföras med avgifterna på tomma CD- och DVD-skivor."
"I got watches, DVDs, candy.", "Jag har klockor, DVD, godis."
"I am informed that the black market value of illegal CDs and DVDs is three times that of cannabis, and the profit margins are eight-fold.", "Kan kommissionen svara på vad det kostar unionen att ha två säten för Europaparlamentet och kan det rimliga i denna ordning försvaras inför Europas medborgare?"
"Can the Commission outline the results of this investigation, and can it say how it will deal with the infringement of competition rules in the market for DVDs?", "Kan kommissionen redogöra för resultaten av denna utredning och hur tänker den ta itu med brotten mot konkurrensreglerna på DVD-marknaden?"
"I am informed that the black market value of illegal CDs and DVDs is three times that of cannabis, and the profit margins are eight-fold.", "Jag har fått veta att den svarta marknaden för olagliga cd- och dvd-skivor omsätter tre gånger så mycket som cannabismarknaden och att vinstmarginalerna är åtta gånger högre."
"The police went on to say in their press release that the distribution of these knock-off DVDs and albums was nearly all controlled by organised crime.", "Polisen säger vidare i sitt pressmeddelande att praktiskt taget all distribution av dessa piratkopierade dvd:er och skivor kontrolleras av den organiserade brottsligheten."
