//Sentences
"Over 60 years have gone by since the historic theft of our property in Istria and Dalmatia.", "Över 60 år har gått sedan denna historiska stöld av vår egendom i Istrien och Dalmatien."
"On the subject of people’s rights, I should like to mention the presence here outside Parliament of people from Istria, Dalmatia and Fiume.", "När det gäller folkets rättigheter vill jag påpeka att det utanför parlamentet finns människor från Istrien, Dalmatien och Fiume."
"On the subject of people’ s rights, I should like to mention the presence here outside Parliament of people from Istria, Dalmatia and Fiume.", "När det gäller folkets rättigheter vill jag påpeka att det utanför parlamentet finns människor från Istrien, Dalmatien och Fiume."
"The dispute over the property of those expelled from Istria, Rijeka and Dalmatia, if not definitively settled, will in fact make dialogue between the two peoples impossible.", "Tvisten om egendomar tillhörande dem som blev utvisade från Istrien, Rijeka och Dalmatien kommer, så länge den inte är definitivt avgjord, att göra en dialog mellan de två folken omöjlig."
"In the unredeemed lands of Istria and Dalmatia, the people of Fiume and Pola are demanding their rights, rights still being trampled underfoot more than 60 years after the end of the war.", "I de icke återvunna områdena Istrien och Dalmatien kräver befolkningen i Fiume och Pola sina rättigheter, rättigheter som fortfarande åsidosätts mer än 60 år efter krigets slut."
"more_vert open_in_new Link to TED warning Request revision Some people see a Dalmatian dog.", "Dalmatiner."
"more_vert open_in_new Link to statmt.org warning Request revision The suspension of relations with Damascus was a political mistake.", "expand_more Att avbryta förbindelserna med Damaskus var ett politiskt misstag."
"Europe therefore cautiously distanced itself from the Damascus Government.", "Av försiktighetsskäl distanserade sig Europa därför från den syriska regeringen."
"The Security Council’ s Resolution 1559 is not yet applicable to Damascus.", "Återigen riktas världens blickar mot Mellanöstern."
"There is yet another way in which Damascus is brazenly flouting resolution 1559.", "Den utlösande faktorn till denna politiska osäkerhet var otvivelaktigt mordet på Libanons premiärminister Rafiq Hariri."
"He had been imprisoned following the ‘ Damascus Spring ’ in 2001.", "Han fängslades efter ” Damaskusvåren ” 2001."
"He had been imprisoned following the ‘Damascus Spring’ in 2001.", "Han fängslades efter ”Damaskusvåren” 2001."
"On that topic, Mrs Grabowska, you also know the saying that 'the lie is already halfway to Damascus while truth is putting its boots on'.", "När det gäller denna fråga, fru Grabowska, känner ni ju till ordspråket att lögnen färdas snabbare än sanningen."
"Together with embassies of the Member States in Damascus, however, we are making full use of diplomatic channels and we will continue to do so.", "Jag är helt säker på att Europaparlamentet orubbligt kommer att stå vid vår sida och stödja dessa bemödanden."
"He went down the road to Damascus twice.", "Vi har upptäckt att föredraganden Giansily låtit oss ta del av en intressant erfarenhet: han har ändrat sig två gånger."
"It has never been fully recognised as independent by neighbouring Syria, which has not even bothered to open an embassy there, claiming Beirut is too near Damascus.", "Varför förbjuder då inte EU Hizbollah tills de avstår från självmordsbombare mot oskyldiga civila och erkänner Staten Israels rätt att existera?"
"As a consequence, the rapporteur has succumbed to illusions of possible positive effects of the association agreement on Damascus' internal and external policy.", "Till följd av detta har föredraganden fallit för illusioner om eventuella positiva effekter av associeringsavtalet på Syriens inrikes- och utrikespolitik."
"He was a supporter of atomic energy, but Fukushima has been a road to Damascus for him and, like a latter-day Saul, he, along with several others, has seen a bright light in the sky.", "Men Fukushima var en Damaskusvandring för honom och precis som en modern Saul har han nu, i likhet med så många andra, sett den lysande stjärnan på himlen."
"And so while I was in the DRC, I spent a lot of time talking to people about condoms, including Damien.", "Så när jag var i DRK så pratade jag mycket med människor om kondomer, bland annat med Damien."
"Now Damien knows all about condoms, but he doesn't sell them.", "Damien vet allt om kondomer, men han säljer dem inte."
"Damien runs a hotel outside of Kinshasa.", "Damien driver ett hotell utanför Kinshasa."
"Saint Damien's beard!", "Sankt Daminens skägg!"
"Damien Thompson.", "Tillämpad självorganisering monolager (SOM) och mikro-kontakt utskrift är ett projekt sammarbete med en kollega vid Tyndall National Institute, Dr Damien Thompson."
"While Damien Hurst's The Golden Calf broke art auction records, the financial institutions have suffered record losses, prompting the following comment from the Financial Times:", "(DE) Medan Damien Hursts The Golden Calf slog rekord på konstauktioner, drabbas finansinstituten av rekordförluster, vilket föranleder följande kommentar från Financial Times:"
"Finally I would like to warmly thank my colleagues for choosing me to sit in this committee as a substitute member, alongside Michel Dantin, Alain Lamassoure and Damien Abad.", "Slutligen skulle jag vilja rikta ett varmt tack till mina kolleger för att de valde mig till suppleant i detta utskott, vid sidan av Michel Dantin, Alain Lamassoure och Damien Abad."
"Like a sword of Damocles, it hangs over not only the Union, but over the whole world.", "Det hänger som ett Damoklessvärd inte bara över unionen utan över hela jorden."
"A formidable sword of Damocles thus hangs above our cultural policies.", "Ett fruktansvärt damoklessvärd hänger därför fortfarande över vår kulturpolitik."
"Moreover, the date of 4 May hangs over us like a sword of Damocles.", "Dessutom hänger datumet den 4 maj som ett damoklessvärd över våra huvuden."
"They can then safely continue to sell to us without having a sword of Damocles hanging over them.", "Då kan de tryggt fortsätta att sälja till oss utan att ha ett damoklessvärd hängande över sig."
"Such was the case with Mr Dimas in environment, who refused to see the sword of Damocles above our heads.", "Så var fallet med miljöns Stavros Dimas, som vägrade se det damoklessvärd som hänger över våra huvuden."
"The sword of Damocles that being laid off represents has been hanging over the heads of thousands of Airbus employees since January.", "Det Damoklessvärd som hotet om uppsägning innebär har hängt över tusentals Airbusanställda sedan januari."
"The spectre of a conflict in Iraq hangs over us all like the sword of Damocles and that is something that we all need to have in mind.", "Det irakiska krigsspöket svävar som ett Damoklessvärd över oss alla, och det är något som vi alla måste tänka på."
"I am among those who think that nuclear energy, whatever the level of security, is truly like a sword of Damocles hanging over our heads.", "Jag tillhör de som menar att kärnkraften, oavsett säkerhetsnivå, är ett veritabelt damoklessvärd som hänger över våra huvuden."
"It is the conditional censure on mad cow disease all over again, a kind of cardboard sword of Damocles, which only fools those who want to be fooled.", "Det är som det villkorliga misstroendet om galna kosjukan, ett slags Damoklessvärd i papp, som bara lurar dem som vill bli lurade."
"We know full well today that this debt hangs over Africa like a sword of Damocles and the IMF in particular needs a clear policy here.", "I dag vet man dessutom mycket väl att skulden har samma innebörd som ett Damoklessvärd, och framför allt IMF måste föra en tydlig politik i frågan."
"Indeed, the framework agreement between the European Commission and Parliament which is due to be voted on tomorrow is hanging over us like a sword of Damocles.", "Det damoklessvärdet är ramavtalet mellan Europeiska kommissionen och parlamentet, som blir föremål för omröstning i morgon."
"We should condemn the fact that the Chinese law legitimising the possible occupation of Taiwan hangs over Taiwan like a sword of Damocles.", "Vi bör fördöma den kinesiska lag som legitimerar en eventuell ockupation av Taiwan, vilket likt ett damoklessvärd utgör ett överhängande hot mot Taiwan."
"I did, however, see it as a sword of Damocles that the European Council is threatening to call it a day after all if we do not bring our requirements under control.", "Emellertid upplevde jag det som ett damoklessvärd ovanför huvudet att Europeiska rådet hotar att när allt kommer omkring backa ur om vi inte är mer återhållsamma med våra krav."
"Where I live in Cuxhaven-Bremerhaven, there is the threat of just this kind of sword of Damocles; such distortion of competition must not be the result of European structural policy.", "Hemma hos mig i Cuxhaven-Bremerhaven svävar detta Damoklessvärd, och en sådan konkurrenssnedvridning får inte blir resultatet av den europeiska strukturpolitiken."
"There is certainly a great deal still to do, but when the naming issue continually hangs over everything like the Sword of Damocles it is difficult to move on in other areas of policy.", "Visst finns det fortfarande mycket som behöver göras, men när namnfrågan hela tiden hänger över det hela som ett damoklessvärd är det svårt att komma vidare inom andra politikområden."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision Publications Music, Dance and Theatre", "expand_more Publikationer musik, dans och teater"
"Come and dance with me Welcome to the party", "Kom och dansa med mig Välkomna till festen"
"Could you just dance for me, please?", "Kan du inte bara dansa för mig, snälla!"
"Dance with me.", "Dansa med mig."
"more_vert open_in_new Link to European Parliament warning Request revision When we turn to the next separate matter, this is of particular interest to me as a Dane.", "expand_more När vi ser på den andra frågan, så har den särskilt intresse för mig som dansk."
"Now, imagine each one of these varieties as being distinct from another about the same way as a poodle from a Great Dane.", "Föreställ er nu att dessa olika bönsorter är så olika varandra som en pudel är olik en grand danois."
"Johs is a Dane who decided to embark on a two-year Master’s degree course in the United Kingdom after four years of studying in the United States.", "Danske Johs bestämde sig för att gå en tvåårig masterutbildning i Storbritannien efter fyra års studier i USA."
"'We never pay any-one Dane-geld,", "'We never pay any-one Dane-geld,"
"All fishermen, irrespective of nationality, are very adept at bending rules to their own advantage and blaming it on the foreigner, blaming it on the Irishman or the Dane or the Spaniard.", "Alla fiskare, oavsett nationalitet, är mycket skickliga på att vränga regler till sin egen fördel och skylla allt på utlänningarna, på irländarna, danskarna eller spanjorerna."
"Dang Ling, I can't understand a damn word your daddy say.", "Dang Ling, jag fattar inte ett jävla ord av vad din pappa säger."
"I'm gonna help Dang Ling clean these dishes.", "Jag hjälper Dang Ling med disken."
"That's my man, little Dang Ling.", "Det er min kille, lilla Dang Ling."
"Dang Ling, where's XiXi?", "Dang Ling, var är XiXi?"
"Get him, Dang Ling!", "Fånga honom, Dang Ling!"
"more_vert open_in_new Link to Linköpings Universitet warning Request revision Daniel Lundqvist - Masters degree in sociology and in psychology.", "expand_more Daniel Lundqvist - Magisterexamen i sociologi och magisternivå i psykologi."
"more_vert open_in_new Link to Linköpings Universitet warning Request revision Daniel Lundqvist - Magisterexamen i sociologi och magisternivå i psykologi.", "expand_more Daniel Lundqvist - Masters degree in sociology and in psychology."
". ~~~ And here's my friend Daniel's screen shot.", "Här är min vän Scotts skärmdump- Och här är min vän Daniels skärmdump."
"A word about Mr Daniel Suanzes-Carpegna's report on the canning industry.", "Ett ord om betänkandet om konservindustrin av Varela Suanzes-Carpegna."
"Tunisia, which Daniel Cohn-Bendit has just mentioned, has alone received 10% of the MEDA appropriations, almost all of which have been paid.", "Tunisien, som Cohn-Bendit talade om nyss, erhöll ensamt nära 10 procent av Medas anslag och så gott som allt har betalats ut."
"Tunisia, which Daniel Cohn-Bendit has just mentioned, has alone received 10 % of the MEDA appropriations, almost all of which have been paid.", "Tunisien, som Cohn-Bendit talade om nyss, erhöll ensamt nära 10 procent av Medas anslag och så gott som allt har betalats ut."
"Mercedes Echerer, Daniel Marc Cohn-Bendit, Monica Frassoni, Heide Rühle and Jean Lambert - Media concentration", "Muntlig fråga (O-0080/02 - B5-0500/02) från Echerer, Cohn-Bendit, Frassoni, Rühle och Lambert - Mediakoncentration"
"Daniel Aili", "Karoline Dahlberg"
"The picture shows (from left) Clara Säberg, Tabea Schmidt, Helena Dahl, Christoffer Ekros, Sebastian Ekholm, Jakob Flyckt, Sofia Thorsell and Daniel Carlsson.", "I fyrtio år har de funnits med överallt och i alla sammanhang. Rättare sagt hörts. Hur bra de spelar är inte det viktiga för LiTHe Blås utan att ha roligt. Hela tiden."
