//Sentences
"The natural logarithm to the base e of the value 3 will return 1.1 as the result.", "Den naturliga logaritmen för basen e för värdet 3 ger som resultat 1,1."
"Sorts the rows or columns in ascending order, (e.g., 1, 2, 3 or a, b, c).", "Raderna eller kolumnerna sorteras enligt 1, 2, 3 osv eller a, b, c osv."
"My group therefore supports the Commission proposal, i.e. 5 micrograms/m3.", "Min grupp stöder därför kommissionens förslag, dvs. 5 mikrogram/m3."
"As far as the remainder is concerned, i.e. categories 2, 3, 5, 6 and 7, nothing has been changed.", "När det gäller återstoden - utgiftsområdena 2, 3, 5, 6 och 7 - är allt oförändrat."
"As far as the remainder is concerned, i. e. categories 2, 3, 5, 6 and 7, nothing has been changed.", "När det gäller återstoden - utgiftsområdena 2, 3, 5, 6 och 7 - är allt oförändrat."
"As I have said, the E3+3 is already considering these options.", "Som jag redan nämnt överväger E3+3 dessa alternativ."
"Article 3 (e) and (h)(i) and (ii), Decision 2010/135/EU.", "Beslut 2010/135/EU, artikel 3 e och h, punkterna i och ii."
"They concern recitals 16a and 16e and Article 3.", "De beträffar betänkandeskäl 16 a till 16 e och artikel 3."
"I would make particular reference to Article 3, point e).", "Jag syftar i synnerhet på artikel 3.e."
"on data breach notification (Article 2(h) and 4(3) - ePrivacy Directive)", "- Rapportering om överträdelse av dataskyddsbestämmelserna (artiklarna 2 h och 4.3 - direktivet om integritet och elektronisk kommunikation)"
"It goes on to make reference to sustainable exploitation with regard to Article 3(e) of Council Regulation (EC) No 2371/2002.", "Vidare refereras till hållbart utnyttjande med hänvisning till artikel 3 e i rådets förordning (EG) nr 2371/2002."
"I pay tribute to the other colleagues in the E3 process who have shown the strength of Europe’s diplomatic voice in challenging circumstances.", "Jag gratulerar kollegorna i trojkan, som har visat styrkan i Europas diplomatiska röst under svåra omständigheter."
"I pay tribute to the other colleagues in the E3 process who have shown the strength of Europe ’ s diplomatic voice in challenging circumstances.", "Jag gratulerar kollegorna i trojkan, som har visat styrkan i Europas diplomatiska röst under svåra omständigheter."
"I wish the Czech presidency success in implementing its 3E programme and in bringing the EU closer to achieving the Lisbon goals.", "Jag önskar det tjeckiska ordförandeskapet framgång med genomförandet av dess 3E-program och med att föra EU närmare Lissabonmålen."
"However, the proposal does not respect the prevailing principle of subsidiarity on all points, e.g. point 3 on the design of care.", "Förslaget respekterar dock inte den rådande subsidiaritetsprincipen på alla punkter, t.ex. i punkt 3 om hur vården skall utformas."
"However, the proposal does not respect the prevailing principle of subsidiarity on all points, e. g. point 3 on the design of care.", "Förslaget respekterar dock inte den rådande subsidiaritetsprincipen på alla punkter, t.ex. i punkt 3 om hur vården skall utformas."
"The email address the message will be delivered to.Received: by 10.36.81.3 with SMTP id e3cs239nzb;Tue, 29 Mar 2005 15:11:47 -0800 (PST)", "E-postadressen som meddelandet levereras till.Mottaget: av 10.36.81.3 med SMTP-ID e3cs239nzb;tis, 29 mar 2005 15:11:47 -0800 (PST)"
"The E3+3 senior officials met in New York on Saturday and we were able to have the dialogue, including, of course, with Russia, on that issue.", "De höga tjänstemännen inom E3+3 möttes i New York i lördags och vi lyckades inleda en dialog om denna fråga med bland andra Ryssland."
"EUR 9.3 billion under the multiannual financial framework.", "Även om det är en ökning med 5,71 procent utgör betalningarna endast 0,96 procent av BNI, dvs. 9,3 miljarder inom den fleråriga budgetramen."
"Mr President, I indicated in my answer that I assume that the NUTS 3 regions, i.e. the NUTS 3 level, is in principle the suitable level.", "Herr ordförande! Jag har i mitt svar hänvisat till att jag utgår från att Nuts 3-regioner, alltså Nuts 3-nivån i princip är den mest lämpade nivån."
"Check out online the Masters and PhD programmes that participate in Erasmus Mundus.", "Ta reda på vilka masterprogram och forskarutbildningar som deltar i Erasmus Mundus."
"This will enable more than 3 500 European students to go on an Erasmus exchange.", "På så vis kommer över 3 500 europeiska studenter att ges möjlighet till Erasmusutbyten."
"Erasmus programmes are also open for some Iraqis, so we are pursuing that.", "Erasmusprogrammen är även öppna för vissa irakier, så vi fortsätter med detta."
"Erasmus Mundus is a newer programme for student mobility and academic cooperation.", "Erasmus Mundus är ett nyare program för studenters rörlighet och akademiskt samarbete."
"I mentioned Erasmus because the German President used that example.", ". – Jag nämnde Erasmus för att den tyske presidenten använde det exemplet."
"One proposal, for example, is the creation of an Erasmus first job programme.", "Ett förslag är till exempel att inrätta programmet Erasmus första jobb."
"agriculture and rural development) and programmes such as 'Erasmus' (student exchanges).", "jordbruk och landsbygdsutveckling) och program som Erasmus (studentutbyten)."
"I wish to highlight certain legal issues relating to the Erasmus Mundus programme, however.", "Jag vill dock lyfta fram några rättsliga frågor som rör Erasmus Mundus-programmet."
"Erasmus is not only about thousands of people studying around the world.", "Erasmus handlar inte bara om att tusentals människor studerar runt omkring i världen."
"ERASMUS MUNDUS MASTER Top-class research and professionally oriented modules.", "International Erasmus Mundus Master Top-class research and professionally oriented modules."
"However, it is also vitally important to increase the funding for Erasmus Mundus grants.", "Icke desto mindre är det också viktigt att öka medlen till Erasmus Mundus-stipendierna."
"The EU's scheme for studying abroad is named after Erasmus, a 16th century scholar.", "EU:s program för utlandsstudier har fått sitt namn efter Erasmus, en humanist på 1500-talet."
"That will, in any case, affect the first three years of the Erasmus World programme.", "Det gäller åtminstone de första tre åren av programmet Erasmus World."
"We succeeded in this with the 'Youth' programme, and we must also do so here with Erasmus.", "Vi lyckades med det i ”ungdomsprogrammet”, och nu behöver vi göra likadant med Erasmus."
"I also appeal for improvement and full implementation of the Erasmus Mundus programme.", "Jag vädjar också om att programmet Erasmus Mundus ska förbättras och genomföras till fullo."
"Erasmus has been one of the successes of the EU in demonstrating its relevance.", "EU har lyckats framhäva sin betydelse genom bland annat Erasmus."
"We see that more than 57 % of Erasmus students encounter financial difficulties.", "57 procent av Erasmus-studenterna stöter på ekonomiska problem."
"I would remind you that Erasmus aimed to include 10% of students in the programme.", "Jag vill erinra om att målet för Erasmus var att få med 10 procent av studenterna i programmet."
"We want to see Erasmus, which has proved a great success, expanded.", "Vi vill att Erasmus, som har visat sig vara en stor framgång, ska utvidgas."
"The Galileo and Erasmus programmes should have warranted better treatment and additional funding.", "Programmen Galileo och Erasmus var värda bättre behandling och ökad finansiering."
". - Mr President, I think this is covered by my earlier statement.", "föredragande. - (EN) Herr talman! Jag anser att detta omfattas av mitt tidigare inlägg."
"Madam President, I stand by my earlier statement regarding the legal basis.", "Det skulle innebära att syftet med förslaget begränsas avsevärt."
"As I said in my statement earlier, there are now various fronts on which we have to take the initiative.", "Som jag sa tidigare måste vi nu vidta åtgärder inom flera olika områden."
"Mr President, this is also covered by my earlier statement.", "(EN) Herr talman! Denna omfattas också av mitt tidigare inlägg."
"With regard to the question relating to the small abattoirs, I did touch on this earlier in my own statement.", "När det gäller frågan om små slakthus, berörde jag detta tidigare, i mitt eget anförande."
"Mr President, line 15 05 55 is, I think, covered by my earlier statement, so we do not have to vote on it.", "(EN) Herr talman! Jag anser att budgetpost 15 05 55 omfattas av mitt tidigare inlägg, så vi behöver inte rösta om den."
"I want to look today at the decisions which have been taken in the light of the Commissioner's earlier statement, to which very few have so far referred.", "Jag vill nu se på de beslut som fattats mot bakgrund av kommissionärens tidigare inlägg som mycket få har hänvisat till hittills."
"According to what Commissioner Lamy said in a statement earlier today, the EU's main objective is to open the markets of the developing countries to EU companies.", "Enligt vad kommissionär Lamy sade i ett uttalande tidigare i dag är huvudmålet för EU att öppna u-ländernas marknader för EU-företag."
"According to what Commissioner Lamy said in a statement earlier today, the EU' s main objective is to open the markets of the developing countries to EU companies.", "Enligt vad kommissionär Lamy sade i ett uttalande tidigare i dag är huvudmålet för EU att öppna u-ländernas marknader för EU-företag."
"However, these issues are indeed exceptionally important, as you, Commissioner, rightly pointed out a little while ago and in your statement earlier today.", "Precis som ni, fru kommissionsledamot, helt riktigt nyss påpekade - så även i ert uttalande tidigare i dag - är dessa frågor utomordentligt viktiga."
"We want an even-handed solution and, as I said in my earlier statement, we cannot allow the south, for instance, to have to pay for eastern enlargement.", "Vi vill ha en väl avvägd lösning, och det får inte vara så, det sade jag tidigare i mitt tal, att södra Europa till exempel skall bli lidande av östutvidgningen."
