//Sentences
"Why have not endocrine disruptors been banned?", "Varför har ämnen som förorsakar endokrina störningar inte förbjudits?"
"The scientific definition, and lack thereof, of endocrine disruptors has already been referred to.", "Vi har redan tagit upp den vetenskapliga definitionen av endokrinstörande ämnen, eller snarare bristen på definition."
"Substances such as PCB and DDT, which have often been mentioned as endocrine disruptors, have of course long been banned for other reasons.", "Ämnen som PCB och DDT, som ofta har nämnts som endokrina disruptorer, har dessutom länge varit förbjudna av andra orsaker."
"The Commission has also participated actively in international initiatives to develop testing methods and testing strategies for the identification of endocrine disruptors.", "Kommissionen har också deltagit aktivt i internationella initiativ för att ta fram testmetoder och teststrategier för att identifiera endokrinstörande ämnen."
"For example, as Mr Davies and Mrs Hassi have underlined, the rules on substances which disturb the hormone system - the so-called endocrine disruptors - could be stricter.", "Som Chris Davies och Satu Hassi underströk kunde till exempel bestämmelserna om ämnen som stör hormonsystemet, så kallade endokrinstörande ämnen, ha varit strängare."
"In order to ensure comprehensive information, the Commission may also look into the issue of availability of existing alternative products to substances being known as endocrine disruptors.", "För att garantera utförlig information kan kommission också se över frågan om vilka alternativa produkter som finns tillgängliga till de s.k. endokrinstörande ämnena."
"Over the same period, we have included specific measures to address endocrine disruptors in two key pieces of chemicals legislation, REACH and the Plant Protection Products Regulation.", "Under samma period har vi tagit med särskilda åtgärder inriktade på endokrinstörande ämnen i två grundläggande kemikalielagar, nämligen Reach och förordningen om växtskyddsprodukter."
"How are we to explain that Parliament advocates the substitution of carcinogenic and mutagenic molecules and endocrine disruptors but is not making it a systematic requirement?", "Hur ska vi förklara att parlamentet rekommenderar att man ersätter carcinogena och mutagena molekyler och endokrinstörande ämnen, men att detta inte är något systematiskt krav från vår sida?"
"This should also include a plan for the Baltic Sea energy connections network.", "Den bör också omfatta en plan för nätverket av energianslutningar kring Östersjön."
"We cannot discuss a common policy without having a common energy network.", "Vi kan inte diskutera en gemensam politik utan att ha ett gemensamt energinät."
"I also welcome the Commission's work 'towards a single Energy network'.", "Jag välkomnar också kommissionens arbete ”mot ett gemensamt europeiskt energinät”."
"The next question was: What do I think of a European energy network?", "Nästa fråga var följande: Vad anser jag om ett europeiskt energinätverk?"
"We need the production and distribution of energy, generation and the network, to be separated.", "Produktionen och distributionen av energi och elnäten måste vara åtskilda."
"The Commission is supporting new investments through its energy trans-European network programme.", "Kommissionen stöder nyinvesteringar genom sitt program för det transeuropeiska energinätet."
"(PL) The question of energy and the energy network is a crucial issue for the future of the European economy.", "(PL) Frågan om energi och energinät är en central fråga för framtiden för EU:s ekonomi."
"Latvia, Lithuania and Estonia must be integrated into the common regional energy network, including NORDEL.", "Estland, Lettland och Litauen måste integreras i det regionala energinätverket, däribland NORDEL."
"Residents of Lithuania and the other Baltic countries really thirst for a European electric energy network.", "Invånarna i Litauen och de övriga länderna vid Östersjön törstar verkligen efter ett europeiskt elnät."
"We have to ensure that decentralised renewable energy can access the network at a reasonable cost.", "Man måste se till att förnybar energi som produceras decentraliserat kan anslutas till nätet till rimliga kostnader."
"Access to the network for energy transport is essential.", "Nättillträde för energitransport är avgörande."
"I very much welcome the channelling of the majority of funding towards European energy network interconnection projects.", "Jag välkomnar starkt att större delen av medlen går till projekt för sammankoppling av europeiska energinät."
"And the Council has reduced funds to cofinance the trans-European transport and energy network by 15 million.", "Rådet har exempelvis minskat medlen för samfinansiering av de transeuropeiska transport- och energinäten med 15 miljoner."
"We should allocate EUR 3.5 billion to the energy network and EUR 1.5 billion to the Internet infrastructure in rural areas.", "Vi bör anslå 3,5 miljarder euro till energinät och 1,5 miljarder euro till bredbandsnät i landsbygdsområden."
"The objectives to consolidate the network of energy coordinators and to implement the Energy Community Treaty are no less important.", "Målen att konsolidera energisamordnarnätet och genomföra fördraget om energigemenskapen är lika viktiga."
"In view of these figures, financial support from the European Community for the energy network should be treated strategically.", "Med tanke på dessa uppgifter bör det finansiella stödet från gemenskapen till energinätet behandlas strategiskt."
"Experts have perceived a threat in South Stream to the Nabucco project, which is included in the EU Trans-European Energy Network.", "Experterna har uppfattat South Stream som ett hot mot Nabuccoprojektet som ingår i EU:s transeuropeiska energinät."
"The first is that there is an inherent conflict in opening the trans-European energy network to former Soviet states.", "Den ena är att det finns en inbyggd konflikt i öppnandet av transeuropeiska energinät för stater som ingick i f.d. Sovjetunionen."
"In this light we assess very positively the Presidency’ s plans to finalise the decision on the trans-European energy network early this year.", "Alla sätt som är möjliga för att förstärka unionens egenkapacitet när det gäller energi borde utforskas."
"Finally - and that is where Europe has a very special task - we need an energy network which will ensure that all of that becomes a reality.", "Slutligen - och där har EU en mycket speciell uppgift - behöver vi ett energinät som förverkligar allt detta."
"No economy can be competitive without effective transport and energy networks.", "Ingen ekonomi kan vara konkurrenskraftig utan effektiva transport- och energinät."
"In this respect trans-European energy networks actually provide the basis of an answer.", "I detta avseende utgör transeuropeiska energinät faktiskt grunden för ett svar."
"There was a destruction of homes, of energy, communication and transport networks.", "Förstörelsen drabbade bostäder, energi, kommunikations- och transportnät."
"We are also anticipating with interest the legislative initiative on smart energy networks.", "Vi ser också med intresse fram emot lagstiftningsinitiativet om smarta energinät."
"Today, we are debating the establishment of guidelines for trans-European energy networks.", "I dag debatterar vi upprättandet av riktlinjer för transeuropeiska energinät."
"Will the Structural Funds also finance the large-scale energy transmission networks?", "Kommer stöd från strukturfonderna även att utgå till de stora näten för energiöverföring?¿"
"We are now acquiring and constructing Trans-European energy networks.", "Vi inser alla hur viktigt det här är för ett pålitligt och konsumentvänligt system."
"Great importance also attaches to the completion of the trans-European energy networks.", "Slutförandet av de transeuropeiska energinäten är också mycket viktigt."
"We thus have an instability in the energy networks that is not acceptable.", "Vi har alltså en instabilitet i energinäten som inte är acceptabel."
"The most important are the ones which concern energy connections between networks.", "De viktigaste är de som gäller sammankopplingar av energinäten."
"Connecting them to existing energy networks is causing problems.", "Prognoserna visar att världens befolkning och energiförbrukningen fortsätter att öka."
"We are now acquiring and constructing Trans-European energy networks.", "Vi håller nu på att förvärva och bygga upp transeuropeiska energinät."
"Connecting them to existing energy networks is causing problems.", "Vi får problem när dessa energier ska anslutas till befintliga energinät."
"In comparison to these areas, our energy networks are lagging far behind.", "I jämförelse med dessa områden släpar våra energinätverk efter."
"Accordingly, public funds for the energy networks should be spent mainly on planning and research.", "Därför bör offentliga medel till energinät i huvudsak läggas på planering och forskning."
"We spend EUR 20 million a year on trans-European energy networks.", "Vi betalar ut 20 miljoner euro per år på transeuropeiska energinät."
"I thought I had answered your question on large-scale energy transmission networks.", "Jag trodde mig ha svarat på frågan om de stora näten."
"This is also stipulated in the guidelines for trans-European energy networks I mentioned earlier.", "Detta föreskrivs också i riktlinjerna för de transeuropeiska energinät som jag nämnde tidigare."
"The first example of this is going to be an outline for supporting developing energy networks in Europe.", "Det första exemplet på det är ett utkast för stöd för utvecklingen av energinät i Europa."
"This is borne out by the proposal for trans-European energy networks.", "Det bekräftas i förslaget om transeuropeiska energinät."
