//Sentences
"It is also demonstrated by the low voter turnout at the 2004 European elections.", "Det visades även genom det låga valdeltagandet i valet till Europaparlamentet 2004."
"Moreover, all this is happening just six months before the European elections.", "Dessutom sker allt detta endast sex månader före valet till Europaparlamentet."
"We are very doubtful about trans-national lists for European Parliament elections.", "Vi är mycket tveksamma till nationsövergripande listor till Europaparlamentsvalet."
"It would be nice if it could all be concluded before next year's European elections.", "Det skulle vara trevligt om allt skulle kunna avslutas före Europavalet nästa år."
"We must do that as of now and continue up to the European Parliament elections in 2009.", "Vi ska göra det från och med idag och ända fram till Europaparlamentsvalet 2009."
"That is why the turnout in the European elections in June was down to a record low.", "Därför blev valdeltagandet i valet till Europaparlamentet i juni rekordlågt."
"As we approach the European elections, I think that we should not raise such issues.", "Jag tycker inte att vi ska ta upp sådana frågor inför Europaparlamentsvalet."
"It is, however, very difficult for Parliament up front of the European elections.", "Det är emellertid mycket svårt för parlamentet inför det stundande valet."
"There is no enthusiasm for European Parliament elections in the new Member States either.", "Någon entusiasm för EU-parlamentsval finns inte heller i de nya medlemsstaterna."
"Both sides seem keen to finalise an Agreement before next June's European elections.", "Båda parterna verkar vilja färdigställa ett avtal före Europavalet i juni."
"Subject: The Commission's role and participation in the upcoming European elections", "Angående: Kommissionens roll och deltagandet i det kommande valet till Europaparlamentet"
"Let us take a very simple parameter: turnout at the next European elections.", "Låt oss ta en mycket enkel parameter: valdeltagandet vid nästa Europaval."
"The last European elections were characterised by the very low turnout.", "Valdeltagandet vid det senaste valet till Europaparlamentet var extremt lågt."
"The European elections will be held on the basis of the Treaty of Nice.", "Valet till Europaparlamentet kommer att hållas på grundval av Nicefördraget."
"I wish you success in your further work and in the next European Parliament elections.", "Jag önskar er lycka till i ert kommande arbete och i nästa parlamentsval."
"We recall that 54.4% of voters stayed at home in the 2004 European Parliament elections.", "Vi påminner om att 54,4 procent av väljarna stannade hemma i EU-parlamentsvalet 2004."
"I think that setting it before the European elections is a reasonable target.", "Att fastställa ett datum före valet till Europaparlamentet anser jag vara ett rimligt mål."
"We only have to look at the turn-out in the European Parliamentary elections to see that.", "Vi behöver bara se på resultaten i Europaparlamentsvalen för att inse detta."
"It should bear that in mind, in view of the European elections in June next year.", "Det borde rådet tänka på, eftersom det är Europaval i juni nästa år."
"We must know for certain what is going to happen straight after the European elections.", "Vi måste veta exakt vad som kommer att hända direkt efter valet till Europaparlamentet."
"Now, am I sure that every single person followed that, understood it, was moved by it?", "Och kan jag vara säker på att varenda person hängde med i, förstod och blev rörda av det?"
"Every single person, every single organization on the planet knows what they do, 100 percent.", "Varje enskild person, varje enskild organisation på vår jord vet vad de gör, till 100 procent."
"The rights of each and every nation state and each and every single person who lives in Europe must be guaranteed.", "Rättigheterna för alla medlemsstater och alla personer som bor i Europa måste garanteras."
"This explains why every single person in this room is perfectly comfortable buying a computer from Apple.", "Det förklara varför varje enskild person i detta rum är helt trygga i att köpa en dator från Apple."
"And every single person who walks into his office hears the whole story of how this thing ended up on his desk.", "Varje person som kommer in på hans kontor, får höra historien om hur den hamnade på hans bord."
"And our goal, the core aim of the Wikimedia Foundation, is to get a free encyclopedia to every single person on the planet.", "Vårt mål, kärnan i Wikimedia Foundations, är att varje person ska ha en fri encyklopedi."
"What I am in favour of is respecting the human rights of all, of every single person, wherever they may come from.", "Vad jag är för är respekt för mänskliga rättigheter för alla, varje enskild person, varifrån de än kommer."
"As a psychologist, I believe the fate of every single person is important, but I know that not everything that is important for people can be measured.", "Som psykolog anser jag att varje enskild persons öde är viktigt, men jag vet att inte allt som är viktigt för människor kan mätas."
"As a psychologist, I believe the fate of every single person is important, but I know that not everything that is important for people can be measured.", "De som vill ha ett integrerat Europa, det Europa som avses i konstitutionsfördraget, kan inte acceptera Turkiet som fullvärdig medlem."
"What's really, really sweet is every single person looking at these things has exactly the same mischievous thought, which is, "I reckon I can heist these."", "Det som är verkligt häftigt med dem är att varenda person som tittar på dem har exakt samma busiga tanke, nämligen, "jag tror jag snor dem.""
"Let the Sakharov Prize be our flag, representing our concern for the fundamental value of a normal and happy life for every single person on earth.", "Låt Sacharovpriset bli ett baner för oss, som står för att vi anser att varje människa på jorden har en grundläggande rätt till ett normalt och lyckligt liv."
"So, if we have a population of a thousand people, and we want to make the population immune to a pathogen, we don't have to immunize every single person.", "Så om vi har en population med tusen människor, och vi vill göra populationen immun mot en patogen då behöver vi inte immunisera varenda enskild person."
"Indeed, the coalition government in the UK will tomorrow announce savage cuts of around GBP 83 billion which will affect every single person in the UK.", "I morgon kommer regeringskoalitionen i Storbritannien att meddela svidande nedskärningar på cirka 83 miljarder pund, som kommer att drabba alla människor i landet."
"So I'm not going to go on until every single person in this room, downstairs and in Aspen, and everybody else looking, will come to love and understand classical music.", "Så jag tänker inte gå vidare förrän varenda person i detta rum, på nedervåningen och i Aspen och alla andra som tittar har börjat älska och förstå klassisk musik."
"It is the first time I can honestly, genuinely say it was a pleasure to work with every single person on this dossier, especially the rapporteur, Mrs Angelilli, in this subject area.", "Det är första gången som jag uppriktigt kan säga att det varit ett nöje att arbeta med varenda person som deltog i förberedelserna av ärendet, i synnerhet föredragande Roberta Angelilli."
"Every single person who travels on an aircraft on a regular service receives a boarding pass and is put on a list of passengers on that plane, regardless of how long the flight is.", "Var och en som reser med ett flyg i reguljär trafik får, oavsett hur lång denna flygsträcka är, ett boarding pass och förs upp på en lista över de passagerare som är med på samma flygplan."
"Tommy, Tommy, everything is connected and everything matters.", "Tommy, Tommy, allt är sammankopplat och allt betyder något."
"I know that everything is connected, and the scar that runs the length of my torso is the markings of the earthquake.", "Jag vet att allting är sammankopplat, och att ärret som löper nedför min bröstkorg är märken efter jordbävningen."
"Is it that everything is connected to everything else?", "Är det att allt är sammankopplat?"
"But everything, all the cameras, and the microphones, and the sensors in cars and everything is connected to this machine.", "Men allt, alla kameror, alla mikrofoner, alla sensorer i bilar och allting annat kommer att vara sammanlänkat till den här maskinen."
"Everything is connected.", "Allt är sammanlänkat."
"Everything is connected.", "Allt hänger ihop."
"Mr President, now that the two big groups have realised that everything is connected, we too can depict everything in its proper context.", "– Herr talman! Nu när de båda stora grupperna har insett att allting hänger samman kan också vi beskriva allting i sitt rätta sammanhang."
"The author of the report, however, does not give any evidence to support this.", "Men rapportens författare lägger inte fram några bevis för att stödja detta."
"There is no evidence of support in the field from the European Union.", "Något stöd från Europeiska unionens sida på plats är inte skönjbar."
"The Committee on Budgetary Control could find no evidence to support these allegations in their hearing.", "Utskottet för budgetkontroll kunde inte hitta något stöd för dessa beskyllningar vid sin utfrågning."
"I give that assurance today, and if there is evidence to support these allegations we will follow it up.", "Jag ger denna försäkran i dag och om det finns bevis som stöder dessa anklagelser kommer vi att följa upp dem."
"However, from a historical viewpoint it has to be said that there is no evidence to support this assumption.", "Det har emellertid sagts ur en historisk synvinkel att det inte finns något bevis som stöder detta antagande."
"We have seen no evidence to support allegations of involvement by the Algerian security authorities.", "Vi har inte funnit några bevis som stöder beskyllningarna att de algeriska säkethetsstyrkorna skulle vara inblandade."
"There is no evidence to support zero tolerance.", "Det finns inte några belägg som stöder nolltolerans."
"However, we have heard no detailed evidence to support this, contrary to what the Commissioner has said.", "Vi har emellertid inte sett något mer detaljerat material som stöder detta, i motsats till vad kommissionen har sagt."
"I must stress that the Presidency does not have any reason or evidence to support those doubts.", "Jag måste betona att ordförandeskapet inte har någon anledning att tro att det är på det sättet eller har några bevis som underbygger dessa tvivel."
"We have attended all your meetings, hearings, missions and discussions and have given evidence and support whenever required.", "Vi har närvarat vid alla era sammanträden, utfrågningar och diskussioner, och bistått med material och stöd när detta har krävts."
