//Sentences
"Go out with a bang", "Dö i en smäll."
"It is good for business – in particular for SMEs – and it is good for jobs.", "Det ledde till högre arbetslöshetssiffror och stora politiska förluster."
"It is good for business – in particular for SMEs – and it is good for jobs.", "Det är bra för företagen – i synnerhet små och medelstora företag – och det är bra för sysselsättningen."
"Consumer confidence is good for business and would contribute to boosting our competitiveness.", "Konsumenternas förtroende är bra för företagen och skulle bidra till att stärka vår konkurrenskraft."
"It requires a sound understanding of what is good for business and the standard of best practice.", "Det krävs en sund förståelse för vad som är bra för affärerna och för normen med bästa tillämpningar."
"Some do it out of altruism but most do it because eco-consciousness is simply good for business.", "Några gör det av altruism, men de flesta gör det eftersom miljömedvetenheten helt enkelt är bra för affärerna."
"All he cares about...... is what's good for business.", "Allt han bryr sig om är vad som är bra för hans affärer."
"Consumer confidence is good for business and would contribute to boosting our competitiveness.", "Att inte ta itu med dessa förtroendehinder vore inte bara oansvarigt utan också mycket skadligt för både konsumenternas och företagens intressen."
"It is going to be good for business.", "Det kommer att vara bra för affärslivet."
"From my perspective, it means simpler, speedier common customs clearance, and that is good for business and for the European Union as a whole.", "Enligt min mening innebär det enklare och snabbare tulldeklarationer, vilket är bra för företagen och för hela EU."
"It will provide a better flow of money around our economies and therefore is good for business, small businesses and society in general.", "Det kommer att leda till ett bättre kassaflöde i våra ekonomier och det är därför bra för näringslivet, småföretagen och samhället i stort."
"Apply effectively the legislation we already have and encourage health and safety actions as good for business as well as for workers.", "Tillämpa den lagstiftning som vi redan har effektivt och uppmuntra till åtgärder för arbetsmiljö som är lika bra för företagen som för arbetstagarna."
"The fact that there were at least three major production centres, the USA, Europe and Asia, was extremely good for business all round.", "Det faktum att det har funnits minst tre starka produktionscentrum, USA, Europa och Asien, har varit mycket, mycket bra för saken och affärerna för alla."
"So it is not only a good way of maintaining jobs in the sector, it is a good, profitable business for the Community economy.", "Det är sålunda inte bara ett bra sätt att bibehålla arbetstillfällena inom denna sektor, utan det är dessutom en bra och lönsam verksamhet för gemenskapens ekonomi."
