//Sentences
"Even at that rate, by 2100 average GDP per capita in the world will be $200,000.", "Till och med då, vid 2100 är genomsnittligt GDP per capita över 200 000 dollar."
"The region had already reached 102.9% of the EU-27 average GDP per capita by 2004.", "Regionen hade redan 2004 nått 102,9 procent av genomsnittligt BNP per capita för EU-27."
"The United States of America reached the EU's current level of GDP per capita in 1985.", "Amerikas förenta stater nådde EU:s nuvarande nivå för BNP per capita 1985."
"There is potential in the Member States that are not rich, at least in GDP per capita terms.", "Det finns potential i de fattigare medlemsstaterna, åtminstone när det gäller BNP."
"So it'll show you GDP per capita, population, longevity, that's about it.", "Den visar er BNP per capita, befolkning, livslängd, och det är allt."
"This would apply to all regions where GDP per capita falls between 75% and 90% of EU GDP.", "Detta skulle gälla alla regioner där BNP per invånare ligger mellan 75 och 90 procent av BNP i EU."
"Today, it has a GDP per capita lower than Rwanda or Bangladesh.", "I dag har det lägre BNP per invånare än både Rwanda och Bangladesh."
". - According to Eurostat data, Croatian GDP per capita stands at 53 per cent of the EU average.", "skriftlig. - (EN) Enligt Eurostats statistik uppgår Kroatiens BNP till 53 procent av genomsnittet i EU."
"GDP per capita in the USA is miles ahead of the European Union.", "USA:s BNP per capita är skyhögt överlägsen EU:s."
"GDP per capita, which will be over a million, but world GDP per capita -- $200,000.", "USAs GDP per capita blir över en miljon dollar."
"It has oil and forest resources and a GDP per capita double that of the average African country.", "Det har olje- och skogsresurser och en inhemsk bruttoprodukt som är dubbelt så hög som i genomsnitt i de afrikanska länderna."
"It is no accident that these ultra-peripheral regions of the European Union have the lowest GDP per capita.", "Det är ingen tillfällighet att dessa regioner i de yttersta randområdena har de allra lägsta inkomsttalen per capita."
"It is no accident that these ultra-peripheral regions of the European Union have the lowest GDP per capita.", "Det är ingen tillfällighet att dessa regioner i de yttersta randområdena har de allra lägsta inkomsttalen per capita ."
"For instance, Lithuania's GDP per capita remains low (when we joined the EU, it was 48% of the Union average).", "Exempelvis är Litauens BNP per capita fortfarande låg (när vi gick med i EU var den 48 procent av unionens genomsnitt)."
"The region shows an economic contrast, with annual GDP per capita ranging from EUR 500 to EUR 8000.", "Det råder stora ekonomiska skillnader inom regionen, och den årliga bruttonationalprodukten (BNP) varierar från 500 euro till 8 000 euro."
"Here is GDP per capita from 1900 to 1929.", "Här är GDP per capita från 1900 till 1929."
"The report shows that, in general, they are a long way behind EU countries, especially in terms of GDP per capita.", "Av betänkandet framgår det att de i allmänhet ligger rejält efter Europeiska unionens länder, i synnerhet på området BNP per capita."
"The suggestion of using indicators supplementing basic GDP per capita in relation to different NUTS levels remains, however.", "Förslaget om att använda indikatorer som ersätter grundläggande BNP per capita i förhållande till olika NUTS-nivåer kvarstår dock."
"At the very least, this would require funds to be doubled, based on a greater contribution from countries with a higher GDP per capita.", "Detta skulle åtminstone kräva att medlen dubblades, på grundval av ett större bidrag från länder med högre BNP per capita."
"This is the GDP per capita.", "Det här är BNP per capita."
"Maybe the GDR I created for my mother, was the one I would have liked to have.", "Kanske att det DDR som jag skapade för min mor, var det jag skulle viljat ha"
"It also asked for forgiveness for the GDR's involvement in crushing the Prague Spring.", "Det bad också om ursäkt för DDR:s inblandning i att krossa Pragvåren."
"This was nearly ten years ago when the GDR became part of Germany.", "Det var för nästan tio år sedan då DDR blev en del av hela Tyskland."
"On the occasion of today's annual anniversary of the GDR, Erich Honecker resigned... from all his functions.", "Vid dagens årliga firande aviserade Erich Honecker sin avgång från alla poster"
"However, I became Prime Minister in order to abolish the GDR and to lead the East Germans into unity.", "Jag blev emellertid ministerpresident för att avskaffa DDR och leda östtyskarna till enhet."
"The people of the GDR acted confidently and responsibly and did justice to their newly acquired freedom.", "DDR:s folk agerade med förtroende och ansvar och gjorde sin nyförvärvade frihet rättvisa."
"Security officers of West Berlin hinder the work of the GDR television.", "Västberlinsk säkerhetspersonal hindrade DDRteves arbete"
"A total of EUR 273 million has been paid out (GDR 93.6 billion) or EUR 18 (GDR 6 170) per enterprise.", "Totalt beviljades 273 miljoner euro (93,6 miljarder GDR) eller 18 euro (6 170 GDR) per företag!"
"The new head of state addressed the GDR's population in the evening.", "Den nye DDRledaren talade till folket under kvällen"
"As mum hardly couldn't wait, we simply moved the GDR's anniversary... from October 7 to October 2, 1990:", "Eftersom mamma knappast kunde vänta, flyttade vi DDRfirandet.. från t oktober till 2 oktober 1990:"
"They cancelled the treaty between Hungary and the GDR, thereby knocking the first brick out of the Berlin Wall.", "De sade upp fördraget mellan Ungern och DDR och slog därmed den första sprickan i Berlinmuren."
