//Sentences
"Not too long ago I was in Moscow where we will be getting another system in the form of GLONASS.", "Jag var för inte alltför länge sedan i Moskva, där vi skulle få ett tilläggssystem med Glonass."
"This technology already exists in the USA (the GPS system) and in Russia (the GLONASS system).", "Denna teknik existerar redan i Förenta staterna (GPS-systemet) och i Ryssland (GLONASS-systemet)."
"The Russian GLONASS is probably not entirely in the same category.", "Det ryska Glonass hamnar väl inte helt i samma kategori."
"We have to remember that Europe may be overtaken by the Russian GLONASS or the Chinese BEIDOU system.", "Vi måste komma ihåg att Europa kan tas över av det ryska Glonass- eller det kinesiska Beidousystemet."
"At the moment, there are two systems of this type: the American GPS system and the Russian GLONASS system.", "För närvarande finns det två system av denna typ: GPS (Förenta staterna) och Glonass (Ryssland)."
"Together with the US GPS and the Russian GLONASS, they must contribute to improving our navigation system.", "Tillsammans med det amerikanska GPS och det ryska Glonass måste de bidra till att förbättra vårt navigationssystem."
"We can no longer tolerate an air-traffic system which sees us dependent on GLONASS and GPS - the Russian and American military systems.", "Det duger framför allt inte inom luftfarten att vi fortfarande är beroende av Glonass och GPS, ett ryskt och ett amerikanskt miliärt system."
"We still have the American GPS, the Russians have GLONASS, and the Chinese are setting something up.", "Anne E. Jensen har berört detta: Vi har ju ändå det amerikanska GPS, ryssarna har Glonass, och kineserna håller på att bygga upp någonting."
"In addition, I feel that cooperation with third countries is important, especially with Russia, mainly in projects of the GPS-Glonass-Galileo type.", "Dessutom anser jag att samarbete med tredjeländer är viktigt, särskilt med Ryssland, framför allt i projekt av typen GPS, Glonass och Galileo."
"This is why we are proposing Galileo, which will be a purely civilian organisation, as opposed to the USA’ s GPS system or the Russian Glonass, which are under military control.", "Arbetet i rymdsektorn måste bli en del av verksamheten inom det europeiska forskningsområdet, och huvuddelen av de resurser som anslås till detta område bör delas av unionens medlemsstater."
"My colleague has already mentioned that GLS will also be very important.", "Min kollega har redan nämnt att GLS också kommer att vara mycket viktigt."
"A very brief word on SWIFT and some GLS questions that have been mentioned.", "En mycket kort kommentar om Swift och några GLS-frågor som har nämnts."
"On the first EU anti-trafficking day which was on 18 October 2007, GLS issued recommendations on victim identification and referral services.", "Den första EU-dagen mot människohandel som inföll den 18 oktober 2007 utfärdade GLS rekommendationer om identifiering av offer och remitteringstjänster."
"There will be a Troika meeting on GLS affairs on 27 and 28 October in Washington, in the framework of our cooperation on justice, freedom and security.", "Det kommer att hållas ett trojkamöte om GLS-frågor den 27-28 oktober i Washington, inom ramen för vårt samarbete om rättvisa, frihet och säkerhet."
"Moreover, a concentration of 10 g/m3 must not be exceeded during that period.", "Under den perioden får man dessutom inte överskrida en koncentration på 10 g/m3."
"A Comparison of the Effects of Three GM Corn Varieties on Mammalian Health.", "A Comparison of the Effects of Three GM Corn Varieties on Mammalian Health."
"Well, it is making it unnecessarily expensive to import non-GM soya beans.", "Man gör det onödigt dyrt att importera sojabönor som inte är genmodifierade."
"However, consumers are entitled to information about whether or not they are eating GM food.", "Men konsumenterna har rätt till information angående om de äter genmat eller inte."
"The question therefore arises - should it be labelled as GM or not?", "Därigenom uppstår frågan om det bör märkas som genetiskt modifierat eller inte."
"Obviously, I would also like to increase consumer confidence in GM food.", "Naturligtvis vill även jag öka konsumentens förtroende för GMO-livsmedel."
"The biotech industry in Europe alleges that GM farming is inevitable.", "EU:s bioteknikindustri hävdar att odling med genmodifierade produkter är oundvikligt."
"GM Europe recently announced that the OPEL plant in Antwerp is to close.", "GM Europe har nyligen meddelat att Opelfabriken i Antwerpen ska stängas."
"That could quite easily be the case, and GM foods are only one example of it.", "Detta kan ju mycket väl vara fallet. Genmodifierat livsmedel är ju bara ett exempel på detta."
"Consumers want to be able to decide freely between GM products and conventional products.", "Konsumenterna vill fritt kunna välja mellan GMO-produkter och konventionella produkter."
"For the first time the Commission proposal specifically covers GM feed.", "För första gången omfattar kommissionens förslag specifikt genetiskt modifierat djurfoder."
"Certified non-GM soya bean meal is currently only available for a small market segment.", "Marknaden för certifierat GM-fritt sojamjöl är i dag mycket liten."
"There are 44 European regions that have declared themselves GM-free.", "Det finns 44 EU-regioner som har förklarat sig fria från genetiskt modifierade organismer."
"The Commission has no discretion on the safety assessment of a GM product.", "Kommissionen har ingen bestämmanderätt när det gäller riskbedömning av genmodifierade produkter."
"We must address not only this issue, but also the use of GM grain.", "Vi måste ta itu med inte bara denna fråga utan även med frågan om genmodifierat spannmål."
"There was a question regarding enzymes and the GM Food and Feed Regulation.", "Det var en fråga som gällde enzymer och förordningen om genetiskt modifierade livsmedel och foder."
"Herculex, one of the few approved GM seeds, took 33 months to achieve EU approval.", "Herculex, ett av få godkända genetiskt modifierade utsäden, behövde 33 månader för att godkännas i EU."
"The next item is the Commission statement on GM/Opel: current developments.", "Nästa punkt på föredragningslistan är kommissionens uttalande om GM/Opel: den senaste utvecklingen."
"This is the first time in 12 years that GM crops have been given the go-ahead in the EU.", "Detta är första gången på tolv år som man inom EU har gett grönt ljus för genmodifierade grödor."
"In the future it is likely that more and more animal feed will be derived from GM crops.", "I framtiden är det troligt att allt mer livsmedel kommer att härröra från genmodifierade grödor."
"This is the first time in 12 years that GM crops have been given the go-ahead in the EU.", "Detta är första gången på tolv år som man inom EU har gett grönt ljus för genmodifierade grödor."
"In the future it is likely that more and more animal feed will be derived from GM crops.", "I framtiden är det troligt att allt mer livsmedel kommer att härröra från genmodifierade grödor."
"Other areas in which research is crucial are GM crops and biotechnology.", "Andra områden där det är mycket viktigt med forskning är genetiskt modifierade grödor och bioteknik."
"Will they deny that GM crops have major environmental benefits?", "Kommer de att förneka att genetiskt modifierade grödor har betydande miljömässiga fördelar?"
"There are major differences of opinion between researchers about the risks involved in GM crops.", "Det råder stor oenighet mellan forskare om riskerna med GMO-grödor."
"Between 2000 and 2001, the number of acres planted to GM crops increased by almost 20%.", "Mellan år 2000 och 2001 ökade antalet odlade hektar av genetiskt modifierade grödor med nästan 20 procent."
"Cultivation of GM crops should be the decision of individual Member States.", "Om genmodifierade grödor ska odlas eller inte bör vara ett beslut som fattas av de enskilda medlemsstaterna."
"Between 2000 and 2001, the number of acres planted to GM crops increased by almost 20 %.", "Mellan år 2000 och 2001 ökade antalet odlade hektar av genetiskt modifierade grödor med nästan 20 procent."
"Finally, there are a number of national consultation processes going on in the Member States on GM crops.", "Slutligen pågår ett antal samrådsförfaranden om genetiskt modifierade grödor i medlemsstaterna."
"GM crops are an experiment, by any definition.", "Genmodifierade grödor är i vilket fall som helst ett experiment."
"GM crops have the potential to bring major benefits, but they also pose threats to the environment.", "Genetiskt modifierade grödor har potentialen att föra med sig stora fördelar, men de utgör också hot för miljön."
"More and more parts of the world are abandoning GM crops.", "Alltfler områden i världen överger GMO-grödorna."
"But what use will all this valuable work be if, concurrently, we allow GM to infiltrate our crops, and thus our food and produce?", "Här försöker vi skydda produkternas egenart och de lokala ingrediensernas unika särdrag."
"In 2001, 5.5 million farmers in 13 countries grew an estimated 52.6 million acres with GM crops.", "År 2001 producerade 5,5 miljoner jordbrukare i 13 länder uppskattningsvis 21,3 miljoner hektar genetiskt modifierade grödor."
"It is no coincidence that most GM crops cultivated around the world are resistant to a specific pesticide.", "Det är ingen tillfällighet att de flesta GMO-grödor som odlas globalt är resistenta mot ett specifikt bekämpningsmedel."
