//Sentences
"HD voice, Noise Blackout 3.0 and Wind Noise Reduction technology are all included as standard.", "HD Voice, Noise Blackout 3.0 och vindbrusreducerande teknik ingår som standard."
"Note that some users have reported having issues with the Intel HD 3000 video card.", "Få mer information om webbläsare och grafikkort som stöds på."
"Interview with aerospace student at hd.se (Swedish)", "Intervju med rymdstudent på hd.se"
"Click the 'HD' button and the screen sizing button below the YouTube screen if you want to view it in a better resolution and in full screen mode.", "Klicka på HD-knappen och knappen för skärmstorleksändring under YouTube-skärmen om du vill se den i bättre upplösning och i helskärmsläge."
"In this case, it doesn't matter if the referenced directory structure is recorded on drive C: or drive D: respectively on Volume HD1 or HD2 or wherever.", "Det spelar ingen roll om den filstrukturen befinner sig på t.ex. enhet C: eller enhet D: respektive volym HD1, HD2 eller någon annanstans."
"One of our most advanced wireless, Bluetooth headsets with noise cancelling features and HD Voice technology for the clearest calls available on a headset", "Ett av våra mest avancerade trådlösa Bluetooth-headset med brusreduceringsfunktion och HD Voice-teknik för de tydligaste samtalen du kan få på ett headset"
"From our ultimate comfort ear gels, to our Noise Blackout™ and HD Voice technology, a Jabra headset offers you all the functionality you require, in an attractive, easy-to-use package.", "Jabras headset har allt du kan tänkas behöva - från våra suveränt bekväma Eargels till vår Noise Blackout- och HD Voice-teknik - i en attraktiv och lättanvänd förpackning."
"It wishes to wait for the final evaluation of the HELIOS II programme before taking action.", "Den önskar först avvakta den slutliga utvärderingen av HELIOS II-programmet innan den agerar."
"We have the Helios reconnaissance satellites, the German SAR Lupe ones and the Italian Cosmo-Skymed.", "Vi har Helios rekognosceringssatelliter, tyska SAR Lupe-satelliter och italienska Cosmo-Skymed."
"Because that is so, the Commission has held back and not yet produced a successor programme to HELIOS II.", "Mot denna bakgrund har kommissionen slagit till reträtt och inte utarbetat något uppföljningsprogram till HELIOS II."
"It's called "helios" -- helios from the Sun.", "Det kallas "helios" -- helios från Solen."
"With the end of the HELIOS programme, the Commission undertook to integrate the programme's objectives into all its policies.", "I och med att Heliosprogrammet avslutades förpliktade sig kommissionen att införliva dess mål i kommissionens samtliga strategier."
