//Sentences
"Ray Mauritsson is a director of HMS Industrial Networks.", "Ray Mauritsson är styrelseledamot i HMS Industrial Networks."
"During the Falklands crisis, Mrs Thatcher successfully reprieved the Ark's sister ship, HMS Invincible.", "Under Falklandskrisen gav Margaret Thatcher framgångsrikt respit till Arks systerfartyg, ”HMS Invincible”."
"This month we lost the carrier HMS Ark Royal prematurely with the loss of 6 000 dedicated personnel.", "Den här månaden förlorade vi hangarfartyget HMS Ark Royal i förtid vilket innebar en förlust av 6 000 hängivna anställda."
"HMS Tireless is safe in British territory and the repairs will be carried out to the highest safety standards.", "HMS Tireless är i säkra händer på brittiskt territorium och reparationerna kommer att utföras så att fartyget uppfyller de allra högsta säkerhetsnormerna."
"I appeal to David Cameron to see sense and reprieve both the carrier HMS Ark Royal, and at least a minimum number of Harriers.", "Jag vädjar till David Cameron att ta sitt förnuft till fånga och ge respit till både fartyget ”HMS Ark Royal” och till åtminstone ett minimum av Harrier-flygplan."
"On 16 May 2000, the British submarine ”HMS Tireless”, which had suffered a breakdown in its nuclear reactor cooling system, arrived in the harbour of Gibraltar.", "Den 16 maj 2000 ankom den brittiska ubåten "HSM Tireless", vars system för nedkylning av kärnreaktorerna hade gått sönder, till hamnen i Gibraltar."
"Honourable Members have asked a number of questions relating to the presence of the British nuclear submarine HMS Tireless in Gibraltar for repairs to her nuclear reactor.", "Vissa ledamöter har ställt en rad frågor som rör den brittiska atomubåten HMS Tireless närvaro i Gibraltar för reparationer av hennes atomreaktor."
"The British nuclar ballistic missile submarine ‘HMS Tireless’ has been docked in the harbour of Gibraltar for the repair of a crack in its nuclear reactor since 19 May.", "Sedan den 19 maj i år har den brittiska atomubåten "HMS" Tireless utrustad med ballistiska missiler legat i hamnen i Gibraltar för att få en spricka i kärnreaktorn reparerad."
"The first ship in the area after the humanitarian crisis began was HMS Cumberland from our own country, which was in the area because she was on her way to be scrapped!", "Det första fartyget i området efter att den humanitära krisen började var HMS Cumberland från vårt eget land, som befann sig i området eftersom hon var på väg att utrangeras!"
"Sadly, although I am supportive of HPV tests, I cannot support Amendment 34.", "Även om jag är positiv till HPV-test kan jag tyvärr inte stödja ändringsförslag 34."
"Then, combining the cervical smear (pap test) with the HPV test to detect cervical cancer.", "Därefter vill vi kombinera cellprovtagning med HPV-test för att upptäcka livmoderhalscancer."
"I am thinking of not only the HPV test, but also the test for prostate cancer in Luxembourg and the test for colon cancer.", "Jag tänker inte enbart på HPV-testerna, utan även på tester av prostatacancer i Luxemburg och testen för grovtarmscancer."
"Now we need the HPV alongside it.", "Nu behöver vi dessutom HPV-testet."
"Now we need the HPV alongside it.", "Vi behöver fler PET-scanners."
"Figures published by experts show that the introduction of the HPV test would help to reduce this number of deaths by at least a third.", "Siffror som publicerats av experter visar att införandet av HPV-test skulle bidra till att minska antalet dödsfall med minst en tredjedel."
"more_vert open_in_new Link to statmt.org warning Request revision The operation's HQ has been established in Mons.", "expand_more Operationens högkvarter har upprättats i Mons."
"HQ sent them out here to capture one of the rebel leaders.", "HQ skickade ut dem för att fånga en av rebell ledarna."
"What do you mean he's not in HQ?", "Vad menar du Han är inte i HQ?"
"HQ, HQ, this is Alpha Squad.", "HQ, HQ, detta är Alpha Squad."
"They rolled up HQ.", "Dom rullade upp HQ."
". - I am deeply proud to see the UK leading the work of the EU's first naval ESDP mission, Operation Atalanta, with a British Commander at its head and its operational HQ in the UK.", "Jag är mycket stolt över att Storbritannien leder EU:s första marina ESFP-uppdrag, insatsen Atalanta, med en brittisk befälhavare i spetsen och det operativa högkvarteret i Storbritannien."
"more_vert open_in_new Link to TED warning Request revision And I found myself in front of an HR manager in 1999, saying something I never imagined that I would say.", "personalchef 1999 och sa någonting jag aldrig hade föreställt mig att jag skulle säga."
"Industrial Competence Inc Contact information: Katarina Nyhammar, HR Manager www.industrikompetens.se", "Industrikompetens AB Kontaktperson: Karl Eldebo, Projektledare kompetens www.industrikompetens.se"
