//Sentences
"I always thought you had a little yen for your dad.", "Jag har alltid trott att du haft lite begär för din pappa."
"I always thought the Member States were responsible for such matters; in my country, Germany, it is the Länder.", "Jag har alltid trott att medlemsstaterna ansvarade för dessa frågor. I mitt land, Tyskland, är det delstaterna."
"I always thought he was rather a good policeman.", "Jag har alltid tyckt att han är en bra polis."
"You know, I always thought that maybe you were.", "Det har jag nog trott att du är."
"During this meeting, on the tenth day, he said, 'I always thought that man is evil... now I am not sure'.", "Under denna sammankomst, på den tionde dagen, sade han: " Jag har alltid trott att människan är ond ... jag är inte så säker på det längre" ."
"During this meeting, on the tenth day, he said, 'I always thought that man is evil... now I am not sure '.", "Under denna sammankomst, på den tionde dagen, sade han: " Jag har alltid trott att människan är ond... jag är inte så säker på det längre "."
"I always thought it was below the waist.", "Trodde att det var under midjan."
"At the same time, and I always thought this was correct, we have quite simply deleted Chapter 8 from the Convention entirely.", "Vad beträffar att ställa arbetstillfällen till förfogande i medlemsstaterna inriktade vi oss också på subsidiaritetsprincipen."
"Mr President, I always thought being an MEP was a waste of time, but this really takes the biscuit here this evening.", "(EN) Herr talman! Jag har alltid tyckt att det är slöseri med tiden att vara parlamentsledamot, men det här tar verkligen kvällens pris."
"I always thought that what happened in the streets of Seattle only had a very small bearing on what was obviously a failure.", "Jag har alltid trott att det som hände på gatan i Seattle bara var ett extremt marginellt bidrag till detta uppenbara misslyckande."
"And I always thought I knew her.", "Jag trodde jag kände henne."
"I always thought it was marvellous that the percentage of gross national product coming into European spending was declining.", "Jag har alltid ansett att det var fantastiskt att det procentantal av bruttonationalprodukten som kom in i de europeiska utgifterna minskade."
"I am almost embarrassed to face Mrs Thors, because I always thought I was the hardliner here, and now she is clearly a harder hardliner than I am.", "Jag skäms lite inför Thors, eftersom jag alltid tror att jag är en hardliner här, och nu är hon en ännu värre hardliner än jag faktiskt är."
"I do not know what he was taught at home, but I always thought it would be good manners to thank those people who had made this package possible.", "Jag vet inte hur han är uppfostrad men jag har alltid tyckt att det hör till god ton att tacka de människor som har gjort det här paketet möjligt."
"I started with improvisation, in a particular form of improvisation called theater games, which had one rule, which I always thought was a great rule for an ethic for a society.", "Jag började med improvisation. ~~~ I en särskild form av improvisation som kallas teaterspel, som hade en regel, som jag alltid har tyckt vore en fantastisk regel som etik för ett samhälle."
"I always thought that keeping a full paper record of what everyone said, which was archived and which people could look at for many years to come, was an inherent part of being a parliament.", "Jag har alltid ansett att ett fullständigt referat i pappersform av allas inlägg, som arkiverades och som människor kunde titta på under åratal framåt, var en del av tanken med ett parlament."
"I cannot comment on the last question, as to the substance of the information.", "Jag kan inte kommentera den sista frågan när det gäller informationens innehåll."
"But I do not know what he said on this issue so I cannot comment.", "Men jag vet inte vad han har sagt. Därför kan jag inte heller kommentera det."
"Because of the lack of time, I cannot comment on each amendment.", "På grund av tidsbristen kan jag inte kommentera varje ändringsförslag."
"I must repeat that I cannot comment on statements attributed to the President of the Commission.", "Jag upprepar att jag inte kan kommentera uttalanden som tillskrivs kommissionens ordförande."
"I regret that I cannot comment more specifically on this.", "Jag beklagar att jag inte kan komma med några närmare utläggningar om det."
". - As I said earlier, I cannot comment on specific cases or criminal accusations.", "Som jag sade tidigare kan jag inte kommentera enskilda fall eller brottsanklagelser."
"Mr President, I cannot comment on that quotation because the Council has not considered this matter.", "Herr ordförande! Jag kan inte kommentera det citatet, eftersom inte rådet har ägnat sig åt frågan."
"I do not speak Swedish, so I cannot comment further.", "Jag talar ingen svenska, så att jag kan inte säga något mer om detta."
"All I can do is repeat that I cannot comment on the content of statements by people who visit me.", "Jag kan bara upprepa att jag inte kan gå in på innehållet i de uttalanden som görs av de personer som besöker mig."
"The question relates to the activities of the Council of Europe's Parliamentary Assembly, on which I cannot comment.", "Frågan rör verksamhet i Europarådets parlamentariska församling, som jag inte kan uttala mig om."
"I cannot comment on it here on behalf of the Council.", "Jag kan i rådets namn inte säga något om det."
"Personally I cannot comment on his remarks, and he will understand this, in view of my responsibilities before this Assembly.", "Jag kan personligen inte svara på dem, vilket han förstår, med tanke på mina skyldigheter inför denna församling."
"I cannot comment on the substance of the claims, but I believe they are serious enough for us to look into them very thoroughly.", "Jag kan inte kommentera innehållet i betänkandet, men jag tror att det räcker gott att vi synar detta på djupet."
"Mr Mitchell, you will probably agree that I cannot comment on information and data appearing in the media or elsewhere.", "Ni håller antagligen med om att jag inte kan kommentera information och uppgifter som förekommer i medierna eller på annat håll."
"So I cannot comment on that.", "Jag kan följaktligen inte kommentera detta."
"I cannot comment on them. I can only tell you our position, which is not the same as the United States' position.", "Jag kan inte uttala mig om dessa frågor utan bara tala om vår ståndpunkt i saken, vilken inte är detsamma som Förenta staternas ståndpunkt."
"The question relates to the activities of the Council of Europe's Parliamentary Assembly, on which I cannot comment.", "Aktuella EU-medlemskandidater utesluts från medlemskap, och potentiella kandidatländer på västra Balkan har separata särskilda ordningar."
"I cannot comment on the results but I have to say that the Dutch presidency has shown a lot of interest in the budgetary issues.", "Jag kan inte kommentera resultaten, men jag måste säga att det holländska ordförandeskapet visat stort intresse för budgetfrågorna."
"I cannot comment on the advantages or otherwise of roll-call votes from my position in the Chair.", "Mina damer och herrar, detta ordförandeskap diskuterar inte - och har inte möjlighet att göra det - huruvida det är lämpligt eller inte med omröstningar med namnupprop."
"I cannot comment on it.", "Jag kan inte kommentera detta."
"Madam President, I cannot remember how I voted on the Lisbon Strategy.", "- (EN) Fru talman! Jag minns inte hur jag röstade angående Lissabonstrategin."
