//Sentences
"If you do so, this will backfire against ordinary people's trust in the European Union.", "Om ni gör det kommer det att slå tillbaka mot vanligt folks förtroende för EU."
"Taoiseach Ahern, do you support this programme and will you do so in April?", "Premiärminister Bertie Ahern! Stöder ni detta program och kommer ni att stödja det i april?"
"It is a test of your commitment to this agreement whether you do so.", "Huruvida ni gör det eller inte är ett test på ert engagemang i detta avtal."
"Before you do so, you should investigate whether certain rumours are backed up by objective facts.", "Innan man gör det måste man undersöka om vissa rykten är underbyggda av objektiva fakta."
"The proper procedure is that, if you reduce speaking time, you do so for each Commissioner.", "Det korrekta förfarandet är att om man skär ned taletiden så gör man det för alla kommissionsledamöter."
"If you do so, you can also enter 1:11 or 7:1, for example.", "När Du själv anger skalan kan Du t ex skriva 1:11 eller 7:1."
"But you do so at a price and at a very serious price.", "Men ni gör detta till ett pris, och till ett mycket högt pris."
"You have the power and the responsibility to control speaking time and I'm asking that you do so in the future.", "Ni har befogenhet och skyldighet att kontrollera talartiderna och jag ber er att göra det i framtiden."
"If you do so, the text will be indented and in italics.", "Texten visas då t ex med indrag och i kursiv stil."
"Make sure that you're not signed in to the Google Account associated with your AdWords account when you do so.", "Se till att du inte är inloggad på det Google-konto som är kopplat till ditt AdWords-konto när du gör detta."
"Commissioner, what could you do so that certain Member States do not slow down development in this sector?", "Kommissionsledamot! Vad kan ni göra för att vissa medlemsstater inte bromsar upp utvecklingen inom det här området?"
"Before you do so, you should investigate whether certain rumours are backed up by objective facts.", "Vi skall i morgon diskutera en kompromissresolution som troligen kommer att inkludera alla texter som parlamentet redan har antagit."
"When you do so the template is saved under a new name.", "Mallen sparas med ett nytt namn."
"I therefore hope, Commissioner, that you will actually do what you have said, and we shall watch that you do so.", "Därför hoppas jag, herr kommissionsledamot, att ni verkligen gör vad ni har sagt, och vi kommer att ge akt på att ni gör det."
"Will you do so as soon as possible?", "Är ni beredda att mycket snabbt ta kontakter?"
"If you do so, we will be behind you.", "Om ni gör det kommer vi att stå bakom er."
"President-in-Office, if you are unable to give us an answer to this question during this debate, will you do so in writing?", "Herr rådsordförande! Om ni inte kan ge oss ett svar på den här frågan under denna debatt, kommer ni att göra det skriftligt?"
"If you do so, that is your business.", "Om du gör så är det din sak."
"If you assume such a leadership role, we will support you, but, if you do so, please make a social Europe one of your objectives!", "Om ni antar en sådan ledarroll kommer vi att stödja er, men om ni gör det vill vi att ni gör ett socialt Europa till ett av era mål."
"If you convey this message to the Council tomorrow, we will be on your side; but we will only be on your side if you do so, Mr President!", "Om ni förmedlar det här budskapet till rådet i morgon kommer vi att stå på er sida. Men vi kommer bara att stå på er sida om ni gör det!"
"Moreover, the issue of import tariffs must certainly be raised at bilateral level.", "Därutöver måste frågan om importtullar förvisso tas upp på bilateral nivå."
"It was cast aside by the recent decision on the part of the US to impose import tariffs on steel.", "Det kasserades genom Förenta staternas beslut att införa importtullar på stål."
"That is why that country will need to make a reasonable offer in the form of a reduction of its import tariffs.", "Därför måste Indien lämna ett skäligt erbjudande i form av reducerade importtullar."
"From now on, the European Union will gradually reduce its import tariffs on bananas from Latin America.", "Hädanefter kommer EU att gradvis sänka sina tullsatser för import av bananer från Latinamerika."
"If, today, we reduce import tariffs on bananas from Latin America, this produce will become more competitive.", "Om vi i dag minskar tullsatserna för bananer från Latinamerika kommer denna produkt att bli konkurrenskraftigare."
"Instead of reducing import tariffs, we should establish a sensible policy of protectionism at our economic borders.", "I stället för att sänka importtullarna borde vi införa en förnuftig protektionistisk politik vid våra gränser."
"The most important of these issues for Ireland related to improved market access, or the reduction of import tariffs.", "De viktigaste frågorna för Irland hade att göra med förbättrad marknadstillgång, eller sänkning av importtullar."
"It is morally wrong for poor people to pay more for food and medicines because of government import tariffs.", "Det är moraliskt fel att fattiga människor betalar mer för livsmedel och mediciner på grund av regeringarnas importtullar."
"The cuts proposed in export subsidies, import tariffs and domestic farm support are both excessive and unnecessary.", "De nedskärningar som föreslås för exportstöd, importtullar och inhemskt jordbruksstöd är både överdrivna och onödiga."
"What is the chance of the import tariffs remaining at around 36% reduction and not closer to the 60% proposed?", "Hur stor är chansen att minskningen av importtullarna stannar vid omkring 36 procent och inte närmare de föreslagna 60 procent?"
"What is the chance of the import tariffs remaining at around 36 % reduction and not closer to the 60 % proposed?", "Hur stor är chansen att minskningen av importtullarna stannar vid omkring 36 procent och inte närmare de föreslagna 60 procent?"
"Only last week, President Bush unleashed a fresh trade war by restricting steel imports by means of import tariffs.", "Så sent som under den gångna veckan utlöste president Bush ett nytt handelskrig genom att tygla importen av stål med importavgifter."
"The reduction in import tariffs of up to 70% on beef and lamb products being proposed by Mr Mandelson is simply too much.", "Den sänkning med upp till 70 procent av importtullarna på nöt- och lammköttsprodukter som föreslås av Peter Mandelson är att gå för långt."
"I consider it shameful that the Socialists in this House continue to support import tariffs that keep the very poor even poorer.", "Jag tycker att det är skamligt att sociademokraterna i parlamentet fortsätter att stödja importtullar som gör att de fattiga blir ännu fattigare."
"Subject: Import tariffs", "Angående: Importavgifter"
"Under the agreement, the EU will gradually lower its import tariffs on bananas from Latin America from EUR 176 per tonne to EUR 114 per tonne by 2017.", "EU kommer gradvis att sänka sina importtullar på bananer från Latinamerika från 176 euro per ton till 114 euro per ton fram till 2017."
"The next item is the debate on the statement by the Council and the Commission on Transatlantic relations, including steel import tariffs.", "Nästa punkt på föredragningslistan är debatt om rådets och kommissionens uttalanden om det aktuella läget i de transatlantiska förbindelserna, inklusive importtullarna på stål."
"The next item is the continuation of the debate on the Council and Commission statements on Transatlantic relations including steel import tariffs.", "Nästa punkt på föredragningslistan är en fortsättning av debatten om rådets och kommissionens uttalanden om de transatlantiska förbindelserna, inklusive importtullarna på stål."
"The so-called Banana Accompanying Measures have a clear objective: to support the adjustment of 10 ACP banana-exporting countries to changing EU import tariffs for bananas.", "De så kallade stödåtgärderna för bananer har ett tydligt syfte: att stödja anpassningen av tio bananexporterande AVS-länder till EU:s ändrade importtullar för bananer."
"The system has got nothing to do with the market, it is more like something from a planned economy, a combination of production quotas, minimum prices, import tariffs and export subsidies.", "Det systemet har inget med marknaden att göra utan kan snarare jämföras med en planekonomi, en kombination av produktionskvoter, minimipriser, importtullar och exportbidrag."
"It helps improve the implementation of a European system on the right to asylum.", "Det bidrar till att förbättra genomförandet av ett europeiskt system om rätten till asyl."
"We try to use all these available instruments to improve implementation.", "Vi försöker använda alla dessa tillgängliga instrument för att förbättra genomförandet."
"We have a number of tools at our disposal to improve implementation.", "Till vårt förfogande står ett antal verktyg för att förbättra genomförandet."
"We have to be actively involved in order to improve the implementation of the European strategy.", "Vi måste delta aktivt, om vi skall förbättra genomförandet av den europeiska strategin."
"This is not enough, however, to improve the implementation of actions and of available appropriations.", "Men det räcker inte för att förbättra genomförandet av tillgängliga åtgärder och anslag."
"They would improve the implementation and application of Community rules everywhere in the European Union.", "De skulle förbättra gemenskapsbestämmelsernas genomförande och tillämpning i hela EU."
"It is up to Member States to improve the implementation of existing national legislation.", "Det är medlemsstaternas uppgift att förbättra genomförandet av de befintliga nationella lagstiftningarna."
"In its report, the Commission emphasises its plans to improve the implementation of existing legislation.", "Kommissionen har i sin rapport betonat, att den vill förbättra möjligheterna till kontroll."
"It is therefore very important that we improve the degree of implementation of the appropriations agreed.", "Det är därför mycket viktigt att genomförandenivåerna för åtagandebemyndigandena förbättras."
"We need to improve the implementation of Community policy.", "Vi måste förbättra genomförandet av gemenskapens politik."
"It is so important now for the European Union to improve the focus and implementation of its strategy.", "Det är viktigt att Europeiska unionen nu förbättrar fokuseringen och genomförandet när det gäller dess strategi."
"I am sure the exchange of data should help to improve the implementation of this framework decision.", "Jag är övertygad om att detta informationsutbyte skulle bidra till att förbättra genomförandet av detta rambeslut."
"Additional efforts are needed to avoid excessive delays and to improve implementation performance.", "Dessutom behövs ytterligare insatser för att undvika alltför stora förseningar och förbättra genomföranderesultatet."
"Almost 300 posts have been created in this area in order to improve implementation of the external assistance programmes.", "Nästan 300 ytterligare tjänster har skapats där, för att förbättra genomförandet av programmen för utrikes bistånd."
"A key task of the Partnership will be to help Member States improve the development and implementation of their cancer plans.", "En av partnerskapets viktigaste uppgifter blir att hjälpa medlemsstaterna att utveckla och genomföra sina cancerplaner."
"This situation is expected to improve with the implementation of Community legislation, for example, in the transport sector.", "Denna situation förväntas förbättras genom genomförandet av gemenskapslagstiftningen, till exempel inom transportsektorn."
"Thirdly it proposed, and continues to propose, steps that must be taken to improve the implementation of this directive.", "För det tredje föreslog den, och föreslår fortfarande, att åtgärder måste vidtas för att förbättra genomförandet av direktivet."
"It is a reality that is changing in a globalised world; thought must continue to be given to how to develop it and improve its implementation.", "Vi måste även i fortsättningen noggrant överväga hur vi ska utveckla och genomföra den på ett bättre sätt."
