//Sentences
"Turkey is in a position to make it clear that integration within the European Union is possible.", "Turkiet är i en ställning som tydligt visar att en integration med EU är möjlig."
"I do not share the rapporteur's view that political integration within the EU needs further strengthening.", "Jag delar inte föredragandens åsikt om att EU: s politiska integration fortfarande behöver stärkas."
"The reports presented this evening deal with the immigration and integration policies within the European Union.", "Det betänkande som läggs fram här i kväll tar upp invandring och integrationspolitik inom EU."
"We need to ensure that strategies for promoting regional integration within the ACP are pursued in their own right.", "Vi måste se till att strategier för att främja regional integrering inom AVS drivs efter egna linjer."
"The European dimension must also be understood now in terms of intensive political and legal integration within the Union.", "Den europeiska dimensionen måste nu också förstås i termer av intensiv politisk och rättslig integration inom unionen."
"However, we oppose the annual report on human rights being used to promote further integration within the EU.", "Däremot motsätter vi oss att det årliga betänkandet om de mänskliga rättigheterna används för att främja ytterligare integration i EU."
"Finally, if we know how to use this instrument, the euro should accelerate political integration within the European Union.", "Slutligen bör euron påskynda den politiska integrationen i Europeiska unionen, om man använder detta verktyg på rätt sätt."
"The Treaty says this: 'Political parties at European level are important as a factor for integration within the Union.'", "Fördraget säger följande: de politiska partierna på europeisk nivå spelar en viktig roll som en faktor för integration i unionen."
"The Treaty says this: 'Political parties at European level are important as a factor for integration within the Union", "Fördraget säger följande: de politiska partierna på europeisk nivå spelar en viktig roll som en faktor för integration i unionen."
"Social policy considerations should not be used as a pretext for further integration within what are separate areas of cooperation.", "Socialpolitiska överväganden skall inte användas som svepskäl till ökad integration inom differentierade samarbetsområden."
"A great many Europeans are not opposed to a united Europe, nor are they opposed to further integration within the European Union.", "Det finns väldigt många européer som varken motsätter sig ett enat Europa eller ytterligare integration inom Europeiska unionen."
"A great many Europeans are not opposed to a united Europe, nor are they opposed to further integration within the European Union.", "Det finns väldigt många européer som varken motsätter sig ett enat Europa eller ytterligare integration inom Europeiska unionen."
