//Sentences
"I'll see you tomorrow for the pre-interview.", "Vi ses imorgon när vi kör intervjun."
"I'll see you tomorrow.", "Vi syns imorgon."
"They provide security, predictability and increased opportunities for development.", "De leder till trygghet, förutsägbarhet och ökade utvecklingsmöjligheter."
"This means there will be increased opportunities for catching halibut, shrimps and queen crab.", "Detta innebär ökade möjligheter att fiska hälleflundra, räkor och drottningkrabba."
"With increased growth the opportunities for us to invest in a better environment increase.", "Med ökad tillväxt ökar våra möjligheter att satsa på en bättre miljö."
"The majority of us support Eurostat's extended powers and the increased opportunities for inspection.", "De flesta av oss stöder Eurostats utökade befogenheter och ökade möjligheter till inspektion."
"When the new Amsterdam Treaty comes into force we shall receive new, increased opportunities for cooperation.", "När det nya Amsterdamfördraget träder i kraft kommer vi att få nya och ökade samarbetsmöjligheter."
"The richer regions will benefit from this through increased market opportunities for their products and services.", "De rikare regionerna kommer att gynnas av detta genom ökade marknadsmöjligheter för sina produkter och tjänster."
"As several Members have already said, the Internet has brought with it greatly increased opportunities for the freedom of expression.", "Internet har, som flera av kollegerna har sagt, inneburit starkt ökade möjligheter för yttrandefrihet."
"Although increased opportunities for investment have already been spoken of, there has been no real change in the situation as yet.", "Trots att man redan talat om att öka investeringsmöjligheterna har det inte ännu skett någon konkret förändring."
"In addition, we now have increased opportunities to coordinate our efforts in the fight against such evils as crime, racism and xenophobia in Europe.", "Den nya konstitutionen bör därför ersätta gällande överenskommelser så att EU kan fungera mer effektivt."
"Globalisation must, on the contrary, be associated with more and better jobs, more opportunities and increased prosperity for all.", "Globaliseringen måste i stället associeras med fler och bättre arbetstillfällen, fler möjligheter och ökat välstånd för alla."
"As was mentioned earlier, the single currency has increased our opportunities, but at the same time also produced new risk factors.", "Såsom man här har konstaterat har den gemensamma valutan ökat våra möjligheter, men samtidigt också skapat nya riskfaktorer."
"On the contrary, future opportunities are increased by a more broadly based basic education system, with many different qualifications and language skills.", "Framtidsmöjligheterna ökar med en bred grundutbildning, med mångsidiga kvalifikationer och språkkunskaper."
