//Sentences
"The question we should analyse in more detail concerns the JPA regional meetings.", "Den fråga vi borde analysera mer i detalj rör församlingens regionala sammanträden."
"To sum up then, my conclusion is that 2006 was a good year for our JPA.", "Min slutsats är att 2006 var ett bra år för vår gemensamma parlamentariska församling."
"This means that there have to be changes in the JPA's modus operandi.", "Detta innebär en förändring av den gemensamma parlamentariska församlingens spelregler."
"It is a good thing that we once again managed to keep them away from the JPA.", "Det är bra att vi än en gång lyckades hålla dem borta från den gemensamma parlamentariska församlingen."
"However, it is also the responsibility of the JPA itself.", "Emellertid är detta också den gemensamma parlamentariska församlingens eget ansvar."
"The JPA has a monitoring and supervisory role that is unique.", "Det är också en positiv förändring att vi har möten i olika EU-länder."
"We have the ACP JPA, we have the Cotonou Agreements.", "Vi har den gemensamma parlamentariska AVS-EU-församlingen, vi har Cotonouavtalet."
"In this emerging setting, a reduction in plenary JPA meetings would make sense.", "Under dessa nya förhållanden vore det förnuftigt med färre möten i den gemensamma parlamentariska församlingen."
"Therefore, our intention is not to weaken the JPA.", "Vår avsikt är därför inte att försvaga den gemensamma parlamentariska församlingen."
"From a more general point of view, the JPA is the only assembly that has no budget.", "Mer allmänt sett är den gemensamma parlamentariska församlingen den enda församling som inte har någon budget."
"We need to find ways of making the JPA more immediately engaged and reactive.", "Vi måste finna sätt att göra den gemensamma parlamentariska församlingen mer direkt engagerad och återverkande."
"The role of the JPA is therefore very precious in the context of the Cotonou Agreements.", "Den gemensamma parlamentariska församlingens roll är därför mycket värdefull i samband med Cotonouavtalet."
"This is at odds with the spirit of solidarity and cohesion within the JPA.", "Detta stämmer inte med andan av solidaritet och sammanhållning inom den gemensamma parlamentariska församlingen."
"The JPA has a monitoring and supervisory role that is unique.", "Den gemensamma parlamentariska församlingen har en övervakande och kontrollerande roll som är unik."
"After the JPA, the African Union Summit will be held in Ghana.", "Efter den gemensamma parlamentariska församlingen kommer Afrikanska unionens toppmöte att hållas i Ghana."
"But we need to do more to encourage more JPA parliaments to have this facility.", "Men vi måste göra mer för att uppmuntra fler parlament inom den gemensamma parlamentariska församlingen till denna möjlighet."
"The JPA is a unique forum and a unique tool for North-South dialogue.", "Den gemensamma parlamentariska församlingen är ett unikt forum och ett unikt verktyg i dialogen mellan nord och syd."
"The JPA is a unique instrument of cooperation and solidarity, North and South.", "Den gemensamma parlamentariska AVS-EU-församlingen är ett unikt instrument för samarbete och solidaritet mellan Nord och Syd."
"I hope the JPA will be actively involved in implementation of the EU-Africa strategy.", "Jag hoppas att den gemensamma parlamentariska församlingen kommer att delta aktivt i genomförandet av EU-Afrika-strategin."
"Let me say to Mrs Kinnock, that I look forward to the meeting with the Joint Parliamentary Assembly (JPA).", "Till Glenys Kinnock vill jag säga att jag ser fram emot mötet med den gemensamma parlamentariska församlingen."
"more_vert open_in_new Link to Open Office warning Request revision In this dialog, you can define the settings for the import/export of files in JPEG format.", "JPEG-format."
"To retain the original colors of the JPEG file when importing or exporting, mark this box.", "Välj den här rutan om du vill behålla originalfärgerna i JPEG-filen vid export respektive import."
"Mark this option if you want to export these files as JPEG files.", "Markera här om du vill exportera sidorna som JPEG-filer."
"Select here the compression factor of the JPEG graphic.", "Välj här komprimeringsfaktorn för JPEG-grafiken."
"Common bitmap file formats are BMP, GIF and JPEG.", "Vanliga bitmapfilformat är BMP, GIF, JPEG."
"JPEG Compression Error", "Fel vid komprimering av JPEG"
"JPEG Creation Error", "Fel vid skapande av JPEG"
"If you want to save the changes to a bitmap image as an image file, for example in the GIF, JPEG or TIFF file format, you must select and export the bitmap image.", "Om du vill spara ändringarna av en bitmapbild som bildfil, t.ex. i filformatet GIF, JPEG eller TIFF, måste du markera och exportera bitmapbilden."
"In another dialog you can now set the options to define the quality of the JPG image.", "I en dialogruta kan du ställa in alternativ för kvaliteten på den skapade JPG-bilden."
"., BMP, GIF, JPG, TIG) or in a metafile format (e.g, WMF).", "Infoga en bild i ett bitmap-format (t.ex. BMP, GIF, JPG, TIF) eller i ett metafilformat (t.ex. WMF)."
"You can insert pictures with different formats into a text document, including graphics with a JPG or GIF format.", "I ett textdokument kan du lägga in grafik i olika format, t.ex. JPG och GIF."
"Save the graphic using File-Save As in either GIF or JPG file format preferably in a subdirectory of C:Homepage (see above).", "Spara grafikobjektet med Arkiv - Spara som i filformatet GIF eller JPG, helst i en underordnad katalog till C:hemsida (se ovan),."
"Thus, in order to have a well-structured and manageable homepage it is better to carry out the conversion to GIF or JPG yourself.", "För att du ska få en välstrukturerad och lättskött hemsida är det i varje fall bättre om du själv gör konverteringen till GIF eller JPG."
"The files are compressed with a selectable compression factor, and, in opposite to the JPG format, PNG files are always compressed without any information loss.", "Grafikobjekten komprimeras med en valfri faktor, men i motsats till JPG-formatet sker komprimeringen alltid utan förlust av bilddata."
"That is not the appropriate place for the decommissionining of the JRC's facilities.", "Det är ingen lämplig plats för att avveckla Gemensamma forskningscentrets anläggningar."
"The total budget allocated to the JRC's activities stands at EUR 760 million.", "Den totala budgeten som tilldelats GFC uppgår till 760 miljoner euro."
"In many research areas, the JRC researchers find themselves in a situation much like a spider in a web.", "Inom många av forskningsområdena sitter GFC-forskarna som en spindel i nätet."
"The JRC is the living embodiment of what European added value means.", "GFC är en personifiering av vad ett europeisk mervärde innebär."
"In this context, can the Commission provide information on the exact budget for the JRC?", "Kan kommissionen samtidigt upplysa om GFC:s exakta budget?"
