//Sentences
"We had Henry, Sarah, Jake and Mark in consecutive years.", "Vi fick Henry, Sarah, Jake och Mark i rätt följd efter år"
"Jake put a bucket on Jessica's head, and it's stuck.", "Jake satte en hink under Jessica`s huvuvud, och den fastnade"
"Jake, do you have to wear black?", "Jake, måste du ha på dig svart?"
"Dad, can I killJake now?", "Pappa, får jag döda Jake nu?"
"Henry and Jake, lunches.", "Henry och Jake, Middagarna."
"more_vert open_in_new Link to europa.eu warning Request revision The Interim Committee of the International Monetary Fund meets in Kingston, Jamaica.", "expand_more Internationella valutafondens interimskommitté håller sammanträde i Kingston på Jamaica."
"more_vert open_in_new Link to europa.eu warning Request revision Internationella valutafondens interimskommitté håller sammanträde i Kingston på Jamaica.", "expand_more The Interim Committee of the International Monetary Fund meets in Kingston, Jamaica."
"As the former Prime Minister of Jamaica once said, the only thing worse than being exploited is not being exploited.", "Som Jamaicas förre premiärminister en gång sa är det bara en sak som är värre än att bli utnyttjad - att inte bli det."
"This is the case of Mumia Abu-Jamal, who has been on death row for over 20 years.", "Det gäller Mumia Abu-Jamal som har varit dödsdömd i över 20 år. Han är inte rik."
"Mumia Abu-Jamal, who is still on death row, has sent him a message of support.", "Mumia Abu-Jamal som fortfarande befinner sig i sin dödscell har meddelat honom sitt stöd."
"This time it is the Mumia Abu-Jamal case, and this time it is in the State of Florida.", "Den här gången är det fallet Abu-Jamal, och den här gången är det i delstaten Florida."
"Men and women are left to rot on death row and Mumia Abu-Jamal is one of these.", "Män och kvinnor lämnas att ruttna i väntan på att bli avrättade, och Mumia Abu-Jamal är en av dem."
"Mumia Abu-Jamal has been sentenced to death and has been waiting on death row for 30 years.", "Mumia Abu-Jamal har dömts till döden och har suttit i dödscell i 30 år."
"Most recently, we discussed the Mumia Jamal case, and now it is the Juan Raul Garza case, among others.", "Sist talade vi om Mumia Jamal - fallet, och nu är det bl.a. Juan Raul Garza-fallet som är aktuellt."
"The life of Mr Abu-Jamal is now more at risk than ever.", "Abu-Jamals liv är nu i större fara än någonsin tidigare."
"(Singing) This is Jamal Walker from Dallas, Texas.", "(Sjunger) Det här är Jamal Walker från Dallas i Texas."
"I believe that if we rally forces again, we will be able to get a man named Mumia Abu-Jamal off death row.", "Jag tror att om vi förenar våra krafter igen kommer vi att kunna få bort en man vid namn Mumia Abu-Jamal från dödslistan."
"Abu-Jamal has just lost his appeal and may be executed any day now, possibly even as we speak.", "Han har nyligen fått avslag på sitt överklagande och kan alltså avrättas från den ena dagen till den andra, just när jag talar till er."
"Like my colleague, I would like to devote a few words to the urgency with which we must intervene to save Moumia Abou Jamal.", "Jag skulle, liksom min kollega, vilja inrikta dessa ord på hur brådskande det är att ingripa för att rädda Mumia Abu-Jamal."
"Time is short, and not just for Mumia Abu-Jamal but for more than 3 000 people condemned to death in the star-spangled Republic.", "Det börjar bli ont om tid, inte bara för Abu-Jamal utan för mer än 3 000 dödsdömda i den stora stjärnsmyckade republiken."
"The second case is that of Abu Jamal.", "Det andra är fallet om Abu Jamal."
"Moumia Abou Jamal may be executed at any moment, since his appeal in the United States Supreme Court has just been rejected.", "Mumia Abu-Jamal kan avrättas i vilket ögonblick som helst, eftersom hans överklagande till Högsta domstolen just har förkastats."
"The mobilisation of international opinion, as we have seen, prevented the execution of Mumia Abu-Jamal, scheduled for 2 December.", "Vi såg att den internationella mobiliseringen förhindrade Mumia Abu-Jamals avrättning som hade bestämts till den 2 december."
"Mr President, I do not deny that Mumia Abu-Jamal's situation is critical and that the case certainly deserves to be heard.", "Herr talman! Jag bestrider inte det faktum att Mumia Abu-Jamals situation är kritisk och att fallet verkligen förtjänar att tas upp."
"I would ask the House to take an urgent stand against the execution of the black American journalist, Moumia Abou Jamal.", "Jag ber också kammaren att så snabbt som möjligt ta ställning mot avrättningen av den svarta amerikanska journalisten Mumia Abu-Jamal."
"The group proposes replacing the debate on Madagascar with a debate on the death penalty, particularly the case of Mumia Abu-Jamal.", "Gruppen föreslår att debatten om Madagaskar ersätts med en debatt om dödsstraff, närmare bestämt fallet med Mumia Abu-Jamal."
"During phase 2 of his life on death row, Mumia Abu Jamal sent this courageous message: 'Phase 2 is the second phase of the fight.", "När Mumia Abu Jamal befann sig i dödskorridorens fas 2 vidarebefordrade han följande tappra budskap: " Fas 2, det är kampens fas 2."
"The death penalty is a political arm used by the American Government apparatus to settle accounts with militants like Mumia Abu Jamal.", "Detta straff är ett politiskt vapen som använts av den amerikanska statsapparaten för att hämnas på militanta som Mumia Abu Jamal."
