//Sentences
"The Council was extremely concerned about the violence that broke out in Karachi in May.", "Rådet var mycket oroat över det våld som bröt ut i Karachi i maj."
"Might this kind of declaration have an impact on relations between New Delhi, Islamabad and Karachi?", "Kan den här typen av förklaring påverka förbindelserna mellan New Delhi, Islamabad och Karachi?"
"– B5-0087/2004 by Mrs Muscardini, on behalf of the UEN Group, on the Greek seamen held in Karachi.", "– B5-0087/2004 av Cristiana Muscardini, för UEN-gruppen, om de grekiska sjömän som hålls kvar i Karachi."
"– B5-0087/ 2004 by Mrs Muscardini, on behalf of the UEN Group, on the Greek seamen held in Karachi.", "– B5-0087 / 2004 av Cristiana Muscardini, för UEN-gruppen, om de grekiska sjömän som hålls kvar i Karachi."
". - Mr President, there is an anecdote going around the bazaars of Karachi roughly as follows.", "Herr talman! Det finns en historia som berättas i basarerna i Karachi och som lyder ungefär som följer."
"– B5-0081/2004 by Mr Katiforis and Mr van den Berg, on behalf of the PSE Group, on the Greek seamen in Karachi;", "– B5-0081/2004 av Giorgos Katiforis och Margrietus J. van den Berg, för PSE-gruppen, om de grekiska sjömännen i Karachi."
"– B5-0081/ 2004 by Mr Katiforis and Mr van den Berg, on behalf of the PSE Group, on the Greek seamen in Karachi;", "– B5-0081 / 2004 av Giorgos Katiforis och Margrietus J. van den Berg, för PSE-gruppen, om de grekiska sjömännen i Karachi."
"Their tanker ran aground outside the port of Karachi, causing the greatest environmental disaster in the history of Pakistan.", "Deras tanker gick på grund utanför Karachis hamn, och orsakade den största miljökatastrofen i Pakistans historia."
"– B5-0096/2004 by Mr Thomas Mann and Mr Zacharakis, on behalf of the PPE-DE Group, on the Greek seamen held in Karachi;", "– B5-0096/2004 av Thomas Mann och Christos Zacharakis, för PPE-DE-gruppen, om de grekiska sjömän som hålls kvar i Karachi."
"On 27 July 2003 a tanker, the , with a local pilot at the helm, ran aground at the entrance to the port of Karachi.", "Den 27 juli 2003 gick ett tankfartyg, ”Tasman Spirit”med en lokal styrman vid rodret, på grund vid inloppet till Karachis hamn."
"On 27 July 2003 a tanker, the, with a local pilot at the helm, ran aground at the entrance to the port of Karachi.", "Den 27 juli 2003 gick ett tankfartyg, ” Tasman Spirit ” med en lokal styrman vid rodret, på grund vid inloppet till Karachis hamn."
"– B5-0096/ 2004 by Mr Thomas Mann and Mr Zacharakis, on behalf of the PPE-DE Group, on the Greek seamen held in Karachi;", "– B5-0096 / 2004 av Thomas Mann och Christos Zacharakis, för PPE-DE-gruppen, om de grekiska sjömän som hålls kvar i Karachi."
". - Mr President, let me start by expressing my sympathy to the victims of the horrific bomb attack in Karachi.", "författare. - (EN) Herr talman! Låt mig inleda med att uttrycka min sympati med offren för det fruktansvärda bombattentatet i Karachi."
"Violence in Karachi has increased.", "Våldet i Karachi har tilltagit."
"The accident happened in July 2003, 4-5 months ago, while the was being piloted by a Pakistani pilot in the port of Karachi.", "Olyckan inträffade för fyra eller fem månader sedan, i juli 2003, när ”Tasman Spirit” lotsades in i Karachis hamn av en pakistansk lots."
"The accident happened in July 2003, 4-5 months ago, while the was being piloted by a Pakistani pilot in the port of Karachi.", "Olyckan inträffade för fyra eller fem månader sedan, i juli 2003, när ” Tasman Spirit ” lotsades in i Karachis hamn av en pakistansk lots."
"Above all, it is the people of Kashmir who should be consulted on the future of their region, not just the politicians in Karachi or Delhi.", "Det är framförallt människorna i Kashmir som bör tillfrågas om framtiden för sin region, inte bara politikerna i Karachi eller Delhi."
"– B5-0086/2004 by Mr Alavanos, Mr Bakopoulos and Mr Korakas, on behalf of the GUE/NGL Group, on the Greek seamen held in Karachi;", "– B5-0086/2004 av Alexandros Alavanos, Emmanouil Bakopoulos och Efstratios Korakas, för GUE/NGL-gruppen, om de grekiska sjömän som hålls kvar i Karachi."
"– B5-0086/ 2004 by Mr Alavanos, Mr Bakopoulos and Mr Korakas, on behalf of the GUE/ NGL Group, on the Greek seamen held in Karachi;", "– B5-0086 / 2004 av Alexandros Alavanos, Emmanouil Bakopoulos och Efstratios Korakas, för GUE / NGL-gruppen, om de grekiska sjömän som hålls kvar i Karachi."
". - Mr President, last week's suicide bomb blast in Karachi reminded us of just how perilously close Pakistan has come to anarchy.", "författare. - (EN) Herr talman! Förra veckans attentat av en självmordsbombare i Karachi påminde oss om hur farligt nära det är att Pakistan hamnar i anarki."
"Karel Č apek said of the modern era that the end has been replaced by the means.", "Karel Čapek sade om den nya tiden att ändamålet har ersatts av medlen."
"You consulted closely with Mr Karel Vinck, European Coordinator for ERTMS.", "Ni konsulterade noggrant Karel Vinck, den europeiske samordnaren för ERTMS."
"Karel Čapek said of the modern era that the end has been replaced by the means.", "Karel Čapek sade om den nya tiden att ändamålet har ersatts av medlen."
"Approval of the nomination of Mr Karel De Gucht as member of the European Commission (", "Godkännande av nomineringen av Karel De Gucht som medlem av kommissionen ("
"In fact, one vet-inspector, Karel Van Noppen, was killed on 20 February 1995.", "Veterinärinspektören Karel Van Noppen mördades till och med den 20 februari 1995 i samband med detta."
"Mr Argyros ' report will be dealt with by my colleague Karel van Miert.", "Argyros betänkande behandlas av min kollega van Miert."
"Mr Argyros' report will be dealt with by my colleague Karel van Miert.", "Argyros betänkande behandlas av min kollega van Miert."
"I am particularly pleased that we are joined by Czech Minister for Foreign Affairs, Mr Karel Schwarzenberg.", "Det gläder mig särskilt att vi har den tjeckiska utrikesministern, Karel Schwarzenberg, med oss."
"A group of experts under Mr Karel van Miert conducted a mid-year study of the transport infrastructure.", "En grupp experter utförde under Karel van Mierts ledning en halvårsstudie av transportinfrastrukturen."
"This is naturally a very nice image for Karel van Miert.", "Det är förstås en smickrande bild för Karel van Miert."
"Duchén Karel Jenmalm Maria Nilsson Lennart", "Benson Mikael Duchén Karel Jenmalm Maria Nilsson Lennart"
"I commend Baroness Ashton and Karel De Gucht for what they have already said has happened and is being done.", "Jag vill ge Catherine Ashton och Karel De Gucht en eloge för de insatser som hittills har gjorts och fortfarande görs."
"In this respect, I agree with Karel van Miert.", "I den meningen håller jag med Karel van Miert."
"We are acting in this just like the puppy and the kitten in the fairy tale by the famous Czech writer, Karel Čapek.", "I det här sammanhanget beter vi oss precis som hundvalpen och kattungen i sagan av den kände tjeckiske författaren Karel Čapek."
"I quote Karel De Gucht: 'If the present situation in Congo is the result of Michel's policy, then this is quite something.", "Jag citerar Karel De Gucht: ”Om den rådande situationen i Kongo är resultatet av Michels politik så är det mycket allvarligt."
"On Monday, 4 January, Commissioner Karel De Gucht made a statement at a meeting of the executive of the ‘Open VLD’ party.", "Måndagen den 4 januari gjorde kommissionsledamot Karel De Gucht ett utspel på partikontoret för det flamländska partiet Open VLD."
"I should like to take this opportunity to say that my opinion differs to that of Karel van Miert with regard to fixed book prices.", "Jag vill i samband med det säga att jag när det gäller frågan om de fasta bokpriserna har en annan åsikt än Karel van Miert."
"So thank you, Karel, for alluding to my position as a teacher, and it is precisely the teacher who is going to teach you a little lesson.", "Tack alltså Karel för att ha syftat på min roll som lärare, men det är just läraren som skall ge honom en liten lektion."
"Yes, Mr Karel van Miert, we both know that; we must be careful, subsidies must always be for a limited period, and they must be degressive.", "Ja, Karel van Miert, vi båda vet det, vi måste akta oss, stödåtgärder måste alltid vara tidsbegränsade, och de måste vara degressiva."
"I voted in favour of the European Parliament resolution approving the nomination of Mr Karel De Gucht as a member of the European Commission.", "Jag röstade för Europaparlamentets resolution om godkännande av nomineringen av Karel De Gucht till ledamot av Europeiska kommissionen."
"Karelia has been affected by the chaos in Russia more than other parts of the country.", "Karelen har drabbats av det ryska kaoset mer än många andra delar av Ryssland."
"Karelia has a communist government in the autonomous Karelian Republic.", "I Karelen har vi en kommunistisk regering i den autonoma Karelska Republiken."
"Karelia is situated close to the EU and it is important that we develop co-operation with the EU.", "Karelen är ett närområde till EU, och det är viktigt att samarbetet med EU byggs ut."
"Let us as from this moment ensure our future commitment to the people of Karelia.", "Låt oss därför från och med nu se till att vårt engagemang sträcker sig framåt för människorna i Karelen."
"Madam President, I should like to deal with the resolution on Karelia and the area around Murmansk.", "Fru ordförande, jag skulle gärna vilja ta upp resolutionen om Karelen och Murmanskområdet."
"Madam President, this resolution on Karelia is extremely important.", "Fru ordförande! Denna resolution om Karelen är oerhört viktig."
"In the region of Karelia where selenium is scarce, the occurrence of cardiovascular disease is unusually high.", "I Karelen där selenhalten är låg är andelen hjärt-kärlsjukdom ovanligt hög."
"Above all, the situation is serious for the children in Karelia.", "Framför allt är situationen allvarlig för Karelens barn."
"There are groups in Finland who dream about changing the borders and taking back parts of Karelia again.", "I Finland finns grupper som drömmer om att ändra gränserna och på något sätt återta delar av Karelen."
"These are words which could well be used to describe the current situation for thousands of people in Karelia.", "Det är ord som mycket väl kan beskriva den situation som finns i dag för tusentals människor i Karelen."
"We must also come up with long term initiatives to improve the socio-democratic situation and democracy in Karelia.", "Vi måste ha långsiktiga insatser som stärker den socioekonomiska situationen och den demokratiska situationen i Karelen."
"A programme to develop social and health administration in Karelia is currently been financed via the EU's TACIS programme.", "Med EU: s Tacis-program finansieras för närvarande ett utvecklingsprogram för Karelens social- och hälsovårdsförvaltning."
"Karelia is part of our history.", "Karelen tillhör också vår historia."
"Peace and freedom in Europe requires a further commitment to the future of Karelia which is also part of Europe's own future as well.", "Ett Europa i fred och frihet kräver ett vidare engagemang för Karelens framtid, som också är en del av Europas egen framtid."
"Karelia:", "Karelen:"
"Karelia has been affected by the shock therapy which Russia has been successfully duped into applying, not least by Western European economists with their bad advice.", "Karelen har drabbats av den chockterapi som inte minst västeuropeiska ekonomer med sina dåliga råd har lyckats lura Ryssland att ägna sig åt."
"Madam President, Karelia is of course as much a part of Europe as Sicily, Crete, the Canary Isles or other parts of Europe which we regularly discuss here.", "Fru ordförande! Karelen är naturligtvis lika mycket en del av Europa som Sicilien, Kreta, Kanarieöarna eller andra delar av Europa som vi ofta diskuterar här."
"In Karelia and other parts of Russia bordering on the Union, the situation of children and the elderly in particular has been extremely difficult throughout the winter.", "I Karelen och andra delar av Ryssland som gränsar till unionen, har i synnerhet barnens och åldringarnas situation under hela vintern varit särskilt svår."
"I should furthermore like to mention the state of the press in Karelia and elsewhere too in Russia, where there are pressures that are simply not acceptable.", "Jag skulle vidare vilja lyfta fram pressens situation i bland annat Karelen och även på andra håll i Ryssland där det utövas påtryckningar, vilket inte är godtagbart."
"I can mention one from March of this year when the district of Västerbotten in my homeland of Sweden signed a co-operation agreement with Karelia.", "Det finns goda exempel, jag kan nämna ett från mars månad i år, då Västerbottens län i mitt hemland Sverige tecknade ett samarbetsavtal med Karelen."
