//Sentences
"Mr Nassauer rightly points to Europol's lack of accountability.", "Kollega Nassauer påpekar mycket riktigt bristen på kontroll över Europol."
"Personally speaking, I regret and condemn the secret ballot procedure that leads to a complete lack of accountability.", "Personligen beklagar och förkastar jag det förfarande med sluten omröstning som leder till en total avsaknad av ansvarsskyldighet."
"This attitude has been reinforced by the maladministration, deceit and lack of accountability which led to the downfall of the previous Commission.", "Denna uppfattning har stärkts av den bristfälliga administration, de bedrägerier och den brist på ansvarskänsla som fällde den tidigare kommissionen."
"The work of the EU Ombudsman brings into focus the wider debate on accountability – or, more accurately, the lack of accountability – within the European Union.", "Genom det arbete som Europeiska ombudsmannen utför ställs skärpan in på den mer omfattande debatten om ansvar – eller snarare bristen på ansvar – inom Europeiska unionen."
"However, the crisis has demonstrated the dangers created by the current system: the lack of competition and a lack of accountability and transparency of agencies in particular.", "Men krisen har påvisat de faror som det nuvarande systemet har skapat: bristfällig konkurrens och bristande ansvarsskyldighet och transparens hos i synnerhet kreditvärderingsinstitut."
"The credit rating industry has several problems, some of the most important of which include the lack of competition, oligopolistic structures and the lack of accountability and transparency.", "Kreditvärderingsbranschen brottas med många problem, där de mest påfallande är bristfällig konkurrens, oligopolistiska strukturer och bristande ansvarsskyldighet och transparens."
"The lack of action is related to the original conception of this policy.", "Bristen på handling har att göra med den ursprungliga utformningen av denna politik."
"This lack of information is just as pressing a problem as the lack of action.", "Detta behov av vetande torde vara lika starkt som behovet att handla."
"Something is now being done to remedy the previous lack of action by the Commission.", "Något görs nu för att kompensera för den tidigare bristen på handling från kommissionens sida."
"The lack of action constitutes a crime: that of failing to provide assistance to persons in danger.", "Att inte handla är ett brott som består i att inte bistå människor i nöd."
"I find this lack of action arrogant and it will not be accepted by many citizens.", "Jag anser att denna brist på handling är arrogant och att den inte kommer att accepteras av många medborgare."
"There is no lack of action - this has been made clear in Detroit.", "Det råder ingen brist på åtgärder, detta blev tydligt i Detroit."
"And we cannot do that in order to assuage any guilt we may feel for our lack of action.", "Vi kan inte heller fortsätta på detta sätt för att mildra den skuld vi känner över denna brist på handling."
"However, I have the impression that this is just an umbrella concept to disguise your lack of action.", "Jag har emellertid intrycket att detta bara är en övergripande idé för att dölja er handlingsbrist."
"The Commission has not proposed a legal basis, so we cannot blame the Council for the lack of action.", "Kommissionen har inte föreslagit någon rättslig grund, så vi kan inte skylla bristen på handling på rådet."
"However, I believe that perhaps it is linked to the lack of action against the Hungarian Commissioner.", "Jag tror dock att det kanske har att göra med att inga åtgärder har vidtagits mot den ungerska kommissionsledamoten."
"European consumers and investors are ultimately those who suffer the most from lack of action in this sector.", "EU:s konsumenter och investerare är till slut dem som blir mest lidande av att man inte agerar inom denna sektor."
"Last week, therefore, I decided to send a written question to the Commission, condemning this lack of action.", "Förra veckan beslutade jag således att ställa en skriftlig fråga till kommissionen, för att kritisera denna passivitet."
"'denounces the lack of action taken so far ... to shed light on the extraordinary renditions programme';", "”beklagar att det hittills inte vidtagits några åtgärder ”för att sprida ljus över programmet för extraordinära överlämnanden”"
"Otherwise, it would seem as if the difficult negotiations in the WTO are being used as an excuse for the lack of action.", "I annat fall verkar det som om de svåra förhandlingarna i WTO används som en ursäkt för de uteblivna åtgärderna."
"Also, we note a lack of action on the part of the European Commission when it senses the possibility of conflict with the WTO.", "På samma sätt kan vi konstatera att Europeiska kommissionen inte agerar när den vädrar en konflikt med WTO."
"Their lack of action on this issue makes a nonsense of the European Union's Common Foreign and Security Policy.", "Deras frånvaro av handlande i denna fråga gör nonsens av den Europeiska unionens gemensamma utrikes- och säkerhetspolitik."
"We are now rich in oil and the lack of action by our leaders has struck a glancing blow to what we love most, our way of living.", "Vad vi har nu är en massa olja, och våra ledares overksamhet slår mot vad vi håller allra kärast: vårt levnadssätt."
