//Sentences
"I am thinking in particular of the LINGUA programme which has been set up by the EU.", "Jag tänker exempelvis på Lingua-programmet som finns inom Europeiska unionen."
"Simply learning a 'lingua franca' is insufficient and fails to reflect Europe's true identity.", "Att enbart lära sig ett lingua franca är inte tillräckligt och speglar inte EU:s sanna identitet."
"Simply learning a 'lingua franca ' is insufficient and fails to reflect Europe's true identity.", "Att enbart lära sig ett lingua franca är inte tillräckligt och speglar inte EU: s sanna identitet."
"Lingua, which promotes the acquisition of foreign-language skills, is also part of the programme.", "I detta program ingår också programmet för främmande språk, Lingua, för förvärvande av kunskaper i främmande språk."
"With your permission, I will draw your attention to one module which caters for cultural diversity: Action 4 or "Lingua".", "Låt mig få lyfta fram en komponent som sörjer för den kulturella mångfalden, nämligen åtgärd 4 Lingua."
"With your permission, I will draw your attention to one module which caters for cultural diversity: Action 4 or " Lingua ".", "Låt mig få lyfta fram en komponent som sörjer för den kulturella mångfalden, nämligen åtgärd 4 Lingua."
"There was a lingua franca but no monetary union, and so on his return his honestly earned pounds sterling were confiscated from him.", "Det fanns ett lingua franca men ingen monetär union, så när han kom tillbaka beslagtogs hans ärligen intjänade pund."
"(Laughter) "Learn the lingua franca."", "(skratt) "Lär dig slangspråket.""
"Additionally, Lingua, the Union's programme for the promotion of language teaching and learning recognises the Irish language for its purposes.", "Dessutom erkänner Lingua, unionens program för att främja språkundervisning och språkinlärning, iriska för detta ändamål."
"In the field of education, however, there was for instance the Lingua-Surda project, which was supported within the context of the former Lingua programme.", "På utbildningsområdet har exempelvis Lingua-Surda-Projekt stötts inom ramen för det tidigare Lingua-programmet."
""Lingua this, Frankie."", "Snacka dig ur det Frankie."
"I would actually have voted in favour if only English were to be used, since today it functions as a lingua franca.", "Jag skulle faktiskt ha röstat för förslaget om det bara var engelskan som skulle användas, eftersom det i dag fungerar som ett gemensamt kommunikationsspråk."
"Thus, the Lingua Action under the Socrates Programme financed eight different projects to promote the Italian language between 2000 and 2004.", "Således finansierades åtta olika projekt för att främja det italienska språket mellan 2000 och 2004 genom programmet Lingua inom ramen för Sokratesprogrammet."
"Lingua 1 action under the Socrates Programme is aimed at developing and disseminating innovative techniques and examples of good practice in language teaching.", "Projektet Lingua 1, som ingår i Sokratesprogrammet, syftar till att utveckla och sprida nya metoder och exempel på god praxis inom språkundervisningen."
"Today there are no more journeys on mule-back because we use aeroplanes, there is no longer a lingua franca but we have our wonderful simultaneous interpreters.", "I dag görs det inga resor på mulor utan vi använder flygplan och det finns inte längre något lingua franca utan vi har våra mycket duktiga simultantolkar."
"Lingua 1 action under the Socrates Programme is aimed at developing and disseminating innovative techniques and examples of good practice in language teaching.", "Dessutom utdelas varje år den europeiska utmärkelsen för nyskapande projekt inom språkundervisning och språkinlärning till de mest innovativa språkinlärningsprojekten i varje medlemsstat."
"Come over the tape, you'll get B-roll of me kicking your ass down to Sunset.", "Kom till andra sidan tejpen, så skall ni få en B-roll med mig sparkandes ert arsel ned till Sunset."
"I' ll take B.", "Jag väljer B."
"If you ask men why they did a good job, they'll say, "I'm awesome.", "Om du frågar män varför de gjort ett bra jobb, säger de "För att jag är bra."
"(Laughter) And as you'll see now, I'm not wearing pants.", "(Skratt) Och som ni ser så har jag inga byxor på mig."
"Guys, if you'll excuse me, I'm gonna go look for Nadia.", "Ursäkta mig, men jag tänker leta rätt på Nadia."
"What are the import prices for pipeline gas and LNG in the eight countries named?", "Hur hög är respektive importpris för pipeline-gas och LNG-gas i de åtta nämnda länderna?"
"Access to storage and LNG is as important as access to the networks.", "Tillgång till lagring och flytande naturgas är lika viktigt som tillgång till nätet."
"Then we have the LNG market, which means the European gas market.", "Sedan har vi LNG-marknaden, det vill säga den europeiska gasmarknaden."
"How is the future European LNG market likely to develop?", "Vilken utveckling väntar sig EU på den framtida europeiska LNG-gasmarknaden?"
"To create the marker, right-click on an area of the map and select Drop LatLng Marker from the menu.", "Om du vill skapa markören klickar du på ett område på kartan och väljer Släpp Lat/long-markör i menyn."
"Infrastructure such as new, secure pipelines and additional LNG terminals will remain important.", "Infrastruktur som nya, säkra ledningar och fler terminaler för flytande naturgas kommer alltjämt att vara viktiga."
"In addition to liberalisation, Europe must also support the development of LPG and LNG terminals and technologies.", "Utöver liberaliseringen måste EU också stödja utvecklingen av terminaler och teknik för LPG och LNG."
"Whatever happened to that part in the Jimmy lng movie?", "Vad hände med avsnittet i den där Jimmy Ing filmen?"
"Europe must further invest in LNG terminals and help do the same for its newest members.", "EU måste göra ytterligare investeringar i terminaler för flytande naturgas och hjälpa sina nyaste medlemmar att göra samma sak."
"On solidarity, we need tangible plans for emergencies, such as storage and new LNG technology.", "När det gäller solidariteten behöver vi konkreta planer för nödsituationer, såsom lagring och teknik för flytande naturgas."
"Diversifying supplies is another obvious step to take and the construction of LNG terminals around Europe is a good example.", "Att diversifiera tillgången är en annan uppenbar åtgärd samt byggandet av LNG-terminaler runtom i Europa."
"We should also contribute to establishing a global market for LNG such as there is for oil and commodities.", "Vi bör också bidra till att utveckla en global marknad för flytande naturgas, en sådan som det finns för olja och råvaror."
"There is a clear need for more investment in LNG terminals, in gas pipelines for diversification of supplies and gas storage facilities.", "Det finns fortfarande möjlighet att uppnå en verklig inre marknad för både elektricitet och gas."
"there is no mention of the use of methane in road transport (in the form of CNG, LNG or biomethane);", "Det nämns ingenting om användning av metan i vägtransport (i form av komprimerad naturgas (CNG), flytande naturgas (LNG) eller biogas)."
"And Jimmy lng continues breathing.", "Och Jimmy Ing fortsätter att ha uppehåll."
"What have we done in the field of LNG?", "Vad har vi gjort när det gäller LNG?"
"Cyprus, for example, invests half a billion euro on LNG, and I regret that the Union assists with only EUR 10 million.", "Cypern investerar till exempel en halv miljard euro i flytande naturgas och jag beklagar att EU endast bistår med 10 miljoner euro."
"I think we should focus on LNG, developing technologies, building LNG terminals and bringing gas from all over the world.", "Jag tror vi bör fokusera på flytande naturgas, utveckla tekniska lösningar, bygga LNG-terminaler och hämta gas från hela världen."
"The United States has higher prices and, with the development of LNG, competition between big consumers will grow.", "Förenta staterna har högre priser, och i och med utvecklingen av flytande naturgas (LNG) kommer konkurrensen mellan stora kunder att växa."
"We need to encourage the creation of a world trade market for LPG and LNG to ease Europe's dependency on a single source for natural gas.", "Vi måste främja inrättandet av en världshandelsmarknad för LPG och LNG för att minska EU:s beroende av en enda naturgaskälla."
"more_vert open_in_new Link to Open Office warning Request revision Choose a command line that you can use to print on your printer (for example, lp -d my_queue).", "expand_more Markera en kommandorad med vilken det går att skriva ut på din skrivare (t.ex. lp -d my_queue)."
"more_vert open_in_new Link to Open Office warning Request revision Markera en kommandorad med vilken det går att skriva ut på din skrivare (t.ex. lp -d my_queue).", "expand_more Choose a command line that you can use to print on your printer (for example, lp -d my_queue)."
"Secondly, I object to LPG being classified as an alternative fuel.", "För det andra har jag invändningar mot att gasol kvalificeras som alternativt bränsle."
"As such, LPG certainly cannot be labelled an alternative fuel.", "I den bemärkelsen är gasol absolut inget alternativt bränsle."
"In addition to liberalisation, Europe must also support the development of LPG and LNG terminals and technologies.", "Utöver liberaliseringen måste EU också stödja utvecklingen av terminaler och teknik för LPG och LNG."
"It concerns the position of LPG in the directive.", "Det gäller den position LPG har i direktivet."
"We voted against compromise Amendment No 201 on the underground storage of natural gas and LPG.", "Slutligen har vi röstat nej till kompromissändringsförslaget 201 om underjordisk förvaring av naturgas och LPG (liquified petrolium gas)."
"We need to encourage the creation of a world trade market for LPG and LNG to ease Europe's dependency on a single source for natural gas.", "Vi måste främja inrättandet av en världshandelsmarknad för LPG och LNG för att minska EU:s beroende av en enda naturgaskälla."
"The Commission will further investigate specific requirements for LPG combustion heaters to be added in Annex VIII.", "Kommissionen kommer att ytterligare undersöka specifika krav för förbränningsvärmare ned flytande fotogengas (LPG) som skall läggas till i bilaga VIII."
"LPG in a plant is covered, but in a filling station the end user, a car, for instance, is not covered under Article 118a or 137.", "LPG i en fabrik omfattas, men en slutförbrukare - en bil, till exempel - vid en bensinstation omfattas inte av artikel 118a eller artikel 137."
"As far as LPG is concerned, of course, the situation is that road traffic regulations cover the question of, say, tankers of LPG being delivered to a filling station.", "Vad gäller LPG (gasol), är situationen naturligtvis den att trafikbestämmelserna gäller för situationer som till exempel då LPG-behållare levereras till en bensinstation."
"(LT) Once again thank you for your comprehensive and, I would say, hopeful reply.", "(LT) Tack ännu en gång för ert uttömmande och, vill jag påstå, hoppfulla, svar!"
"(LT) Mr President, Commissioner, thank you for your really comprehensive response.", "(LT) Herr talman, fru kommissionsledamot! Tack för ditt verkligt utförliga svar."
". - (LT) The situation in Fiji is very tense after yet another coup d'état.", "författare. - (LT) Efter ännu en statskupp råder ett mycket spänt läge i Fiji."
"(LT) I voted for our resolution on the European Union's strategy towards Belarus.", "(LT) Jag röstade för vår resolution om Europeiska unionens strategi för Vitryssland."
"lt's not good for a son of Pharaoh to see his father humbled by a son of slaves.", "Det är inte bra för en faraos son att se sin far förödmjukas av en slavson."
"(LT) Rapporteur, ladies and gentlemen, I definitely agree with this initiative.", "(LT) Herr föredragande, mina damer och herrar! Jag stöder definitivt detta initiativ."
". - (LT) Russia and the EU are linked both economically and politically.", "skriftlig. - (LT) Ryssland och EU hör samman, både ekonomiskt och politiskt."
"(LT) I would also like to add to today's congratulations to Estonia's administration.", "(LT) Jag vill också instämma i dagens gratulationer till Estlands förvaltning."
"(LT) I greatly welcome the decision adopted on new rules in the fishing sector.", "(LT) Jag välkomnar varmt beslutet om att anta nya regler i fiskerisektorn."
