//Sentences
"We must avoid becoming isolated or marking time; quite the reverse.", "Vi måste undvika att bli isolerade eller att stå och stampa på samma fläck."
"A small step in the right direction is always better than marking time on the spot for years.", "Ett litet steg i rätt riktning är alltid bättre än att stå och stampa på samma fläck år ut och åt in."
"Mr President, the Commission's mid-term review is actually an exercise in marking time.", "– Herr talman! Kommissionens halvtidsutvärdering är i realiteten en övning i att stå och stampa på samma fläck."
"Even Commissioner Van Miert stated publicly in September that Amsterdam was simply 'marking time' .", "Till och med kommissionär Van Miert förklarade offentligen i september att Amsterdam var en sur place och ingenting mer."
"Even Commissioner Van Miert stated publicly in September that Amsterdam was simply 'marking time '.", "Till och med kommissionär Van Miert förklarade offentligen i september att Amsterdam var en sur place och ingenting mer."
"The European economy, meanwhile, is marking time.", "Samtidigt står den europeiska ekonomin och stampar."
"We did, after all, agree the Goods Package a year ago, and we had to resolve the difficult issue of CE-marking at that time.", "Vi enades trots allt om varupaketet för ett år sedan, då vi tvingades lösa den svåra frågan om CE-märkningen."
"Two years of wavering and marking time with regard to the Constitutional Treaty have harmed the idea of a united Europe.", "Två år av tvekan och stampande på samma fläck när det gäller konstitutionsfördraget har skadat idén om ett enat Europa."
"The fact is that a European Commission proposal in this respect, although inadequate, has been marking time since 2005.", "Faktum är att ett förslag på området från kommissionen, som visserligen är otillräckligt, har låtit vänta på sig sedan 2005."
"We are marking time, and we are at a loss as regards the Constitutional Treaty, even though we know that its adoption would benefit us.", "Vi står overksamma och vi ligger efter med konstitutionsfördraget, trots att vi vet att ett antagande skulle gynna oss."
"That is why Nicolas Sarkozy's initiative is excellent in principle: it breathes new life into a Barcelona Process that is marking time.", "Därför är Nicolas Sarkozys initiativ i princip utmärkt, eftersom det blåser nytt liv i en Barcelonaprocess som står och stampar."
"We know that the ambitious multilateral trade agreement under the World Trade Organisation is merely marking time, with no immediate prospects.", "Vi vet att det ambitiösa multilaterala handelsavtalet inom ramen för Världshandelsorganisationen bara står och stampar utan några planer för den närmaste framtiden."
"With this path, the economy and the markets will benefit from a considerable announcement effect which will encourage economic recovery in the countries which are currently just marking time too.", "Detta kan innebär en kraftigt positiv stimulans mot ekonomisk återhämtning även i de länder som i dag bestämmer takten."
"You suggested before that this conference of the parties in Nairobi is a bit of a marking-time sort of meeting, that the lateral events might be as important as the main ones.", "Ni lät tidigare förstå att partskonferensen i Nairobi är ett slags tidsenligt möte, att mindre evenemang kan vara lika viktiga som stora evenemang."
"Furthermore, at international level, we urgently need to set up the International Criminal Court, a process that has been underway for several years but is now marking time.", "En annan brådskande fråga på internationell nivå är inrättandet av Internationella brottmålsdomstolen, en stagnerande process som nu har pågått i flera år."
"The work of the OSCE is marking time, in spite of the enormous motivation of the working group and despite the fact that it is really looking into every opportunity in detail.", "OSSE:s arbete rör sig inte ur fläcken, trots arbetsgruppens enorma motivation och fastän arbetsgruppen verkligen tar varje möjlighet tillvara på ett grundligt sätt."
"The work of the OSCE is marking time, in spite of the enormous motivation of the working group and despite the fact that it is really looking into every opportunity in detail.", "OSSE: s arbete rör sig inte ur fläcken, trots arbetsgruppens enorma motivation och fastän arbetsgruppen verkligen tar varje möjlighet tillvara på ett grundligt sätt."
"Let us indeed ensure that any dismissal or period out of work automatically gives rise to a statutory paid training scheme, which must not represent a kind of 'marking time ' period.", "Alla som blir av med jobbet eller inte har någon sysselsättning bör automatiskt påbörja en obligatorisk avlönad utbildning, som inte skulle vara ett slags " praktik-parkering "."
"Mr President, might I now say a few words about Mr Baldarelli's report on Slovenia?", "Herr ordförande! Skulle jag nu kunna få säga några ord om Baldarellis betänkande om Slovenien?"
"All right, now that might seem like an even taller order to actually demonstrate.", "Okej, det kanske verkar ännu svårare att faktiskt visa."
"Now, you might say, "These are decisions we don't care about."", "Nu kanske du säger, "Detta är beslut som inte är så viktiga för oss.""
