//Sentences
"My Client Center (MCC) is a powerful tool for handling multiple AdWords accounts.", "Mitt kundcenter (MCC) är ett effektivt verktyg för att hantera flera AdWords-konton samtidigt."
"Think of MCC as an umbrella account with several AdWords accounts (managed accounts) linked to it.", "Du kan betrakta MCC som ett paraplykonto som är kopplat till flera AdWords-konton (hanterade konton)."
"An MCC account isn't an "upgrade" of your AdWords account.", "Ett MCC-konto är inte en ”uppgradering” av ditt AdWords-konto."
"We recommend that each My Client Center (MCC) child account have its own Google Analytics account.", "Vi rekommenderar att varje underordnat konto i Mitt kundcenter (MCC) har sitt eget Google Analytics-konto."
"Agencies operating multiple clients out of a single AdWords account are strongly advised to migrate to MCC.", "Vi rekommenderar att byråer som hanterar flera kunder från samma AdWords-konto går över till Mitt kundcenter."
"Please contact the AdWords support team for more information and instructions on migrating to an MCC account.", "Kontakta AdWords supportteam om du vill ha mer information och anvisningar om hur du går över till ett Mitt kundcenter-konto."
"MCC client managers can access each Analytics account by first selecting the particular AdWords account then clicking the Analytics tab.", "Kundansvariga för Mitt kundcenter kan komma åt alla Analytics-konton genom att välja AdWords-kontot ifråga och sedan välja fliken Google Analytics."
"Client manager MCC accounts cannot be linked to an Analytics account, as these top-level MCC accounts contain no actual AdWords campaign information.", "Kundansvarigas Mitt kundcenter-konton kan inte länkas till Analytics-konton eftersom dessa överordnade Mitt kundcenter-konton inte innehåller någon information om AdWords-kampanjer."
"Mrs Read, among others, supported the decision we took in late June about MCI WorldCom-Sprint.", "Fru Read, bland andra stödde beslutet vi fattade i slutet av juni om MCI Wellcome-Sprint."
"MCI WorldCom is the world leader in the Internet backbone, with Sprint occupying second place.", "På Internets stamnät är MCI WorldCom världsetta och Sprint tvåa."
"In addition, we took similar action in the recent MCI WorldCom-Sprint case, where both companies were American.", "Dessutom vidtog vi liknande åtgärd i det nya fallet MCI Wellcome-Sprint där båda bolagen var amerikanska."
"At that time, the Sprint telecom alliance opposed the MCI WorldCom merger on the grounds that the merged company would be in a dominant position in the Internet market.", "Telekomsammanslutningen Sprint motsatte sig samma år samgåendet mellan MCI och WorldCom."
"In 1998, the Commission approved the merger of the telecommunication companies WorldCom and MCI with the proviso that MCI had to divest its Internet assets.", "Kommissionen godkände 1998 samgåendet mellan telekomföretagen WorldCom och MCI eftersom MCI skulle tvingas överlåta sina Internettillgångar."
"The Commission is currently investigating a proposed merger of MCI WorldCom and Sprint in Phase II of the EU Regulatory Clearance which will end on 11 July 2000.", "Kommissionen undersöker för närvarande ett planerat samgående mellan MCI WorldCom och Sprint inom ramen för Fas II av EU:s tillståndsgivning, som kommer att vara avslutad den 11 juli 2000."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision Gabrielle Cederholm's dream is to become an MD, to build a country house and cycle from Gothenburg to Gibraltar.", "expand_more Gabrielle Cederholm drömmer om att bli vd, bygga en herrgård och att cykla från Göteborg till Gibraltar."
"more_vert open_in_new Link to europa.eu warning Request revision If the composition of the board changes, the board will hold a meeting to decide who is authorised to sign on behalf of the company and to decide who will be the managing director (MD), if required.", "verkställande direktör (vd)."
"Well, so what I read on WebMD: "The prognosis is poor for progressing renal cell cancer.", "I vilket fall, vad jag hittade på WebMB: "Prognosen är inte bra för framskiden njurcancer."
"My point is I went to a respected medical website, WebMD, because I know how to filter out junk.", "Poängen är att jag gick till en väl respekterad medicinsk hemsida, WebMD, eftersom jag vet hur man sorterar bort skräp."
"RC4 encryption with a 128-bit key and an MD5 MAC", "RC4-kryptering med en 128-bitars nyckel och en MD5 MAC"
"RC4 encryption with a 40-bit key and an MD5 MAC", "RC4-kryptering med en 40-bitars nyckel och en MD5 MAC"
"RC2 encryption with a 40-bit key and an MD5 MAC", "RC2-kryptering med en 40-bitars nyckel och en MD5 MAC"
"This modelling theory is usually called Molecular Dynamics (MD) - more specifically Molecular Mechanics based Molecular Dynamics (MM-MD).", "Denna modell teori brukar kallas Molekyl Dynamik (MD) - mer specifikt Molekyl Mekanik baserade Molekyl Dynamik (MM-MD)."
"No encryption with an MD5 MAC", "Ingen kryptering med MD5 MAC"
"MM-MD is in its general form not suited to study dynamical processes where bonds are broken and formed, for which ab initio molecular dynamics is needed (ai-MD).", "MM-MD är i sin allmänna form inte lämpade för att studera dynamiska processer där bindningar bryts och bildas, för vilka ab initio molekylär dynamik behövs (ai-MD)."
"MD is used to study the dynamics in gases, liquids and solutions, and the solid state, and it includes effects from vibration-, electrostatic- and dispersion-interactions.", "MD används för att studera dynamiken i gaser, vätskor och lösningar, och det fasta tillståndet, och det inkluderar effekter från vibration-, elektrostatisk- och dispersionstyp interaktioner."
"At the recent MDG summit meeting, that is precisely what we agreed.", "Det var precis vad vi enades om vid toppmötet om millennieutvecklingsmålen nyligen."
"Millennium Development Goals (MDG) contracts are one of the Commission's promising instruments.", "Avtalen om millennieutvecklingsmålen är ett av kommissionens lovande verktyg."
"I am most grateful for Parliament's support for MDG contracting.", "Jag är mycket tacksam för parlamentets stöd för ett avtal om millennieutvecklingsmålen."
". - I am glad we adopted today the Cashman report on the MDG.", "Jag är glad över att vi i dag har godkänt Michael Cashmans betänkande om millennieutvecklingsmålen."
"Giving children a chance in life is an important MDG.", "Att ge barnen en chans i livet är ett viktigt millennieutvecklingsmål."
"You are right, Commissioner, MDG contracts are a good way of achieving this.", "Ni har rätt, herr kommissionsledamot, överenskommelserna om millennieutvecklingsmålen är ett bra sätt att uppnå detta."
"In exactly two and a half weeks' time, we will be half-way towards the MDG deadline.", "Om exakt två och en halv vecka kommer vi att ha kommit halvvägs på vägen mot tidsfristen för millennieutvecklingsmålen."
"I wish to abstain on the report by Mr Hutchinson on MDG contracts.", "skriftlig. - (IT) Jag vill avstå från att rösta om Alain Hutchinsons betänkande om millennieutvecklingsmålavtal."
"Two weeks ago, the MDG summit confirmed the world's ambition to fight against poverty.", "För två veckor sedan bekräftade man på mötet om millennieutvecklingsmålen världens ambitioner om att bekämpa fattigdomen."
