//Sentences
"The only GMO crop currently cultivated in the European Union is Bt-maize MON 810.", "Den enda genmodifierade gröda som för närvarande odlas i EU är Bt-majsen MON 810."
"I should like to thank my colleague Mr Millán Mon for his excellent report.", "Jag tackar också min kollega Francisco José Millán Mon för hans utmärkta betänkande."
"The next item is the Commission statement on MON 863 risk management.", "Nästa punkt är kommissionens uttalande om hantering av riskerna med MON 863."
"- Mr President, Mr Millán Mon has presented an important and excellent report.", "- (EN) Herr talman! Francisco José Millán Mon har lagt fram ett viktigt och utmärkt betänkande."
"I would like you to tell me, Mr Kyprianou, in no uncertain terms: will MON 863 be reassessed?", "Jag vill att ni ska klart och tydligt ska tala om för mig: Kommer MON 863 att omprövas?"
"Mr Millán Mon, Mr Lambsdorff and Mr Schmidt raised the issue of Security Council enlargement.", "Han uttryckte synpunkter om Förenta staterna som jag uppriktigt sagt inte håller med om."
"In April 2004, EFSA assessed MON 863 maize to be just as safe as conventional maize.", "I april 2004 gjorde EFSA bedömningen att MON 863-majs är precis lika säker som konventionell majs."
"Mr Millán Mon's report brings up all these important issues.", "Alla dessa viktiga frågor tas upp i Francisco José Millán Mons betänkande."
"As King Sihanouk told me, 'mon peuple est toujours très malade '.", "Som kung Sianouk sade till mig: mon peuple est toujours très malade ."
"As King Sihanouk told me, 'mon peuple est toujours très malade '.", "Som kung Sianouk sade till mig: mon peuple est toujours très malade."
"The Karen people and the Shan are suffering, as are the Naga, the Mon, the Karenni and the Kachin peoples.", "Karenerna, shan, de tvingas lida liksom naga, mon, karenni och folket från Kachin."
"What of the common area of concern - China - Mr Millán Mon?", "Men hur är det med det gemensamma problemområdet Kina, herr Millán Mon?"
"That is why I consider the report by Millán Mon to be extremely important at this juncture.", "Därför betraktar jag Francisco José Millán Mons betänkande som ytterst viktigt vid denna avgörande tidpunkt."
"(DE) Mr President, MON 810 was approved in the European Union in 1998.", "(DE) Herr talman! MON 810 godkändes i EU 1998."
"I would like to give my congratulations too to Mr Millán Mon on the excellent report that he has produced.", "Jag vill gratulera Francisco José Millán Mon till att han har tagit fram ett så utmärkt betänkande."
"Therefore, overall, the British Conservatives voted in favour of the Millán Mon report.", "Det är framför allt därför som den brittiska konservativa gruppen har röstat för Francisco José Millán Mons betänkande."
"Campus Norrköping Kåkenhus: Mon-Fri 10.00-15.00 Closed for lunch between 12.00 and 12.45", "LiU-Service samtliga verksamheter är miljö- och kvalitéscertifierade enligt ISO 9011 och 14001."
"Drop-in: Mon, Wed, and Fri 12:00 to 14:00 For more private conversations: Make an appointment by phone or email.", "För längre enskilda samtal: Boka tid via telefon eller e-post."
"Mr Millán Mon, Mr Lambsdorff and Mr Schmidt raised the issue of Security Council enlargement.", "Francisco José Millán Mon, Alexander Lambsdorff och Frithjof Schmidt tog upp frågan om utvidgningen av säkerhetsrådet."
"I would like to end with a comment on Mr Millán Mon’s speeches on the situation in the Canary Islands.", "Jag vill gärna avsluta med en kommentar om Francisco José Millán Mons anförande om situationen på Kanarieöarna."
"more_vert open_in_new Link to European Parliament warning Request revision Denna tanke strider mot EU: s historiska erfarenhet och mot EU: s värderingar.", "expand_more This idea runs contrary to the historic experience of Europe and European values."
"more_vert open_in_new Link to statmt.org warning Request revision Dessa invändningar innebär inget motstånd från Rumänien mot gränsöverskridande sjukvård.", "expand_more These reservations are not an indication of Romania's opposition to cross-border healthcare."
"more_vert open_in_new Link to European Parliament warning Request revision Österrike har världens strängaste förbudslagar mot fascism, mot nationalsocialism.", "expand_more Austria has the world's strictest laws against fascism and against nazism."
"more_vert open_in_new Link to statmt.org warning Request revision Nej, sanktioner bör rikta sig mot speditörerna, mot lastbilsägarna och mot förarna.", "expand_more No, penalties should be directed at hauliers, lorry-owners and drivers."
"more_vert open_in_new Link to European Parliament warning Request revision Vårt misstroende mot avtalet gav inte uttryck för ett misstroende mot samarbetet.", "expand_more Our contempt for the agreement was not a reflection of a contempt for cooperation."
"more_vert open_in_new Link to European Parliament warning Request revision Mot den bakgrunden vill vi inte flytta ärendet utan kommer att rösta mot det.", "expand_more Therefore, on that basis we do not wish it to be moved and will vote against it."
"more_vert open_in_new Link to statmt.org warning Request revision Utvecklingen går helt enkelt inte mot isolationism utan mot integration.", "expand_more The trend simply is not towards isolationism one, but towards integration."
"more_vert open_in_new Link to statmt.org warning Request revision Jag invänder inte mot frågan om personer, utan mot frågan om förfaranden.", "expand_more I am not calling into question the issue of people, but that of procedures."
"more_vert open_in_new Link to statmt.org warning Request revision De kostnader som ingen betalar riktas i stället mot samhället.", "expand_more These costs that no one pays are diverted onto society instead."
"more_vert open_in_new Link to statmt.org warning Request revision Annars kommer det motsatta att hända, med högre arbetslöshet och hinder mot utvecklingen.", "expand_more Otherwise, the opposite will happen, with higher unemployment and obstacles to development."
"more_vert open_in_new Link to TED warning Request revision Och alla såg deras situation och förstod att de var på väg mot en katastrof.", "expand_more And everybody looked at that and knew that that was headed toward a huge problem."
"more_vert open_in_new Link to European Parliament warning Request revision Österrike har världens strängaste förbudslagar mot fascism, mot nationalsocialism.", "expand_more Austria has the world's strictest laws against fascism and against nazism."
"more_vert open_in_new Link to European Parliament warning Request revision Brott mot mänskliga rättigheter riktade mot en annan individ är brott som riktas mot oss alla.", "expand_more My Lord, I came close to joining in the applause, which I am not permitted to do."
"more_vert open_in_new Link to European Parliament warning Request revision För tydlighets skull: det här är inte en fråga om Europa mot USA.", "expand_more At the risk of labouring the obvious, this is not about Europe versus the US."
"more_vert open_in_new Link to europa.eu warning Request revision Dom faller i målen Kohll mot Union des Caisses de Maladie och Decker mot Caisse de Maladie des Employés Privés.", "expand_more Kohll vs "Union des Caisses de Maladie" and Decker vs "Caisse de Maladie des Employés Privés" ruling."
"If Turkey were a car, it would long since have failed its MOT.", "Om Turkiet hade varit en bil skulle den för länge sedan ha fått körförbud."
"The issue of whether a report on the issue of fixed book prices has been drawn up yet has almost become a bon mot in legal circles in Vienna.", "I Wiens advokatkretsar har det nästan blivit till ett talesätt att fråga om man har gjort något utlåtande i frågan om de fasta bokpriserna."
"The PPE and PSE refuse to acknowledge a link with the BNFL MOX shipments to Japan.", "PPE och PSE vägrar att tillstå ett samband med BNFL:s MOX-transporter till Japan."
