//Sentences
"Nec spe, nec metu or without hope or fear.", "Nec spe, nec metu, eller utan vare sig hopp eller fruktan."
"The common position was developed in tandem with the proposed NEC directive and represents a coherent and balanced approach to achieving environmental objectives over time.", "Den gemensamma ståndpunkten utvecklades sida vid sida med det föreslagna direktivet om nationella utsläppstak och utgör en samstämmig och balanserad strategi för att uppnå miljömålen med tiden."
"The third and last parameter is NEPAD’s appeal to the private sector.", "Den tredje och sista parametern är Nepads inriktning mot den privata sektorn."
"NEPAD bases its approach on three fundamental options that I shall call the long-term parameters.", "Nepad utgår från tre grundläggande val som jag kallar de långsiktiga parametrarna."
"It is estimated that 64 billion dollars are required per year to achieve the goals set by NEPAD.", "Det uppskattas att det behövs 64 miljarder US-dollar per år för att nå de mål som Nepad satt upp."
"In saying that, I mean ‘ region ’ in the sense of NEPAD.", "När jag säger det menar jag ” region ” i betydelsen NEPAD."
"In saying that, I mean ‘region’ in the sense of NEPAD.", "När jag säger det menar jag ”region” i betydelsen NEPAD."
"One of NEPAD’s concerns is digital solidarity.", "Ett av Nepads arbetsområden är digital solidaritet."
"Peace and governance cannot be dealt with through declarations such as NEPAD.", "De jordbruks- och gruvdriftssektorer som Nepad prioriterar kommer till exempel att vara totalt beroende av priser som fastställs av länderna i norr."
"NEPAD bases its approach on three fundamental options that I shall call the long-term parameters.", "Var och en av dessa sektorer anses vara prioriterade och vi har skisserat alla projekt på regional, interregional eller kontinental nivå."
"Thirdly, Africa must apply its own prescriptions, and by that I am referring, in particular, to the diagnosis provided by NEPAD.", "För det tredje måste Afrika skriva ut sina egna ordinationer, och då tänker jag särskilt på den diagnos som NEPAD har ställt."
"The one disappointment was that NEPAD, the new African partnership on development, has not reacted more strongly in this situation.", "En besvikelse var att NEPAD, det nya partnerskapet för Afrikas utveckling, inte reagerade starkare över den här situationen."
