//Sentences
"Concerning your amendments on the school-milk scheme, we are on the same wavelength.", "När det gäller era ändringsförslag om skolmjölkssystemet är vi på samma våglängd."
"However, the Commission and the Member States do not appear to be on the same wavelength.", "Kommissionen och medlemsstaterna verkar dock inte befinna sig på samma våglängd."
"So I believe we are on the same wavelength in many of these matters.", "Jag menar alltså att vi är på samma våglängd i många av dessa frågor."
"I know that we are on the same wavelength as you on this subject.", "Jag vet att vi befinner oss på samma våglängd som ni i den här frågan."
"I think we are on the same wavelength here, and he knows that.", "Jag tror att vi befinner oss på samma våglängd här, och han vet om det."
"The Pirker report, for which I should like to congratulate the rapporteur, is on the same wavelength.", "Pirker-betänkandet går på den linjen, och jag vill gratulera föredraganden till detta."
"A majority in Parliament is on the same wavelength, therefore, as the majority of the public.", "Majoriteten av vårt parlament befinner sig därmed på samma våglängd som majoriteten av våra medborgare."
"I think we are on the same wavelength here, and he knows that.", "Så tack för den upplysningen, herr kommissionsledamot."
"So I think there can be no doubt that we are on the same wavelength insofar as that approach is concerned.", "Jag tror inte att det råder något tvivel om att vi är på samma våglängd vad gäller det tillvägagångssättet."
"I am very pleased that we are on the same wavelength.", "Det gläder mig att vi befinner oss på samma våglängd."
"Only too often the Member States not are always on the same wavelength with regard to problem areas.", "Det är fortfarande alltför ofta så att medlemsstaterna inte alltid är inne på samma linje i fråga om problemområden."
"I think that we are on the same wavelength on this issue.", "Jag tror att vi ligger i fas i den här frågan."
"I therefore feel that we are well and truly on the same wavelength as this recommendation by the European Ombudsman.", "Jag anser därför att vi gott och väl är på samma våglängd som denna rekommendation från EU-ombudsmannen."
"We really are on the same wavelength in this respect.", "Vi följer här absolut samma linjer i strategin."
"So we are on exactly the same wavelength here.", "Så i denna fråga är vi är på exakt samma våglängd."
"We are all on the same wavelength on this matter.", "Vi är således fullt ut på samma linje i frågan."
"The fact that the Commission and Parliament find themselves on the same wavelength does not come as any surprise to me.", "Att kommissionen och parlamentet befinner sig på samma våglängd kommer inte som någon överraskning för mig."
"For once, the three institutions seem to be on the same wavelength and in perfect agreement, which makes me very happy.", "För en gångs skull tycks de tre institutionerna vara på samma våglängd och fullständigt överens. Det gläder mig."
"I am convinced, Mr President, that the European Parliament and the Council are on the same wavelength on this point.", "Jag är övertygad, herr ordförande, om att Europaparlamentet och rådet befinner sig på samma våglängd i den här frågan."
"It shows how progress can be made if both institutions, Parliament and the Commission, are on the same wavelength.", "Det visar hur det går att göra framsteg om båda institutionerna, parlamentet och kommissionen, har en gemensam hållning."
"So we are now passing accounts for agencies that do not have a legal basis in this place, and no one particularly cares.", "Vi godkänner alltså nu redovisningen för byråer som inte har någon rättslig grund, och ingen bryr sig särskilt mycket om detta."
"He's the only one who cares about me.", "Han är den enda som bryr sig om mig."
"Of course, the banks get rescued using state funds by nationalising their debts, but no one cares about people's well-being.", "Bankerna räddas förstås med statliga medel genom att deras skulder förstatligas, men ingen bryr sig om människornas välfärd."
"I would like to put on record my disappointment at Mr Allister's comment on Mrs de Brún speaking a language 'no one cares to understand'.", "Jag vill att min besvikelse över James Hugh Allisters kommentar om att Bairbre de Brún talade ett språk som ”ingen bryr sig om att förstå” förs till protokollet."
"I would like to put on record my disappointment at Mr Allister's comment on Mrs de Brún speaking a language 'no one cares to understand '.", "Ett bra exempel är transporten av frukt från länderna i söder till länderna i norr där återtransport av återanvända förpackningar inte alls skulle gynna en hållbar utveckling."
"Perhaps if she concentrated more on the documents, rather than speaking in a language that no one cares to understand, she might not have made such a fundamental mistake.", "Om hon hade koncentrerat sig mer på dokumenten i stället för att tala ett språk som ingen bryr sig om att förstå hade hon kanske inte gjort ett sådant grundläggande misstag."
"Fish, like other animals, cannot be restricted to certain territories, so assessing whether one country cares more than another would be the subject of endless arguments.", "Fisk, liksom andra djur, kan inte begränsas till vissa områden, och följaktligen skulle en bedömning av huruvida ett land bryr sig mer än ett annat leda till eviga diskussioner."
"No-one cares about the State, in the same way as no-one cares about prisoners.", "När en brottsling har orsakat någon en skada, då skall inte skadeståndet gå till staten - alla gör sig lustiga över detta, på samma sätt som hela befolkningen gör sig lustiga över fångar."
