//Sentences
"This has been established within the framework of the Joint Parliamentary Committee.", "Detta har fastställts inom ramen för den gemensamma parlamentarikerkommittén."
"The rapporteur is supposed to be the spokesperson for the parliamentary committee.", "En föredragandes roll är att vara talesman för ett utskott i parlamentet."
"We enjoyed a highly fruitful collaboration within our parliamentary committee.", "Vi har haft ett mycket givande samarbete i vårt parlamentariska utskott."
"(PT) The Parliamentary committee incorporated some of our proposals into the report.", "(PT) Parlamentsutskottet har fogat in några av våra förslag i betänkandet."
"In any event, a parliamentary committee of inquiry is not a court of justice.", "Hursomhelst är en parlamentarisk undersökningskommitté inte en domstol."
"The Parliamentary committee incorporated some of our proposals into the report.", "Parlamentsutskottet har fogat in några av våra förslag i betänkandet."
"The proposal is now being discussed by the relevant Parliamentary Committee.", "Förslaget diskuteras för närvarande av det berörda parlamentsutskottet."
"The UK legislation also foresees a special Parliamentary oversight committee.", "I Storbritanniens lagstiftning föreskrivs även en särskild parlamentarisk tillsynskommitté."
"I will of course keep the parliamentary committee concerned informed.", "Jag kommer självklart att hålla det behöriga parlamentsutskottet underrättat."
"Proposals for appointments to the Delegation to the CARIFORUM-EC Parliamentary Committee (", "Förslag till utnämningar till delegationen till parlamentarikerkommittén Cariforum-EG ("
"The responsible parliamentary committee therefore decided, justifiably, to table them again.", "Parlamentets behöriga utskott beslutade således med rätta att lägga fram dem på nytt."
"I also discussed this matter with the Swedish parliamentary Finance committee last week.", "Förra veckan diskuterade jag också den här frågan med den svenska riksdagens finansutskott."
"The parliamentary Committee on Regional Development also engaged in lengthy debates on the proposal.", "Utskottet för regional utveckling förde också utdragna diskussioner om förslaget."
"Those new proposals were never referred to the relevant parliamentary committee for its consideration.", "Dessa nya förslag hänvisades aldrig till relevant parlamentsutskott för beaktande."
"This entails the creation of a parliamentary supervisory committee within the European Parliament.", "Detta medför att en parlamentarisk tillsynskommitté i Europaparlamentet måste inrättas."
"The fact that they were possible reflects well on the parliamentary committee and the work of Mr Morillon.", "Att de var möjliga, talar för detta parlaments utskott och för Morillons arbete."
"We strongly recommend that a Parliamentary committee of inquiry be set up without delay.", "Det omedelbara inrättandet av ett parlamentariskt undersökningsutskott rekommenderas å det snaraste."
"In the previous parliamentary term, there was a parliamentary committee which investigated this matter.", "Under förra valperioden fanns det en parlamentskommitté som undersökte den här frågan."
"I was recently in Poland for the Joint Parliamentary Committee.", "Jag var nyligen i Polen för det blandade parlamentariska utskottet."
"The appropriate parliamentary committee must therefore get down to work as quickly as possible.", "Därför måste den kommitté som krävs i Europaparlamentet uppta sitt arbete så snabbt som möjligt."
"The Commission also welcomes the release of 404 Moroccan prisoners of war by the Polisario Front.", "Kommissionen välkomnar också att Polisario frigivit 404 marockanska krigsfångar."
"The Polisario Front agreed to implement all of these proposals which come as an indivisible package.", "Polisario accepterade att tillämpa samtliga dessa förslag som utgör en helhet."
"In August, the Polisario Front freed the last Moroccan prisoners of war.", "I augusti befriade Polisario den siste marockanske krigsfången."
"The nearly 300 people who were victims of actions by the Polisario Front in the Canary Isles are a case in point.", "Ett typiskt fall är de nästan 300 offren för ”Frente Polisario” på Kanarieöarna."
"Furthermore, in August many political prisoners were released, hundreds of Moroccan prisoners of war, by the Polisario Front.", "Jag är glad och lättad över att få tillfälle att tala för den gemensamma resolutionen."
"Furthermore, in August many political prisoners were released, hundreds of Moroccan prisoners of war, by the Polisario Front.", "Dessutom släppte Polisario flera politiska fångar och marockanska krigsfångar i augusti."
"Morocco and the Polisario Front both need to understand what is expected of them in terms of standards by the international community.", "Marocko och Polisario måste båda inse vad världssamfundet förväntar sig av dem."
"The Commission also welcomes the release of 404 Moroccan prisoners of war by the Polisario Front.", "Inom ramen för våra bilaterala relationer med Marocko har en underkommitté för mänskliga rättigheter, demokratisering och gott styre inrättats."
"We risk telling those who have chosen peace, like the Sahrawi people did through the Polisario Front, that they have chosen wrongly.", "Vi riskerar att säga åt dem som har valt fred, som sahrawifolket gjorde genom Polisario, att de har valt fel."
"These efforts again brought about results with the release of 100 Moroccan prisoners of war on 26 February by the Polisario Front.", "Dessa ansträngningar ledde än en gång till resultat i och med frisläppandet av 100 marockanska krigsfångar den 26 februari av Polisario."
"In this connection, what view does it take of the visit by the King of Morocco to Western Sahara, which was strongly criticised by the Polisario Front?", "Hur bedömer rådet inom ramen för detta det besök som kungen av Marocko gjort i Västsahara, vilket Polisariofronten kritiserat så hårt?"
"According to the Polisario Front, earlier this month, a mass grave was discovered about a dozen kilometres northeast of Boucraa, one of Western Sahara’s regions.", "Enligt Polisariofronten upptäcktes tidigare denna månad en massgrav drygt en mil nordöst om Boucraa, en av Västsaharas regioner."
