//Sentences
"Onesta, Pacheco Pereira, Podestà, Provan, Puerta, Gerhard Schmid, Vidal-Quadras Roca.", "Onesta, Pacheco Pereira, Podestà, Provan, Puerta, Gerhard Schmid, Vidal-Quadras Roca."
"I would like to thank Mr Queiró, Mr Seguro and Mr Pacheco Pereira for their speeches.", "Jag tackar kollegorna Queiró, Seguro och Pacheco för deras inlägg."
"Request for waiver of Mr Pacheco Pereira's immunity", "Begäran om upphävande av Pacheco Pereiras immunitet"
"We have voted in favour of Mr MacCormick's report seeking to uphold Mr Pacheco Pereira's parliamentary immunity.", "Vi röstade för betänkandet från MacCormick som syftar till att bibehålla den parlamentariska immuniteten för Pacheco Pereira."
"When all is said and done, Mr Pacheco Pereira was performing a political activity and cannot therefore be considered responsible for any crime.", "Till sist har Pacheco Pereira bedrivit politisk verksamhet och kan därför inte betraktas som ansvarig för något brott."
"Mr Pacheco Pereira in that debate made remarks about a third party not participating in the debate, to which the third party took exception.", "I denna debatt fällde Pacheco Pereira kommentarer om en tredje part som inte deltog i debatten, som denna tredje part tog avstånd ifrån."
"The European Parliament, in its work chaired by Vice-President Pacheco Pereira, has been delighted with the courage shown by the Timorese people to the whole world.", "Europaparlamentet, via den delegation som har letts av vår vice talman Pacheco Pereira, gladdes åt det mod som det timoresiska folket gav prov på i världens ögon."
"more_vert open_in_new Link to European Parliament warning Request revision We are also considering further projects in the Balkans, Africa and South Pacific.", "expand_more Vi överväger också ytterligare projekt i Balkan, Afrika och Södra Stilla havet."
"After 20 years, we see emerging the debris accumulation zone of the North Pacific Gyre.", "Efter 20 år ser vi hur ett område av skräp uppstår i den Nordpacifiska strömmen."
"The fund provides aid to countries in Africa, the Caribbean and the Pacific.", "Fonden ger bistånd till länder i Afrika, Västindien och Stillhavsområdet."
"Interim Partnership Agreement between the EC and the Pacific States (vote)", "Interimsavtal om partnerskap mellan EG och Stillahavsstaterna (omröstning)"
"Some of these Pacific countries import fish when their seas are teeming with fish!", "Vissa av länderna i Stillahavsområdet importerar fisk trots att deras hav är fulla av fisk!"
"In the Pacific Region, only Fiji and Papua New Guinea concluded such an agreement.", "I Stillahavsregionen är det endast Fiji och Papua Nya Guinea som har ingått ett sådant avtal."
"Strategy for a strengthened partnership with the Pacific Islands (debate)", "EU:s förbindelser med öarna i Stillahavsområdet - en strategi för ett stärkt partnerskap (debatt)"
"But first, we're gonna have a short class on Pacific Rim social economics.", "Men först en snabblektion i Stillahavskustens samhällsekonomi."
"We have now just received three final reports on the Caribbean, the Pacific and the SAADAC region.", "Vi har nyss mottagit tre slutrapporter om Västindien, Stillahavs- och SAADAC-regionen."
"I very much support trade between Europe, and African, Caribbean and Pacific countries.", "Jag stöder verkligen handel mellan Europa och länderna i Afrika, Västindien och Stilla havsområdet."
"The Pacific islands are quite literally sinking beneath the waves.", "Stillahavsöarna håller bokstavligen talat på att sjunka ner i havet."
"Madam President, we have approved the agreements with the African, Caribbean and Pacific States.", "Fru talman! Vi har godkänt avtalen med staterna i Afrika, Västindien och Stillahavsområdet."
"Interim Partnership Agreement between the EC and the Pacific States (", "Interimsavtal om partnerskap mellan EG och Stillahavsstaterna ("
"Strategy for a strengthened partnership with the Pacific Islands (vote)", "EU:s förbindelser med öarna i Stillahavsområdet - en strategi för ett stärkt partnerskap (omröstning)"
"Cuba has not applied for membership of the African, Caribbean and Pacific Group.", "Kuba har inte ansökt om medlemsskap i AVS-gruppen."
"EC-Pacific States Interim Partnership Agreement (vote)", "Interimsavtal om ekonomiskt partnerskap EG-Stillahavsområdet (omröstning)"
"There are those who say that Cape Verde already has its own framework in the African Caribbean Pacific (ACP) area.", "Det finns de som säger att Kap Verde redan har sin egen struktur i AVS-området."
". - (FR) After 30 years of EU-Pacific cooperation, it is now time to move up a gear.", "skriftlig. - (FR) Efter 30 års samarbete mellan EU och Stillahavsområdet är det nu tid att öka takten."
"A number of Member States follow the Pacific closely.", "Flera medlemsstater följer noggrant utvecklingen i Stillahavsländerna."
"The second African, Caribbean, Pacific (ACP)-EEC Convention (Lomé II) is signed in Lomé, Togo.", "Den andra konventionen (Lomé II) mellan AVS-länderna och Europeiska gemenskaperna undertecknas i Lomé i Togo."
"Historically, Europe has had the strongest influence in the Pacific region through colonial rule.", "EU har i ett historiskt perspektiv haft det starkaste inflytandet i Stillahavsområdet genom kolonialväldet."
"This might be the case for the majority of the Pacific Island countries.", "Detta stämmer kanske för de flesta Stillahavsländerna, men när det gäller flera av dem är den dolda sanningen att de i själva verket inte är länder, utan 2000-talskolonier."
"My report recommends that the more developed Pacific island countries should continue to deliver local processing, thereby creating more employment.", "I betänkandet rekommenderas att de mer utvecklade Stillahavsöarna fortsätter att utveckla den lokala beredningen för att på detta sätt skapa mer sysselsättning."
"These are the two Pacific island states that have the highest levels of trade with the EU and have key exports destined for the EU market: tuna and sugar respectively.", "Det är de två länder i Stillahavsregionen som har störst handel med EU och som har viktiga exportprodukter avsedda för den europeiska marknaden: tonfisk och socker."
"Unfortunately, they could not be adopted in several cases owing to the opposition of a number of countries, such as some Latin American and small Pacific island countries.", "Tyvärr har dessa i flera fall inte kunnat antas på grund av att flera länder motsatt sig det, till exempel vissa latinamerikanska länder och mindre öländer i Stilla havet."
"This gives the Pacific Island countries opportunities on the international scene and prospects for the future.", "Stilla havet är så viktigt att det måste betraktas som en kollektiv nyttighet, vilket skapar möjligheter för dessa länder ur ett internationellt perspektiv och leder till goda framtidsutsikter."
"Strategy for a strengthened partnership with the Pacific Islands (debate)", "EU:s förbindelser med öarna i Stillahavsområdet - en strategi för ett stärkt partnerskap (debatt)"
"The Pacific islands are quite literally sinking beneath the waves.", "Stillahavsöarna håller bokstavligen talat på att sjunka ner i havet."
"Strategy for a strengthened partnership with the Pacific Islands (vote)", "EU:s förbindelser med öarna i Stillahavsområdet - en strategi för ett stärkt partnerskap (omröstning)"
"All these countries are part of the Pacific Islands.", "Alla dessa länder ingår i Stillahavsöarna."
