//Sentences
"It provides information and assistance on a wide range of issues, including:", "Företagen kan här få information och rådgivning om bland annat"
"Accordingly, social welfare provides assistance in times of transition.", "Därför utgör socialt skydd en hjälp under en övergångsperiod."
"It provides for assistance in education, vocational training, public health and social housing.", "Det tillhandahåller hjälp inom utbildning, yrkesutbildning, folkhälsa och bostäder i social regi."
"This Fund provides assistance to employees suffering from the effects of globalisation and of the crisis.", "Den här fonden stöder arbetstagare som drabbas av globaliseringens och krisens effekter."
"As you are aware, the European Commission's package provides assistance of up to EUR 500 million for the 2008-2010 period.", "Som ni vet erbjuder kommissionens paket bistånd på upp till 500 miljoner euro för perioden 2008-2010."
"The agreement also provides for assistance to be provided at the airport or hotel, as appropriate.", "I överenskommelsen ingår också att assistans skall kunna ges på flygplatsen eller hotellet beroende på var detta är lämpligast."
"However, none of this puts into doubt the fundamental principle that in times of crisis, the fund functions and provides real assistance.", "Inget av detta ifrågasätter emellertid grundprincipen att fonder kan ge konkret hjälp i kristider."
"It also offers victims legal and material assistance, and provides for their physical and psychological recovery.", "Offren erbjuds även rättsligt och materiellt stöd, och det finns bestämmelser som avser deras fysiska och psykiska återhämtning."
"It is a tool for assisting development but, first and foremost, it provides assistance to those who cannot help themselves.", "Den är ett redskap för att främja utveckling, men först och främst för att ge stöd till dem som inte kan hjälpa sig själva."
"Mr Belder's report on macro-financial assistance provides for aid to be given to states which need money for their budgets.", "Det här betänkandet från Belder om makrofinansiellt stöd handlar om att bevilja stöd åt de stater som har behov av pengar för sina budgetar."
"What will the European Parliament do to ensure that no Member State provides any assistance to the United States if they follow the path of war?", "Vad kommer Europaparlamentet göra för att se till att ingen medlemsstat ger något stöd till Förenta staterna, om de startar krig?"
"As with other committee secretariats which I have worked with, the Petitions Committee secretariat provides high-quality assistance to us all.", "Liksom andra utskotts sekretariat som jag har samarbetet med, ger sekretariatet vid utskottet för framställningar utmärkt stöd till oss alla."
"Furthermore the Commission, through ECHO, provides humanitarian assistance in favour of the victims of the Kosovo crisis, including the Serb and Roma minorities.", "Vidare tillhandahåller kommissionen via ECHO humanitär hjälp till offren i Kosovokrisen, inklusive serb- och romaminoriteter."
