//Sentences
"I welcome the inclusion of PFOA - perfluorooctanic acid - in the scope of this directive.", "Jag välkomnar att perfluoroktansyra (PFOA) har tagits med i direktivet."
"I would also like to speak about PFOA, which refers to the acids and salts of the same group of substances.", "Jag vill också nämna PFOA. Det vill säga syrorna och salterna i samma ämnesgrupp."
"The final decision has not yet been taken in the matter of PFOA.", "Det slutliga beslutet har ännu inte fattas i frågan om PFOA."
"Once there are reliable alternatives, these will replace PFOA.", "När säkra alternativ finns skall dessa ersätta PFOA."
"In particular, the concentrations of two main perfluorated compounds were sampled: PFOA (perfluorooctane acid) and PFOS (Perfluorooctanesulphonate).", "Det tycks finnas ett politiskt ramverk för vattenfrågor, både på nationell nivå och på gemenskapsnivå."
"Mr President, ladies and gentlemen, I should like to discuss the issue of PFOA briefly, and then go on to make a very fundamental point.", "Herr talman, herr kommissionsledamot, mina damer och herrar! Jag vill kortfattat gå in på frågan med PFOA och sedan gå vidare med att säga något mycket viktigt."
"Industry has voluntarily proposed to limit the use of PFOA by 2014, which in itself is a clear sign that our instincts were right to insist on its inclusion in the legislation.", "Industrin har föreslagit att frivilligt begränsa användningen av PFOA till 2014. Detta är i sig ett tydligt tecken på att vår instinkt att ta med ämnet i lagstiftningen var riktig."
"Teflon (PTFE) coatings only adhere to an aluminium base with the help of perfluorooctanoic acid (PFOA), a chemical recognised as a probable carcinogen by the US Environmental Protection Agency.", "Produkten Teflon (PTFE) fäster inte på aluminium utan hjälp av substansen fluoroktansyra (PFOA), som miljöskyddsmyndigheten i Förenta staterna bedömer som troligen cancerogen."
"In this regard, I am happy to see that Mr Scottà dealt with the future of the PGI and PDO systems.", "Det gläder mig i sammanhanget att Giancarlo Scottà tog upp framtiden för SUB- och SGB-systemen."
"This also provides the basis for the practice according to which the name ‘Tokajská vinohradnícka oblast’ is listed as a PGI.", "Detta ligger även till grund för att namnet ”Tokajská vinohradnícka oblast’” tagits upp som SGB."
"Lastly, we wish to ensure that if the registration of a PDO or PGI is cancelled, it cannot be registered as a trade mark for five years.", "Detta för att förhindra att producenterna utsätts för eventuella ekonomiska påtryckningar."
"On another matter, Welsh cattle under 24 months of age cannot be labelled as Welsh under PGI legislation.", "Ett annat problem är att walesisk boskap under 24 månader inte får märkas som walesisk enligt lagstiftningen för skyddad geografisk beteckning."
"I would like to draw attention to the need for the Community legislation on PDO and PGI products to be revised.", "Jag vill rikta kammarens uppmärksamhet på behovet av att revidera gemenskapsreglerna för produkter som skyddas av geografiska beteckningar och ursprungsbeteckningar."
"(IT) I would like to draw attention to the need for the Community legislation on PDO and PGI products to be revised.", "Jag vill rikta kammarens uppmärksamhet på behovet av att revidera gemenskapsreglerna för produkter som skyddas av geografiska beteckningar och ursprungsbeteckningar."
"Lastly, we wish to ensure that if the registration of a PDO or PGI is cancelled, it cannot be registered as a trade mark for five years.", "Slutligen vill vi se till att om registreringen av skyddade geografiska beteckningar och ursprungsbeteckningar avskaffas så ska den inte kunna användas som varumärke förrän efter fem år."
"How can recognition of the PDO, PGI and TSG labels be improved and made more relevant to consumers, in particular, in Member States that have few registered products?", "Hur kan erkännandet av SGB-, SUB- och GTS-märkningarna förbättras och göras mer relevant för konsumenterna, särskilt i medlemsstater med färre registrerade produkter?"
"This is not to say that some positive signals have not come out of the Commission, for example the logo, this August, for PDO and PGI products.", "Trots detta har det emellertid i augusti kommit vissa positiva signaler från kommissionen som till exempel en logo för produkter med skyddad ursprungsbeteckning och skyddad geografisk beteckning."
"I also agree that the owner of a trademark should, in certain circumstances, have the right to register their trademarked product with a PDO or a PGI.", "Jag håller också med om att ägaren till ett varumärke under vissa omständigheter skall ha rätt att registrera sin varumärkesprodukt med en skyddad ursprungsbeteckning eller geografisk beteckning."
"I would, however, like to express my concern that the average consumer is unaware of the difference between protected designations of origin (PDO) and protected geographical indications (PGI).", "Jag vill emellertid säga att jag är orolig för att den genomsnittlige konsumenten inte känner till skillnaden mellan skyddade ursprungsbeteckningar och skyddade geografiska beteckningar."
"The European Union can actively contribute to this through the PHARE programme.", "Den Europeiska unionen kan med hjälp av Phare-programmet bidra aktivt till det."
"An important element here is the reorientation of PHARE to prepare accession.", "Ett viktigt element här är omorienteringen av Phare för att förbereda anslutningen."
"This will therefore also be taken into account in this year's PHARE programme.", "Man kommer således att ta hänsyn till detta inom ramen för Phare-programmet för i år."
"With regard to external policy there is fundamental change to the Phare programmes.", "När det gäller utrikespolitiken sker det en genomgripande ändring av Phare-programmen."
"We could have mentioned other problems arising from the TACIS or PHARE programmes.", "Vi hade också kunnat nämna andra problem som härrör sig från Tacis- och Phare-programmen."
"In this way, we can continue to build on the current activities under the PHARE programme.", "Även på detta sätt kan man bygga vidare på Phare-programmets löpande aktiviteter."
"It does not seem that much readjustment of the PHARE programme would be needed here.", "Phare-programmet behöver, efter vad som framkommer här, inte någon viktig omfördelning."
"The Commission wishes to improve the management of Phare in the following way.", "Kommissionen vill förbättra administrationen av Phare på följande sätt."
"The PHARE Programme of 1998 will make an additional ECU 42 million available.", "Genom Phare-programmet 1998 kommer ytterligare 42 miljoner ecu att ställas till förfogande."
"Between 1992 and 1998, the PHARE programme provided a total of some ECU 1000 million.", "Phare-programmet tillhandahöll mellan åren 1992 och 1998 sammanlagt omkring en miljard ecu."
"The Committee on Budgets has never wanted to cut the PHARE programme appropriations.", "Budgetutskottet har alltid beslutat sig för, att inte skära ned anslagen i Phare-programmet."
"Naturally we should make sure that the PACT and PHARE programmes are managed in a coherent way.", "Vi måste naturligtvis se till att Pact- och Phare-programmen förvaltas samstämmigt."
"It is a very useful practice and the Phare framework programme provides for it.", "Det är ett mycket användbart sätt, och man vidtar åtgärder för det inom ramen för Phareprogrammet."
"To this effect, tools such as the pre-adhesion strategy, PHARE and TACIS are very important.", "Instrumenten som pre-bifallsstöd, Phare och Tacis är av stor vikt härvid."
"In concrete terms this includes, for example, more staff for the PHARE programme.", "Det betyder alltså också i realiteten en utökning av bemanningen av till exempel Phare-programmet."
"I was asked about the Phare and Tacis programmes and former Yugoslavia.", "Jag blev tillfrågad om Phare- och Tacisprogrammen och med tanke på före detta Jugoslavien?"
"Consequently, the rapporteur proposes increasing the PHARE programme by EUR 25 million now.", "Parlamentet hade totalt redan gjort en anslagsöverföring som var 30 miljoner euro lägre."
"I should also like to say something about the management of the PHARE programme.", "Jag vill säga något om administrationen av Phare-programmet."
"Consequently, the rapporteur proposes increasing the PHARE programme by EUR 25 million now.", "Föredraganden föreslår därför att man nu skall förstärka Phare-programmet med 25 miljoner."
"In parallel, it can benefit from substantial financial support via the PHARE programme.", "Samtidigt kan det vara av stor betydelse att landet får ekonomiskt städ genom Phare-programmet."
"And then at last tourism, too, found a programme with an eloquent name: PHILOXENIA.", "Så har det då slutligen skett att turismen har fått ett program med ett suggestivt namn: Philoxenia."
"Let us wait until the second half of the year for the PHILOXENIA programme.", "Vi väntar till andra terminen på Philoxenia-programmet."
"In fact, there was a programme called PHILOXENIA; it was born and then died, it was aborted, or rather killed.", "Det föddes och sedan dog det. Det aborterades, eller snarare mördades."
"Twice now the Council has rejected the Philoxenia programme, which offers some really positive ideas.", "Programmet Philoxenia, som ändå uppvisar vissa goda ansatser, har redan två gånger avslagits av rådet."
"Madame President, Mr Cornelissen asked me a specific question about the Philoxenia programme.", "Fru ordförande, det har också ställts en specifik fråga till mig av herr Cornelissen om programmet PHILOXENIA."
"For this we need a legal base and an instrument for taking action, and that is the PHILOXENIA programme.", "För att detta skall bli verklighet behöver vi en juridisk grund och ett åtgärdsinstrument, och detta är Philoxenia."
"Subject: Philoxenia 1997-2000 (European tourism)", "Angående: Philoxenia 1997-2000 (Europeisk turism)"
"And since it has no legal base, neither does it have any activities: the PHILOXENIA programme is still on ice.", "Eftersom den inte har någon rättslig grund, har det inte heller någon verksamhet: Philoxenia-programmet är fortfarande fryst."
"To date that unanimity has not been reached in the Council, which is why there is no legal basis for the Philoxenia programme.", "Enhälligheten i rådet har hittills inte uppnåtts, varför det inte finns någon rättsbasis för programmet PHILOXENIA."
"Reference has been made to the PHILOXENIA programme which was on the verge of being approved last year and in the end was not approved.", "Man har faktiskt hänvisat till Philoxenia-programmet, som nästan antogs förra året och som slutligen avslogs."
"At last, I think the time has come for the Philoxenia programme to form the legal basis for a multiannual programme on behalf of tourism.", "Jag tror att tiden har kommit för Philoxenia-programmet att utgöra den rättsliga grunden för ett mångårigt program för turismen."
"Secondly, Philoxenia.", "Den andra frågan rör Philoxenia."
"The European Union ought to create a suitable framework for the future development of tourist policy, as is being discussed in the Philoxenia programme.", "Europeiska unionen bör skapa de lämpliga ramarna för en framtida utveckling av en turistpolitik, något som redan diskuteras i Philoxenia-programmet."
"Does the Luxembourg Presidency intend to pursue the adoption of the Philoxenia programme designed to assist European tourism during its term in office?", "Avser det luxemburgiska ordförandeskapet att sträva efter att Philoxeniaprogrammet för europeisk turism antas under tiden det innehar ordförandeskapet?"
"You all know about the debate over many years about the 'Philoxenia' programme to attract tourist from overseas, with its slogan 'tourists to Europe' .", "Primärt känner ni alla till den årslånga debatten om Philoxenia-programmet, nämligen turistpropagandan som riktade sig till utlandet under mottot: "Turister till Europa"."
"You all know about the debate over many years about the 'Philoxenia ' programme to attract tourist from overseas, with its slogan 'tourists to Europe '.", "Primärt känner ni alla till den årslånga debatten om Philoxenia-programmet, nämligen turistpropagandan som riktade sig till utlandet under mottot: " Turister till Europa "."
"You, Commissioner, and I know that this is the content of PHILOXENIA, rejected by the Council to everyone's great disappointment, especially mine as rapporteur.", "Ni, herr kommissionär, och jag vet att detta är innehållet i Philoxenia, som förkastats av rådet, med stor besvikelse för alla och särskilt för mig som föredragande."
"The Commission's approach on the matter is expressed in the first objective of our proposal for the multiannual programme to assist tourism in Europe, the Philoxenia programme.", "Vårt närmande framgår även av det allmänna målet i förslaget från kommissionen om det första fleråriga programmet för europeisk turism, Philoxenia-programmet."
"This was reflected in their refusal to adopt the PHILOXENIA programme last year, which meant that there was no legal basis to finance supplementary actions at Community level.", "Detta avspeglas i vägran att anta Philoxenia-programmet förra året, vilket har lett till att det saknas en rättslig grund för att finansiera tilläggsåtgärder på gemenskapsnivå."
"First: the European Union should revert to the idea of a special programme on tourism, such as the PHILOXENIA proposal which came up against opposition from a number of Member States.", "För det första: Europeiska unionen måste åter utarbeta ett specialprogram för turismen, såsom programmet? Philoxenia?, vilket stötte på motstånd från vissa medlemsländer."
"Enter your PIN code.", "Slå in din pinkod."
"Will the Commission also advocate payment by credit card or using a PIN number?", "Är kommissionen också beredd att plädera för betalning med bankkort?"
"If your forget your PIN number, click the Forgot PIN? link.", "Om du glömmer bort PIN-koden kan du klicka på länken Glömt PIN-koden?."
"If you lost your mobile phone, your Google Wallet account will not be accessible without your PIN number.", "Om du förlorar din mobiltelefon kan du inte komma åt ditt Google Checkout-konto utan din PIN-kod."
"Social Security number, bank account number, PIN number, credit card number, mother's maiden name, or birthday).", "Var försiktig, även om de verkar komma från en giltig källa eller innehåller en webbsida som ser officiell."
"If your PIN number is invalid and you're unable to provide the accurate PIN number, you may wish to request another PIN number in the mail by selecting 'Request another letter'.", "Om PIN-koden är ogiltig och du inte kan ange rätt PIN-kod kanske du måste begära en ny PIN-kod genom att välja "Begär ett till brev"."
"To verify the accuracy of your account information, we will mail a personal identification number (PIN) to your payment address when your earnings reach the verification threshold.", "För att bekräfta att kontoinformationen är korrekt skickar vi en PIN-kod till din betalningsadress när dina intäkter når verifieringströskeln."
"Now I would like to read something from the PISA report, which is very relevant.", "Låt mig nu läsa upp något ur PISA-rapporten som är mycket viktigt."
"The results of the Pisa Study should have opened people's eyes.", "Resultaten av Pisaundersökningen borde ha öppnat ögonen i sammanhanget."
"The OECD's PISA survey is an important resource for these exchanges.", "OECD:s PISA-undersökning är en viktig resurs för sådant utbyte."
"Regarding elementary school, unfortunately, we do not have studies similar to the PISA one.", "När det gäller grundskolans tidigare del har vi dessvärre inte några undersökningar liknande PISA."
"The PISA study provided something of a salutary shock in Germany.", "Pisaundersökningen gav till exempel Tyskland en nyttig chock."
"In Germany, the Pisa survey came up with some sobering results.", "Resultaten av Pisastudien är en väckarklocka för Tyskland."
"As the PISA study shows, though, we have problems in this area.", "Pisastudien visar dock att vi har problem på detta område."
"The latest PISA survey, published in December 2010, shows a mixed picture for EU Member States.", "Den senaste PISA-undersökningen, som offentliggjordes i december 2010, ger EU:s medlemsstater ett blandat intryck."
"This is not Cohn-Bendit speaking but the OECD in its Programme for International Student Assessment (PISA) study.", "Detta är inte min personliga åsikt, utan den OECD beskriver i sin studie PISA (Programme for International Student Assessment)."
