//Sentences
"Subject: Provision of adequate, high-quality childcare facilities in the Member States", "Angående: Tillräckliga och kvalitativa tjänster för barntillsyn i medlemsstaterna"
"It is not sufficient to draw attention to the special significance of high-quality childcare.", "Det är inte tillräckligt att påpeka den särskilda betydelse som högkvalitativ barnomsorg har."
"Adequate, high-quality provision of childcare services still falls to the Member States.", "Det är fortfarande medlemsstaternas uppgift att erbjuda tillräckliga och högkvalitativa barntillsynstjänster."
"Accessible, high-quality childcare is a vital prerequisite to achieving genuine gender equality.", "Tillgänglig barnomsorg av hög kvalitet är en absolut förutsättning för att uppnå verklig jämställdhet."
"Secondly, we need to expand high-quality childcare.", "För det andra behöver vi en utbyggd barnomsorg av hög kvalitet."
"Fourthly, we need high-quality childcare and a child-friendly environment, no matter what the parents' income.", "För det fjärde behöver vi högkvalitativ barnavård och en barnvänlig miljö oavsett föräldrarnas inkomst."
"This is not a time to dismiss childcare but to increase quality, affordable childcare for all.", "I dessa tider är det inte läge att upplösa barnomsorgen, utan vi bör nu bygga ut en kvalitativ barnomsorg som alla har råd med."
"In order to increase female employment, therefore, it is vital to have access to high-quality and affordable childcare.", "För att öka sysselsättningen bland kvinnor är det därför avgörande att det finns barnomsorg av hög kvalitet till en rimlig kostnad."
"Family-friendly policies for women and men, such as more flexible working arrangements and quality childcare facilities, can be of much help.", "Familjetillvänd politik för kvinnor och män, såsom flexiblare arbetstider och god barnomsorg, kan hjälpa mycket."
"The need was stressed for a financial contribution for the creation and/or operation of high-quality childcare services at affordable prices.", "Man påpekade behovet av ekonomiskt stöd för att inrätta och/eller driva barnomsorg med hög kvalitet, till rimliga priser."
"The need was stressed for a financial contribution for the creation and/ or operation of high-quality childcare services at affordable prices.", "Att ge mer bidrag, skattelättnader eller skatteavdrag till familjerna är meningslöst om den nödvändiga infrastrukturen saknas."
"If affordable, accessible and quality childcare is provided, having more children will not hinder labour market participation.", "Om det finns barnomsorg som människor har råd med och som är lättillgänglig och av god kvalitet hindras man inte från att delta på arbetsmarknaden när man skaffar fler barn."
"It is important for children to have access to high-quality childcare as an important stage in their progress towards, for example, school and the adult world.", "Det är viktigt för barnen att ha tillgång till en god kvalitativ barnomsorg som ett viktigt led i deras utveckling mot skolan och vuxenvärlden osv."
"If we want more women to enjoy the freedom of work we need to have the availability of quality and affordable childcare as a key political priority.", "Om vi vill att fler kvinnor ska ha möjlighet att arbeta måste tillgången till barnomsorg av god kvalitet och till ett bra pris ha högsta prioritet i vår politik."
"It is not by chance that a childcare campaign was launched by the Party of European Socialists, who pleaded for accessible, affordable and good quality childcare.", "Det var ingen slump att Europeiska Socialdemokraters Parti lanserade en barnomsorgskampanj och vädjade om barnsorg som är tillgänglig, prisvänlig och av god kvalitet."
"For that to happen, the Member States must urgently establish networks of high-quality, affordable childcare facilities available at appropriate times.", "För att detta ska kunna förverkligas måste medlemsstaterna omedelbart skapa system för barnomsorg av hög kvalitet och till ett rimligt pris som är tillgänglig vid lämpliga tider."
"More should also be done to increase birth rates: accessible high quality childcare, education and mentoring for young children is the first step in the right direction.", "Dessutom måste det göras mer för att öka födelsetalen. Tillgången till högkvalitativ barnomsorg, utbildning och mentorskap för barn är ett första steg i rätt riktning."
