//Sentences
"And no parallels with the Basque country, Quebec or Abkhazia should be accepted.", "Och inga paralleller med Baskien, Quebec eller Abchazien får tillåtas."
"This is the reason why we French patriots support the cause of an independent Quebec.", "Av denna anledning, franska patrioter, stödjer vi ett fritt Quebec."
"Chirac speaks of the rights of the Inuits in Quebec, but ignores linguistic rights in France.", "Chirac talar om rättigheterna för inuiter i Quebec, men blundar för de lingvistiska rättigheterna i Frankrike."
"The natives of Quebec should know they are not alone.", "Måtte invånarna i Quebec inse att de inte är ensamma."
"We know that a group of experts from France and Quebec carried out a feasibility study on this instrument.", "Vi vet att en grupp fransk-kanadensiska experter har företagit en genomförbarhetsstudie om detta instrument."
"Alice comes from Université Laval, Quebec, and will be moving to Skellefteå with her family and start working here next year.", "Alice kommer närmast från Université Laval i Quebec och flyttar till Skellefteå med sin familj i början av nästa år."
"In Autumn last year, I had an opportunity to learn about the experiences and practices of Indians in Quebec at first hand.", "Själv hade jag förra året under hösten tillfälle att skaffa mig en bild av indianernas erfarenheter och praktiska kunskaper i Quebec."
"Once we French have freed ourselves from Brussels' authority, we will be able to tie once again the links broken with our Quebec brothers two centuries ago.", "När vi i Frankrike själva har frigjort oss från Bryssels förmyndarskap, kan vi återknyta de band som bröts med våra bröder i Quebec för tvåhundra år sedan."
"Once we French have freed ourselves from Brussels ' authority, we will be able to tie once again the links broken with our Quebec brothers two centuries ago.", "När vi i Frankrike själva har frigjort oss från Bryssels förmyndarskap, kan vi återknyta de band som bröts med våra bröder i Quebec för tvåhundra år sedan."
"The natives of Quebec are putting up a good fight in defence of French, but the collapse of their birthrate, since the onset of what is known as the silent revolution, makes this battle in vain.", "Invånarna i Quebec hänger sig åt en skön kamp i försvaret av det franska, men striden är meningslös efter den så kallade tysta revolutionen då deras nationalitet störtade samman."
"We shall be observing a minute's silence in memory of the Queen Mother tomorrow.", "På grund av denna händelse kommer en tyst minut att hållas i morgon till minne av drottningmodern."
"The Queen Mother was monarch of the Netherlands from September 1948 until her abdication in 1980.", "Drottningmodern var Nederländernas monark från september 1948 tills hon avgick 1980."
"I ask you, colleagues, as a mark of respect for the deceased Queen Mother, to observe one minute's silence.", "Jag ber er, kolleger, att iaktta en tyst minut som tecken på respekt för den bortgångna drottningmodern."
