//Sentences
"RAI, the State broadcaster, gives a voice both to the majority and the opposition.", "Det statliga tv-bolaget RAI låter både majoriteten och oppositionen få komma till tals."
"We want no more party politics on the RAI!", "Vi vill inte ha mer partipolitik inom RAI!"
"Mr President, in Italy, there are three state television channels: Rai 1, Rai 2 and Rai 3, there is the Mediaset group and then in Italy there is LA7 ...", "I Italien finns det tre statliga tv-kanaler: Rai 1, Rai 2 och Rai 3, det finns Mediaset-gruppen och så finns det LA7 ..."
"In Italy, the Prime Minister controls the commercial company MEDIASET as its owner and the State-run company RAI thanks to his role in government.", "I Italien kontrollerar premiärministern det kommersiella bolaget Mediaset i egenskap av dess ägare och det statligt styrda bolaget RAI tack vare sin ställning i regeringen."
"As has been highlighted, the highest concentration of the audiovisual market anywhere in Europe is in Italy, where the market is dominated by two players, RAI and Mediaset.", "Såsom har belysts finns den största koncentrationen av den audiovisuella marknaden i hela Europa i Italien där marknaden domineras av två aktörer, RAI och Mediaset."
"There was no provision in the draft budget to reduce the RAL.", "I budgetförslaget har man inte förberett sig för en minskning av ?RAL?."
"There was no provision in the draft budget to reduce the RAL.", "I budgetförslaget har man inte förberett sig för en minskning av? RAL?."
"This would be the equivalent of rehashing the RAL and would not solve the problem.", "Det skulle då vara som en regummering av de anslag som ännu inte har utnyttjats och inte en lösning på problemet."
"The RAL are obviously related to the issue of providing aid to refugees, of providing humanitarian aid.", "RAL är naturligtvis knutna till frågan om stöd till rotlös befolkning, till humanitärt stöd."
"For these two regions, the problem of outstanding commitments (RAL) stands at EUR 3.45 billion.", "För dessa två regioner ligger problemet med åtaganden som återstår att göra (RAL) på 3,45 miljarder euro."
"To confirm our fears, the reduction of unpaid commitments (RAL), will be in appearance only.", "Om våra farhågor besannas blir minskningen av kvarstående medel, de anslag som ännu inte har utnyttjats, alltför uppenbar."
"This led to a considerable increase in the amount outstanding (RAL) – from EUR 160 million to EUR 238 million.", "Detta ledde till en avsevärd höjning av de utestående åtagandena – från 160 miljoner euro till 238 miljoner euro."
"Efforts will be needed to limit, address and settle what we call in French the 'RAL ', the balance to be cleared.", "En ansträngning måste göras för att begränsa, behandla och avskaffa det man kallar " RAL" , resten bör avskaffas."
"Efforts will be needed to limit, address and settle what we call in French the 'RAL ', the balance to be cleared.", "En ansträngning måste göras för att begränsa, behandla och avskaffa det man kallar " RAL ", resten bör avskaffas."
"Consequently, the financial year 2002 closed with more than EUR 66 000 million in outstanding commitments known in French as the RAL.", "Som en följd avslutades budgetåret 2002 med över 66 miljarder euro i utestående åtaganden, på franska kallat RAL."
"Consequently, the financial year 2002 closed with more than EUR 66 000 million in outstanding commitments known in French as the RAL.", "Som en följd avslutades budgetåret 2002 med över 66 miljarder euro i utestående åtaganden, på franska kallat RAL."
"With regard to the Structural Funds, we point to the improved implementation of appropriations in 2003, despite retaining a very high RAL.", "Konkret innebär detta att direkta utbetalningar till jordbrukare måste föras in i budgeten för första gången."
"The first comment concerns the RAL.", "Den första gäller RAL."
"However, I should like to point out that the vast increase in payment appropriations is not a cure-all for RAL absorption.", "Jag vill dock påpeka att den storskaliga höjningen av betalningsbemyndigandena inte är något universalmedel för att RAL skall kunna absorberas."
"Thirdly, the Commission agrees with the preoccupation of the rapporteur as far as the famous RAL, reste à liquider, the backlog, is concerned.", "För det tredje ansluter sig kommissionen till föredragandens oro i fråga om den berömda eftersläpningen, RAL, reste à liquider."
"Thirdly, the Commission agrees with the preoccupation of the rapporteur as far as the famous RAL, reste à liquider , the backlog, is concerned.", "För det tredje ansluter sig kommissionen till föredragandens oro i fråga om den berömda eftersläpningen, RAL, reste à liquider ."
"This issue of the closure of programmes for the 1994-1999 period is therefore essential for what we call the ‘outstanding commitments’ or RAL.", "Frågan om slutförandet av programmen för perioden 1994–1999 är därför mycket viktig för det som vi kallar ”de utestående åtagandena” eller RAL."
"Mr President, Mr President-in-Office of the Council, Commissioner, the biggest problem with the budget is the outstanding RAL appropriations.", "Herr talman, bästa företrädare för rådet, fru kommissionär! Det största problemet i budgeten är de oremitterade anslagen för utestående betalningar."
"There is 40 billion in outstanding commitments - the so-called 'RAL's - in the accounts, and it is to be supposed that most of it will never be spent.", "I bokföringen finns abnormt eftersläpande förbindelser till ett värde av 40 miljarder och det är troligt att största delen av dem aldrig utnyttjas."
"There is 40 billion in outstanding commitments - the so-called 'RAL' s - in the accounts, and it is to be supposed that most of it will never be spent.", "I bokföringen finns abnormt eftersläpande förbindelser till ett värde av 40 miljarder och det är troligt att största delen av dem aldrig utnyttjas."
"more_vert open_in_new Link to TED warning Request revision . ~~~ Nine exabyte RAM.", "expand_more Det finns gott om minne -- nio hexabyte RAM."
"more_vert open_in_new Link to European Parliament warning Request revision That was clearly used as a political battering ram.", "expand_more Det användes uppenbarligen som en politisk murbräcka."
"more_vert open_in_new Link to statmt.org warning Request revision As I have said, using a battering ram against the social security system would definitely be the worst thing that the European Union could do at this point.", "expand_more Jag upprepar att det definitivt värsta som EU kunde göra just nu vore att slå sönder det sociala trygghetssystemet."
"more_vert open_in_new Link to OpenSubtitles warning Request revision I don't know if you're hearing... but I am going to ram your gate.", "expand_more Jag vet inte om du hör det... men jag ska ramma porten."
"more_vert open_in_new Link to statmt.org warning Request revision But then, I would not be surprised, because, after all, you are prepared to ram through a constitution without asking anybody either.", "driva igenom en konstitution utan att fråga någon."
