//Sentences
"URBAN and RESTRUCT were combined to form the new URBAN.", "Urban och Restruct har sammanfogats till det nya Urban."
"We have been discussing programmes such as Restruct or Recover, and URBAN is set to become the fourth Community initiative.", "Vi har diskuterat " Restruct" eller " Recover" och kommer också att få Urban som fjärde gemenskapsinitiativ."
"We have been discussing programmes such as Restruct or Recover, and URBAN is set to become the fourth Community initiative.", "Vi har diskuterat " Restruct " eller " Recover " och kommer också att få Urban som fjärde gemenskapsinitiativ."
"The House also voted in favour of a new 'Urban' Community initiative and a separate initiative for future crisis sectors or regions; a kind of 'Restruct' initiative.", "Parlamentet röstade också för ett nytt " urbant" gemenskapsinitiativ och ett separat initiativ för framtida krisdrabbade sektorer eller regioner: ett slags " omstrukturerings" -initiativ."
"The House also voted in favour of a new 'Urban ' Community initiative and a separate initiative for future crisis sectors or regions; a kind of 'Restruct ' initiative.", "Parlamentet röstade också för ett nytt " urbant " gemenskapsinitiativ och ett separat initiativ för framtida krisdrabbade sektorer eller regioner: ett slags " omstrukturerings " -initiativ."
"There are loans from the European Social Fund and the RETEX programme, but these are not real solutions.", "Krediter ges via Europeiska socialfonden och RETREX-programmet men det är inga riktiga lösningar."
"That is the role of Retex, the role of the frameworks for Community initiatives or Community support frameworks.", "Det är Retex roll, det är rollen för gemenskapens initiativramar eller gemenskapsstödramar."
"Nor can the RETEX programme be applied in Finland.", "Retex-programmet kan inte heller användas i Finland."
"It is Parliament's wish from last year and we want to ensure that this money on Rechar and Retex is indeed spent.", "Det är parlamentets önskemål från förra året och vi vill säkerställa att dessa pengar för Rechar och Retex verkligen används."
"These actions, which are currently being carried out through the framework of the Retex initiative, could be renewed in the context of the new Objective 2.", "Dessa åtgärder, som i dag bedrivs inom ramen för Retex-initiativet, skulle kunna överföras till det nya Mål 2."
"The Commission's Agenda 2000 proposal makes no provision to replace the RETEX programme, and Objective 2 areas are to be reduced.", "Kommissionens förslag till Agenda 2000 innehåller inga stadganden för att ersätta Retex-programmet, och mål 2-områdena kommer att skäras ned."
"Much of the funding still remains with 54% of credits not committed under Leader, 38% under Interreg, 49% under URBAN and 88% under RETEX.", "Vi vet att stora anslag återstår - 54 procent outnyttjade anslag för Leader, 38 procent för Interreg, 49 procent för Urban och 88 procent för Retex."
"Much of the funding still remains with 54 % of credits not committed under Leader, 38 % under Interreg, 49 % under URBAN and 88 % under RETEX.", "Vi vet att stora anslag återstår - 54 procent outnyttjade anslag för Leader, 38 procent för Interreg, 49 procent för Urban och 88 procent för Retex."
"Were there any subsidies under the Retex textile and clothing industries, under the TACIS, PHARE and ESPRIT programmes, or under the Structural Funds?", "Har det utdelats stöd inom ramen för textil- och klädindustrin Retex, stöd inom ramen för programmen Tacis, Phare, Esprit, stöd inom ramen för strukturfonderna?"
"In my region we have an action plan using Objective 2 funding, the European Social Fund and RETEX funds worth some 1.8 million over the next three years.", "I min region har vi en handlingsplan för att använda mål 2-medel, Europeiska socialfonden och Retex-medel till ett värde av runt 1, 8 miljoner under de kommande tre åren."
"It would be a good move for the Commission to increase the funding in Agenda 2000 and provide continuity for the Retex programme, which is so important for the sector.", "Ett gott steg att ta för kommissionen skulle vara att öka de finansiella anslagen i Agenda 2000 och fortsätta med ett för sektorn så viktigt program som Retex."
"Even at the level of special programmes, the new proposals for the Structural Funds within the framework of Agenda 2000 provide for the abolition of the RETEX programme.", "Till och med vad gäller de specialiserade programmen förutser de nya förslagen angående strukturfonden inom ramen för Agenda 2000 ett avskaffandet av Retex-programmet."
"It is because the European Union supported structural change outside the textile industry, in technology centres and redevelopment, for example; you remember the RETEX programme from the past.", "Det beror på att Europeiska unionen stödde strukturförändring utanför textilindustrin liksom teknikcentrum och sanering; ni minns det gamla Retexprogrammet."
"We currently have a number of horizontal programmes: Retex, SME, ADAPT and Emploi, along with actions in the field of the targeted technologies and in traditional industries.", "Vi har för närvarande flera horisontella program: Retex, små och medelstora företag, Adapt, Sysselsättning, samt åtgärder inom riktade teknologiområden och inom traditionella sektorer."
"We currently have a number of horizontal programmes: Retex, SME, ADAPT and Emploi , along with actions in the field of the targeted technologies and in traditional industries.", "Vi har för närvarande flera horisontella program: Retex, små och medelstora företag, Adapt, Sysselsättning, samt åtgärder inom riktade teknologiområden och inom traditionella sektorer."
"I now wish to recall the 1995 decisions contained in the special report, where we came to the understanding that the Rechar and Retex initiatives are priorities for the European Parliament.", "Jag skulle även vilja erinra om besluten från 1995 i specialbetänkandet, där vi kommit överens om att gemenskapsinitiativen Rechar och Retex är Europaparlamentets prioriteringar."
