//Sentences
"I want to speak a little bit on what I would like to see in the budget for the future.", "Jag vill säga några ord om hur jag skulle vilja att budgeten såg ut i framtiden."
"Mr President, I would like to speak a little about the European Voluntary Service.", "Herr ordförande! Jag skulle vilja tala litet om Europeisk volontärtjänst för ungdomar."
"I want to speak a little about what our role as parliamentarians should be.", "Jag vill tala litet om vilken roll vi bör ha som parlamentariker."
"(GA) I would like him to speak a little about this crisis.", "(GA) Jag skulle vilja att Herman Van Rompuy uttalade sig om den här krisen."
"Mr President, in Ireland they speak of little else.", "(EN) Herr talman! I Irland talar man knappt om något annat."
"If you supported the general interest, you would defend and speak a little more about the workers.", "Om ni ville slå ett slag för allmänintresset, så skulle ni ta arbetstagarna i försvar och tala om dem lite oftare."
"You speak a little too much, however.", "Men du pratar lite för mycket."
"Mr President, I should appreciate it if the President could speak a little more slowly, as the interpretation is not heard immediately.", "– Herr talman! Jag skulle uppskatta det om talmannen kunde ta det lite saktare när han pratar eftersom tolkningen kommer en stund efter."
"At that summit we mean to speak a little about the model of consensus which Finland, for its own part, has used with some success to achieve certain kinds of results.", "Vid detta toppmöte har vi för avsikt att tala lite om den konsensusmodell som Finland, för sin del, har tillämpat med viss framgång för att nå vissa slags resultat."
"It is of course true that the European Union is not a supermarket, but equally it is not a temple in which people who speak a little too loudly are asked to remain quiet.", "Det är naturligtvis sant att Europeiska unionen inte är en stormarknad, men den är inte heller ett tempel i vilket de som talar lite för högt uppmanas vara tysta."
"I call upon those who speak after me to give a satisfactory answer to that question.", "Det skulle jag vilja att ni som nu har ordet efter mig ger ett tillfredsställande svar på."
"Some would vilify me, take away my democratic rights and use hate-speak against me.", "Några vill kränka mig, ta ifrån mig mina demokratiska rättigheter och rikta hatspråk mot mig."
"Perhaps he can do this in writing or even speak to me on the matter sometime in the near future.", "Kanske kan han svara skriftligt eller tala direkt med mig inom en snar framtid."
"I'm fully aware that you may never speak to me again.", "Jag är medveten om att du kanske inte kommer och prata med mig igen."
"Need money, as usual...... but he don't speak to me.", "Behöver pengar, som vanligt...... men han pratar inte med mig."
"Mr President, I hope that the two members due to speak before me were not travelling by train and have been delayed.", "(DE) Herr talman! Jag hoppas att de båda föregående talarna inte har åkt tåg och är försenade."
"I am aware, Mr President, that Mr Verheugen is to speak after me about the counterfeiting of medicinal products.", "Herr talman! Jag vet att Günter Verheugen kommer att tala efter mig, om piratkopiering av läkemedel."
"I realized that I could hear animals speak to me.", "insåg jag att jag kunde höra djur prata med mig."
"I will address my final remarks to the Commissioner, even though she will probably never speak to me again.", "Jag skall rikta mina slutliga kommentarer till kommissionären, även om hon troligen aldrig mer kommer att tala till mig."
". - I am at the disposal of the honourable Mr Crowley if he would like to speak with me later on and has a supplementary question.", "ledamot av kommissionen. - (EN) Jag står till Brian Crowleys förfogande om han vill prata med mig senare och har en kompletterande fråga."
"I do not want to anticipate what the Members who will speak after me will have to say, but one important subject that you touched on is security of energy supply.", "Jag ska inte föregripa vad ledamöterna efter mig kommer att säga, men ett viktigt ämne som ni berörde är en säker energiförsörjning."
