//Sentences
"The outcome was published on the website of DG SANCO.", "Resultatet offentliggjordes på webbsidan för GD Hälso- och konsumentfrågor (SANCO)."
"I call on the Commissioner to make DG SANCO's policy mandatory for all DGs.", "Jag uppmanar kommissionsledamoten att se till att GD SANCO:s policy blir obligatorisk för alla generaldirektorat."
"Is the SANCO DG under pressure from other directorates?", "Pressas GD Hälsa och konsumentskydd av andra generaldirektorat?"
"The worst offenders are not DG SANCO.", "Den värsta syndaren är inte Generaldirektoratet för hälsa och konsumentskydd."
"I welcome the mention on DG SANCO's website, but this is a first step only.", "Jag välkomnar att generaldirektoratet för hälso- och konsumentfrågor tagit upp frågan på sin webbplats men det är bara ett första steg."
"Is DG SANCO taking any specific action to address this problem?", "Vidtar generaldirektoratet för hälsa och konsumentskydd några särskilda åtgärder för att komma till rätta med detta problem?"
"A further complication is that three DGs are involved in all of this: ENTR, SANCO and indeed AGRI.", "Ytterligare en komplikation är att tre generaldirektorat deltar i sammanhanget: GD Näringsliv, GD Hälsa och konsumentskydd och t.o.m."
"The Commission DG Sanco services are responsible for granting funding to consumer organisations in the EU.", "Tjänsteavdelningen på kommissionens generaldirektorat för hälso- och konsumentfrågor ansvarar för att bevilja bidrag till konsumentorganisationer inom EU."
"I should also point out that DG Sanco is carrying out an ongoing review of the Package Travel Directive, which will also deal with this issue.", "Han eller hon kanske har en försäkring som ger kompensation senare, men som inte är till någon nytta när själva situationen uppstår."
"Many of the Directorates General other than DG AGRI are working on the issue we are discussing today: DG SANCO, DG Research and DG Environment.", "Många andra generaldirektorat än GD Jordbruk arbetar med den fråga som vi idag diskuterar: GD Hälso- och konsumentfrågor, GD Forskning och GD Miljö."
"How can a regular exchange between DG SANCO and EMEA be established to ensure that the knowledge of specific diseases is always up to date?", "Hur kan ett ordentligt utbyte mellan GD SANCO och EMEA inrättas för att man skall kunna se till att kunskapen om olika sjukdomar alltid hålls uppdaterad?"
"In addition, the situation may be complicated because DG SANCO is now presenting a proposal for a new directive on patient mobility.", "Dessutom kan situationen bli invecklad, eftersom generaldirektoratet för hälsa och konsumentskydd nu lägger fram ett utkast till ett nytt direktiv om rörlighet för patienter."
"We have a member here from DG SANCO - the Commissioner is busy talking at the moment, but when she has stopped talking she might just listen to what I have got to say.", "Kommissionsledamoten är sysselsatt med ett samtal just nu, men så snart hon stänger munnen så kanske hon öppnar öronen för vad jag har att säga."
"I should also point out that DG Sanco is carrying out an ongoing review of the Package Travel Directive, which will also deal with this issue.", "Jag bör också påpeka att Generaldirektoratet för hälsa och konsumentskydd för närvarande genomför en granskning av paketresedirektivet som också kommer att behandla denna fråga."
"The unclear content of the expert groups' work cannot possibly lead to reliable results, and here I am thinking in particular of the expert groups coming under the DG Sanco.", "Oklarheterna i fråga om expertgruppernas arbete kan inte leda till tillförlitliga resultat, och här syftar jag framför allt på expertgrupper med anknytning till GD SANCO."
"more_vert open_in_new Link to European Parliament warning Request revision I have sat here for almost an hour and a half and waited patiently for my question.", "expand_more Jag har suttit här i nästan en och en halv timme och tålmodigt väntat på min fråga."
"more_vert open_in_new Link to statmt.org warning Request revision Representatives of employees’ organisations would sit on its Administrative Board.", "expand_more Företrädare för arbetstagarorganisationerna skulle sitta med i styrelsen."
"more_vert open_in_new Link to TED warning Request revision I had to sit down with my daughter and say, "Here's the situation."", "expand_more Jag fick sätta mig ner med min dotter och säga, "Så här ser läget ut.""
"more_vert open_in_new Link to statmt.org warning Request revision Who will sit down at a table at this point and genuinely negotiate with the military leaders?", "expand_more Vilka ska i detta skede sätta sig ned och föra verkliga förhandlingar med de militära ledarna?"
"more_vert open_in_new Link to statmt.org warning Request revision Do not sit at the back and follow everyone else, but be at the forefront and you will have us at your side.", "expand_more Sitt inte i baksätet och åk med, utan ta täten och vi kommer att stå vid er sida."
"more_vert open_in_new Link to European Parliament warning Request revision As it is the only parliament in the world which has no say over where it sits, the Council of Ministers must, once and for all, put an end to this situation.", "expand_more Eftersom det är det enda parlamentet i världen som inte får yttra sig om var det ska ligga måste ministerrådet, en gång för alla, sätta stopp för denna situation."
