//Sentences
"I myself saw the TV programme and I am able to say that she did not do so.", "Jag har själv sett TV-programmet och jag kan säga att hon inte gjorde det."
"There is even a TV programme called VID, which specialises in helping people.", "Det finns till och med ett TV-program, VID, som har specialiserat sig på att hjälpa människor."
"Just a few weeks ago the BBC TV programme Panorama exposed a scandal connected with poultry.", "För bara några veckor sedan avslöjades i BBC:s TV-program Panorama en skandal avseende fjäderfä."
"Just a few weeks ago the BBC TV programme Panorama exposed a scandal connected with poultry.", "För bara några veckor sedan avslöjades i BBC: s TV-program Panorama en skandal avseende fjäderfä."
"the abrupt closure of a television news programme (TV1 Jornal de Sexta), and the replacement of the channel's director-general.", "Ett nyhetsprogram i tv (Jornal de Sexta, tvI) har dessutom plötsligt upphört och kanalens vd har bytts ut."
"Sometimes one is justified in blaming the press, as happened yesterday with a Dutch TV programme about signing in on Friday.", "Ibland kan man, såsom det gjordes i går med anledning av en nederländsk TV-utsändning i fredags, med lugnt samvete ge pressen skulden."
"More than half of the Russian population were able to receive the TV-6 programmes.", "Drygt hälften av den ryska befolkningen kunde få in programmen från TV6."
"The MEDIA programme provides financial support for quality European films and TV programmes.", "Mediaprogrammet ger ekonomiskt stöd till europeiska kvalitetsfilmer och tv-program."
"Does it see any need for legislation to regulate the increasing spread of 'product placement' in TV programmes?", "Anser kommissionen att det ökande bruket av produktplacering i TV-program skapar ett behov av rättsregler?"
"They are used for paying bills, for surfing the net and playing computer games, and soon you will be watching TV programmes on them.", "Via mobiltelefonen betalar man räkningar, surfar på nätet och spelar dataspel, snart även tittar på TV-program."
"In the European Parliament, and particularly in its Culture Committee, there was concern to develop TV programmes in the interests of children.", "I Europaparlamentet och framför allt i utskottet för kultur har man känt oro för utvecklingen av TVutbudet med tanke på barnen."
"In the EU there is not nor will there ever be one single language nor one single television network broadcasting identical TV programmes to one and all.", "EU har inte och kommer inte att ha ett enda gemensamt språk eller ett TV-programutbud som alla på lika villkor kan ta emot."
"The Commission agrees that the issue of managing online rights for the redistribution of TV and radio programmes merits close attention.", "Kommissionen håller med om att frågan om hanteringen av online-rättigheter för återutsändning av tv- och radioprogram förtjänar att uppmärksammas noggrant."
"– feature in her TV programmes, as long, of course, as these are properly protected in terms of intellectual property rights.", "Vi kanske till och med – vem vet? – kan få vara med i hennes TV-program, så länge som den immateriella äganderätten skyddas ordentligt, naturligtvis."
