//Sentences
"The apparent choice for the West between Pakistan and India is also a false dichotomy.", "Västs skenbara val mellan Pakistan och Indien är också en falsk dikotomi."
"It has never been so vital to pay attention to the dichotomy between the environment and the economy.", "Det har aldrig varit så viktigt att fästa uppmärksamhet vid dikotomin miljö - ekonomi."
"The report postulates a dichotomy between technological progress and sustainable development.", "I betänkandet byggs en konfliktsituation upp mellan tekniska framsteg och en hållbar utveckling."
"Certainly, the dichotomy between a moratorium and abolition of the death penalty ought not to be exploited.", "Dikotomin mellan ett moratorium för och avskaffandet av dödsstraff bör inte utnyttjas."
"This dichotomy does not really exist and has no part in the nature of European integration.", "Denna klyfta existerar egentligen inte och har ingenting med den europeiska integrationens karaktär att göra."
"Secondly, from time to time, I hear that a false dichotomy is being created between competitiveness and solidarity.", "För det andra hör jag då och då att en falsk klyfta skapas mellan konkurrenskraft och solidaritet."
"How does the Commission think it is going to deal with this dichotomy?", "Särskilt kvinnor riskerar att bli fattiga under ålderdomen. På vilket sätt avser kommissionen att hantera denna motsägelse?"
"I moreover believe that this dichotomy between basic research and applied research is a thing of the past.", "Jag tror för övrigt att detta motsatsförhållande mellan grundforskning och tillämpad forskning är föråldrad."
"This is even more worrying because it is precisely because of this false dichotomy that we have lost so far.", "Detta är ännu mer oroväckande eftersom det är just på grund av denna falska dikotomi som vi har förlorat hittills."
"This helps to overcome the classic dichotomy that culture costs money while business brings in money.", "Detta gör att vi kan komma ifrån den klassiska dikotomin att kultur bara kostar pengar, medan det är företagen som drar in pengarna."
"It strengthens the civilian/military dichotomy, which is so specific to Europe and which has already cost us so dearly.", "I stället förstärker den uppdelningen mellan det civila och det militära som är så typisk för Europa och redan har stått oss dyrt."
"We should be clear that there is no dichotomy between stimulating the economy and improving regulation - we need both.", "Vi borde vara tydliga med att det inte finns någon motsättning mellan att stimulera ekonomin och skärpa regleringen - vi måste göra både och."
"I think that this will be of help as regards the dichotomy between the subsidiarity principle and the pursuit of education policy objectives.", "Jag tror att man på så sätt har överbryggat klyftan mellan subsidiaritetsprincipen och beaktandet av utbildningspolitiska mål."
"I believe that the core issue, Mr President, Mr McCreevy, is preventing the dichotomy between the internal market and social rights.", "Jag anser, herr talman, herr McCreevy, att huvudfrågan är att förebygga en klyfta mellan den inre marknaden och de sociala rättigheterna."
"I believe that the core issue, Mr President, Mr McCreevy, is preventing the dichotomy between the internal market and social rights.", "Jag anser, herr talman, herr McCreevy, att huvudfrågan är att förebygga en klyfta mellan den inre marknaden och de sociala rättigheterna."
"They have tried to create a dichotomy - which in my view does not exist at all - between social protection and the competitiveness of our economies.", "Man har försökt skapa en konflikt - något som jag absolut inte är överens om - mellan socialskyddet och ekonomiernas konkurrenskraft."
"There is no dichotomy (either business or culture) but rather a communion which is of course balanced and reasonable.", "Det rör sig inte om någon motsättning här (antingen näringsliv eller kultur) utan det rör sig snarare om en förening, som naturligtvis måste vara balanserad och förnuftig."
"(NL) Mr President, it is often heard from various quarters that the fight against terrorism is threatening our freedoms - but this is a false dichotomy.", "(NL) Herr talman! Man hör ofta från olika håll att kampen mot terrorism utgör ett hot mot våra friheter - men detta är en felaktig dikotomi."
"There are not only soldiers and fundamentalists there; there is also a civil society, not just a diabolical dichotomy.", "Det finns inte bara militärer här och traditionalister där, det finns också ett civilt samhälle, det finns något annat än denna diaboliska dikotomi, och Europa bör också engagera sig."
"It really is rather an uncomfortable situation that such a dichotomy has been created between the establishment of fundamental Community rules and Member State regulations.", "Det är verkligen en obekväm situation att en sådan dikotomi har skapats mellan upprättandet av grundläggande gemenskapsbestämmelser och medlemsstaternas regleringar."
"I shall continue by describing a little of how things look in my home district.", "Jag skall gå vidare med att beskriva litet grand hur det ser ut i mina hemtrakter."
"The Central District Court of Buda opened renewed proceedings on 31 March 2010.", "Centrala distriktsdomstolen i Buda inledde ett förnyat förfarande den 31 mars 2010."
"It is not "safety in the Leopold District of Brussels' but "crime in Brussels' .", "Det heter inte " Säkerhet i Bryssels Leopoldkvarter" utan " Kriminalitet i Bryssel" ."
"Only in Germany are refugees penalised if they leave their or rural district.", "Det är bara i Tyskland som flyktingar straffas om de flyttar från sin eller kommun."
"Where I live, in the district of Aachen, there is a town called Herzogenrath.", "Där jag kommer ifrån, i distriktet Aachen, finns det en stad som heter Herzogenrath."
"It is not " safety in the Leopold District of Brussels ' but " crime in Brussels '.", "Det heter inte " Säkerhet i Bryssels Leopoldkvarter " utan " Kriminalitet i Bryssel "."
"The Masuria region forms the largest and most-visited lake district in Poland.", "Regionen Masurien är det största och mest besökta sjödistriktet i Polen."
"District heating is mainly a social question in many new Member States.", "Fjärrvärme är huvudsakligen en social fråga i många av de nya medlemsstaterna."
"The district committee chairmen elected by the people have been replaced by palace envoys.", "Folkvalda ordförande för distriktskommittéer har ersatts med sändebud från palatset."
"The location is a remote area of the Turkana district... called Derati.", "Platsen ligger på ett avlägset område i en dal, nära den irakiska gränsen."
"In Northern Ireland we have district partnerships under the Peace and Reconciliation Forum.", "I Nordirland har vi distriktspartnerskap under Forum för fred och försoning."
"I felt that career opportunities were limited as a nurse and district nurse.", "– Jag kände att karriärmöjligheterna var begränsade som sjuksköterska och distriktsköterska."
"Under Objective 2, it has often happened that actions cease at district boundaries.", "Inom Mål 2 har vi ofta fått se hur åtgärderna begränsas till att omfatta ett enstaka kvarter."
"In Portugal, in my region of Oporto district, this tragedy was felt very deeply.", "I Portugal, i min region Porto, slog denna tragedi mycket hårt."
"In order to be eligible for these vouchers it is necessary to live in a Belgian district.", "För att kunna använda dessa checker måste man bo i en belgisk kommun."
"The police and the district attorney's office are treating this very seriously.", "Polisen och allmänna åklagare tar det här väldigt allvarligt."
"Agriculture is a key sector in the Viseu district of Portugal.", "Jordbruket är en verksamhet med avsevärd betydelse för distriktet Viseu i Portugal."
"The people affected live in my electoral district, and I have met them.", "De människor som berörs bor i min valkrets och jag har träffat dem."
"In that case, will the name of the individual farm be stated, or just the name of the district?", "Kommer då namnet på den enskilda gården att anges eller bara ortsnamnet?"
"Five licensing procedures for industrial sites in Krefeld district are currently under way.", "I nuläget pågår fem tillståndsförfaranden för industrianläggningar som avser Krefeldområdet."
"The average EU delay is 13 days, but in the UK it is 23 days after the due date.", "Den genomsnittliga förseningen i EU är 13 dagar, men i Förenade kungariket är det 23 dagar efter utsatt datum."
"The due date includes five extra days to compensate for shipping .", "Det återlämningsdatum du får inkluderar fem dagars extra lånetid. Det kompenserar för postgången."
"F (optional) is the due date for the periodic payments.", "F (valfritt) fastställer den periodiska betalningens förfallotid."
