//Sentences
"This policy is aimed at isolating Hamas and depriving it of its electoral victory.", "Politiken syftar till att isolera Hamas och beröva organisationen dess valseger."
"The short answer is short-term electoral calculations and doctrinaire economics.", "Det korta svaret är kortsiktiga valtekniska beräkningar och doktrinär ekonomi."
"The funding will pay for electoral equipment and the printing of ballot papers.", "Finansieringen kommer att betala för valutrustning och tryckning av röstsedlar."
"This is what happened a few weeks ago in my electoral region, South Westphalia.", "Detta är vad som hände för några veckor sedan i min valkrets södra Westfalen."
"Electoral lists comprising 50 % men and 50 % women could be worth emulating.", "Vallistor med 50 procent män och 50 procent kvinnor skulle kunna vara en modell."
"Fourthly, and finally, I believe we must work seriously on the electoral process.", "För det fjärde och sista anser jag att vi måste arbeta med valförfarandet på allvar."
"Such a system could only serve to further confuse the electoral procedure.", "Ett sådant system skulle bara vara ägnat att ytterligare förvirra valproceduren."
"The electoral process was marked by numerous failures to comply with democratic rules.", "Valförfarandena präglades av ett stort antal brott mot de demokratiska reglerna."
"I have in mind the reference to sending an electoral observation mission to Lebanon.", "Jag tänker på hänvisningen till att det skulle sändas valobservatörer till Libanon."
"In the electoral observation guidelines there is a specific section on women.", "I riktlinjerna för valobservatörsuppdragen finns det ett särskilt avsnitt om kvinnor."
"I have confidence in the positive effects of using electoral quotas to represent women.", "De positiva följderna av kvotering för att öka andelen kvinnor inger tillförsikt."
"This is the case with the Anastassopoulos report and uniform electoral law.", "Så är det också med Anastassopoulos betänkande och den enhetliga valbarheten."
"As regards electoral monitoring, the Commission is getting prepared for this.", "När det gäller valövervakningen håller kommissionen på att förbereda sig inför denna."
"I am actually from an electoral constituency where 99% of the electorate are Catholic.", "Jag kommer faktiskt från en valkrets där 99 procent av väljarna är katoliker."
"We all stand together in our condemnation of manipulation and electoral fraud.", "Vi stöder demokratin, inte en särskild kandidat eller ett särskilt parti."
"Of course, there was the government decision at the time to stop the electoral process.", "Det är förvisso så att den dåvarande regeringen beslutade att avbryta valprocessen."
"I hope the subject of the euro will be at the centre of the next electoral campaign.", "Jag hoppas att eurofrågan får en central roll i den kommande valkampanjen."
"Two aspects of the recent electoral process in Ukraine stand out.", ".– Två aspekter av det nyligen genomförda valet i Ukraina är särskilt tydliga."
"So, in this regard, I not do not want there to be any electoral opportunism.", "Därför vill jag inte att denna fråga ska präglas av någon valopportunism."
"We already have people in Harare who are being groomed to act as electoral observers.", "Vi har redan folk i Harare som tränas för att fungera som valobservatörer."
"Should we not be making efforts to improve social cohesion through in-depth cultural work?", "Bör vi inte anstränga oss för att förbättra den sociala sammanhållningen genom djupgående kulturellt arbete?"
"Rather, this procedure must be based on thorough economic analysis, through in-depth reviews investigating a broad range of economic factors.", "Förfarandet måste bygga på en grundlig ekonomisk analys genom ingående undersökningar där ett brett spektrum av ekonomiska faktorer granskas."
"Interpretation will also not be done automatically, but intelligently through in-depth reviews, which are demanding for the Commission but necessary.", "Tolkningen kommer inte heller att ske automatiskt, utan göras på ett intelligent sätt genom fördjupad granskning, vilket är krävande för kommissionen men nödvändigt."
"Additionally, the Council stressed the need to deal with the underlying causes of instability in the country through in-depth internal reforms to be implemented by the Uzbek authorities.", "Dessutom betonade rådet behovet av att de uzbekiska myndigheterna tar itu med de bakomliggande orsakerna till instabiliteten i landet genom att genomföra djupgående inre reformer."
