//Sentences
"The 'NO TAV' campaign has clearly shown that there is no justification for TAV.", "Kampanjen ”NO TAV” har tydligt visat att byggandet av TAV inte är försvarbart."
"I call on the EU to withdraw all funding for TAV and for the cancellation of TAV.", "Jag uppmanar EU att dra tillbaka allt ekonomiskt stöd till TAV och att ställa in projektet."
"Klachtencommissie DSI Dutch Securities Institute t.a.v.", "Klachtencommissie DSI Dutch Securities Institute t.a.v."
"The 'NO TAV' campaign's motto is 'Sarà dura'.", "Mottot i kampanjen ”NO TAV” är Sarà dura."
"Ministerie van BZK t.a.v.", "Ministerie van BZK t.a.v."
"Madam President, a major campaign of people power in Val di Susa in north-west Italy seeks to stop a high-speed train project known as TAV being built.", "(EN) Fru talman! En stor medborgarkampanj i Val di Susa i nordvästra Italien försöker stoppa byggandet av en järnväg för höghastighetståg, känd som TAV."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision There is a mandatory requirement that you should be vaccinated against TB.", "expand_more Det finns ett obligatoriskt krav att du ska vara vaccinerad mot TBC."
"We see increasing numbers living with multi-drug resistant TB as well as with AIDS.", "Vi ser att allt fler människor lever med multiresistent tuberkulos och med aids."
"As regards TB, the mathematics are similar but it is more difficult to eradicate.", "Vad gäller tuberkulos är matematiken liknande, men denna sjukdom är svårare att utrota."
"For TB and malaria, the economics of the cure are very different.", "När det gäller tuberkulos och malaria är botemedlen ekonomiskt sett mycket olika."
"This lady with bone TB, left alone in a tent, is going to die with her only daughter.", "Denna kvinna med XXXX är lämnad ensammen i ett tält, och kommer att dö med sin enda dotter."
"I would like to make one other point about HIV, AIDS, TB and malaria.", "Jag skulle vilja ta upp ännu en punkt om HIV, aids, tuberkulos och malaria."
"AIDS, malaria and TB still claim some four million lives a year.", "Aids, malaria och tuberkulos skördar fortfarande över fyra miljoner liv varje år."
"More resources are being earmarked for the work on reducing the spread of HIV, malaria and TB.", "Låt mig börja med att tacka parlamentsledamöterna för deras intressanta kommentarer."
"I very much welcome what the Commission has brought forward on HIV/ AIDS, malaria and TB.", "Vi vet att det uppstod fler nya infektioner med aids under 2004 än under något tidigare år."
"Mr President, Mr Caudron and Mrs McNally both mentioned the fight against AIDS, TB and malaria.", "Herr talman! Både Caudron och McNally nämnde kampen mot aids, tuberkulos och malaria."
"There is good reason to give more attention to TB and malaria.", "Det finns goda skäl att fästa mer uppmärksamhet vid tuberkulos och malaria."
"It is not just TB, AIDS and malaria, but all the other diseases.", "Det handlar inte bara om tuberkulos, aids och malaria, utan också om alla andra sjukdomar."
"This has led to a situation in Europe where TB is not the persistent threat is once was.", "Detta har lett till en situation i Europa där tuberkulos inte är det ständiga hot det en gång var."
". - Mr President, in this day and age, no one should be dying from TB.", "Herr talman! Ingen i dagens samhälle borde behöva dö av tuberkulos."
"Firstly, the global health fund against AIDS, TB and malaria.", "För det första, Globala hälsofonden mot aids, tuberkulos och malaria."
"The same applies to our contribution to the global health fund on Aids, malaria and TB.", "Samma sak gäller för våra bidrag till den globala fonden för bekämpning av aids, malaria och tuberkulos."
"A third of the world's population is infected and 2.5 million people die from TB each year.", "En tredjedel av världens befolkning är smittade och 2,5 miljoner människor dör i tuberkulos varje år."
"The London Borough of Brent now has a higher rate of TB than China and twice that of Brazil.", "Stadsdelen Brent i London har nu en högre tuberkulosfrekvens än Kina och två gånger den för Brasilien."
"The devastation caused by HIV/AIDS is well-known but TB is increasing and malaria remains endemic.", "Den förhärjning som orsakats av hiv/aids är väl känd, men tuberkulos ökar och malaria är ännu endemisk."
"The devastation caused by HIV/ AIDS is well-known but TB is increasing and malaria remains endemic.", "Den förhärjning som orsakats av hiv / aids är väl känd, men tuberkulos ökar och malaria är ännu endemisk."
"TB has increased by 200 % to 7 300 reported cases.", "Tuberkulos har ökat med 200 procent till 7 300 rapporterade fall."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision Det finns ett obligatoriskt krav att du ska vara vaccinerad mot TBC.", "expand_more There is a mandatory requirement that you should be vaccinated against TB."
"The TBC and Nabucco projects are affecting the political stability of our neighbours.", "Projekten med olje- och gasledningen Baku-Tblisi-Ceyhan (BTC) och Nabucco påverkar våra grannars politiska stabilitet."
"Commissioner, USD 50 billion for HIV, AIDS, TBC and malaria is simply not enough in order to get the G8 to deliver on a promise in the area of public health on time.", "Herr kommissionsledamot! 50 miljarder US-dollar för hiv, aids, tbc och malaria är helt enkelt inte tillräckligt för att få G8 att hålla sitt löfte på folkhälsoområdet i tid."
"For the substance TBT, this means that it can no longer be used as an anti-fouling substance.", "För medlet TBT betyder det att det inte längre får användas som medel för algbekämpning."
"I would like to mention two substances from the Commission' s list: mercury and tributyl, abbreviated to TBT.", "Jag vill ta upp två av de ämnen som finns med på kommissionens lista. Kvicksilver och tributyl, förkortat TBT."
"On the bottom of the Wadden Sea, the values of mercury and TBT are higher than the OSPAR value, to wit, ten and one thousand times, respectively.", "På botten av Waddenzee ligger värdena för kvicksilver och TBT tio respektive tusen gånger högre än Ospar-värdet."
"Despite advances such as the SPS (sanitary and phytosanitary measures) and TBT (technical barriers to trade) agreements, there remains a great deal to do.", "Trots sådana framsteg som SPS- och TBT-avtalen (avtalet om sanitära och fytosanitära åtgärder och avtalet om tekniska handelshinder), återstår en hel del att göra."
"The matter arose when in Scotland they suspected there was a link between TBT and MS.", "Frågan kom upp när man i Skottland misstänkte att det fanns ett samband mellan tributyltin och MS. I alla händelser vet man att detta ämne påverkar det centrala nervsystemet."
"In addition, there are two specific WTO arrangements dealing with these issues: the sanitary and phyto-sanitary (SPS) measures and technical barriers to trade (TBT) agreements.", "Dessutom finns det två speciella WTO-överenskommelser som handlar om dessa frågor: avtalen om sanitära och fytosanitära åtgärder (SPS) och tekniska handelshinder (TBT)."
"I used to be William Decker, lTC employee number 273.", "Jag var William Decker, ITC-anställd nummer 273."
"It says lTC on it, so we called them.", "Det står ITC på den, så vi ringde dom."
"If this gets out, lTC is ruined.", "Kommer det här ut, blir ITC ruinerat."
"Steven Kramer, lTC.", "Steven Kramer, ITC."
"Frank Gordon, lTC.", "Frank Gordon, ITC."
"Parliament has a very important role in the TDI reflection process.", "Parlamentet har en mycket viktig roll i diskussionerna om handelsskyddsåtgärderna."
"B5-0103/ 2001, by Mr Dupuis and others, on behalf of the TDI Group, on the earthquake in India;", "B5-0112 / 2001 av Van den Berg m.fl. för PSE-gruppen om jordbävningen i Indien."
"B5-0103/2001, by Mr Dupuis and others, on behalf of the TDI Group, on the earthquake in India;", "B5-0112/2001 av Van den Berg m.fl. för PSE-gruppen om jordbävningen i Indien."
"A credible TDI system has to be based on this sort of analysis.", "Ett trovärdigt handelsskyddsåtgärdssystem måste grundas på den här sortens analys."
"But EU legislation on TDI already goes beyond WTO requirements in many ways.", "Men EU:s lagstiftning om handelsskyddsåtgärder går redan längre än vad WTO kräver på många sätt."
"B5-0426/ 2001 by Olivier Dupuis and others, on behalf of the TDI Group, on the situation in Nepal;", "B5-0426 / 2001 av Olivier Dupuis med flera för TDI-gruppen om läget i Nepal;"
"B5-0424/2001 by Olivier Dupuis and others, on behalf of the TDI Group, on the situation in Afghanistan;", "B5-0424/2001 av Olivier Dupuis med flera för TDI-gruppen om läget i Afghanistan;"
"B5-0426/2001 by Olivier Dupuis and others, on behalf of the TDI Group, on the situation in Nepal;", "B5-0426/2001 av Olivier Dupuis med flera för TDI-gruppen om läget i Nepal;"
"(B5-0553/2001) by Mr Martinez and others, on behalf of the TDI Group, on foot-and-mouth disease;", "(B5-0553/2001) Martinez med flera för TDI-gruppen om mul- och klövjsuka."
"B5-0424/ 2001 by Olivier Dupuis and others, on behalf of the TDI Group, on the situation in Afghanistan;", "B5-0424 / 2001 av Olivier Dupuis med flera för TDI-gruppen om läget i Afghanistan;"
"TDI, in my view, is the flip side of an open economy.", "Som jag ser det, är handelsskyddsåtgärder den andra sidan av en öppen ekonomi."
"You tried to push the TDI reform forward by taking up this reform in the Global Europe Strategy.", "Ni försökte ta denna reform ett steg vidare genom att ta upp den i strategin för ett globalt Europa."
"Firstly, though, Mr Cohn-Bendit wishes to speak in support of the request by the GUE, the Greens and the TDI.", "Först vill dock Cohn-Bendit tala till stöd för förslaget från grupperna GUE, De gröna och TDI."
"(Lights in the chamber were malfunctioning) Dell'Alba (TDI).", "(Belysningen fungerar dåligt i kammaren) Dell'Alba (TDI)."
"B5-0899/ 2000 by Depuis and others, on behalf of the TDI Group;", "B5-0899 / 2000 från Depuis m.fl., för TDI-gruppen;"
"B5-0268/ 2001 by Mr Dupuis and others, on behalf of the TDI Group;", "B5-0268 / 2001 av Dupuis m.fl. för TDI-gruppen,"
"B5-0302/ 2001 by Mr Dupuis and others, on behalf of the TDI Group,", "B5-0302 / 2001 av Dupuis m.fl. för TDI-gruppen,"
"B5-0623/ 2001 by Mr Dupuis and others, on behalf of the TDI Group;", "B5-0623 / 2001 av Dupuis m.fl. för TDI-gruppen;"
"B5-0268/2001 by Mr Dupuis and others, on behalf of the TDI Group;", "B5-0268/2001 av Dupuis m.fl. för TDI-gruppen,"
"B5-0302/2001 by Mr Dupuis and others, on behalf of the TDI Group,", "B5-0302/2001 av Dupuis m.fl. för TDI-gruppen,"
"The relaunch of the TEC is an attempt to develop this strategic relationship.", "Nylanseringen av TEC är ett försök att utveckla denna strategiska förbindelse."
"We need to draw up a work programme for the TEC that can be established next year.", "Vi behöver utarbeta ett arbetsprogram för TEC som kan läggas fast nästa år."
"Preparation of the TEC meeting and the ΕU/USA Summit (2 and 3 November 2009) and", "1. förberedelser för CET-mötet och toppmötet mellan EU och USA (2-3 november 2009) och"
"This was agreed at our last TEC meeting, but a follow-up will be needed.", "Detta enades man om vid vårt senaste TEC-möte, men det krävs en uppföljning."
"I would be very grateful if you could devote your attention to the TEC.", "Jag skulle vara mycket tacksam om ni kunde lägga stor tyngdpunkt på TEC."
"Well, we found a print of a size 14 Hi-Tec Magnum boot at the crime scene.", "Vi hittade ett skoavtryck, storlek 40 från ett par grova kängor nere på brottsplatsen. och?"
"We want to eliminate these, which is the ultimate objective of the TEC.", "Vi vill undanröja dessa hinder, vilket är det slutliga målet för TEC."
"Members of the European Parliament are willing and ready to fully contribute to TEC processes.", "Europaparlamentarikerna är villiga och redo att till fullo bidra till arbetet med TEC."
"Let me also speak briefly on the Transatlantic Economic Council (TEC).", "Låt mig också i korthet ta upp det transatlantiska ekonomiska rådet."
"So far, the TEC has done very little, but we can still hope.", "Hittills har TEC inte gjort särskilt mycket, men vi kan fortfarande hoppas."
"This was clearly stated in the TEC framework agreement of 30 April 2007.", "Detta angavs tydligt i ramavtalet om TEC av den 30 april 2007."
"This idea of a transatlantic market was followed by the Transatlantic Economic Council (TEC).", "Denna tanke om en transatlantisk marknad följdes av det transatlantiska ekonomiska rådet (TEC)."
