//Sentences
"This resolution is designed to win a broad majority at the UN General Assembly.", "Den här resolutionen är ämnad att få en bred majoritet i FN: s generalförsamling."
"EU position for the next special session of the UN General Assembly on Children", "Unionens ståndpunkt vid FN: s generalförsamlings särskilda möte om barn"
"We will also be raising this issue during the forthcoming UN General Assembly session.", "Vi kommer även att ta upp denna fråga under FN:s generalförsamlings kommande session."
"EU position for the next special session of the UN General Assembly on Children", "Unionens ståndpunkt vid FN:s generalförsamlings särskilda möte om barn"
"We will also be raising this issue during the forthcoming UN General Assembly session.", "Vi kommer även att ta upp denna fråga under FN: s generalförsamlings kommande session."
"I also think that, at the moment, things look very promising indeed in the UN General Assembly.", "Jag tycker också att det för ögonblicket ser väldigt bra ut i FN-församlingen."
"The Council did not take any decision in time for the previous UN General Assembly session.", "Rådet fattade inget beslut i tid för den föregående sessionen i FN:s generalförsamling."
"So far, cooperation was not exemplary in the UN General Assembly.", "Hittills har samordningen i FN:s generalförsamling inte varit exemplarisk."
"In 1993 the UN General Assembly adopted a declaration on the abolition of violence against women.", "FN: s generalförsamling antog 1993 en deklaration om avskaffandet av våld mot kvinnor."
"The EU priorities for the 64th Session of the UN General Assembly (", "EU:s prioriteringar för den 64:e sessionen i FN:s generalförsamling ("
"It is one of our priorities for the 55th session of the UN General Assembly.", "Unionen har fört upp den bland sina prioriteringar vid det 55:e sammanträdet i FN:s generalförsamling."
"It is one of our priorities for the 55th session of the UN General Assembly.", "Unionen har fört upp den bland sina prioriteringar vid det 55: e sammanträdet i FN: s generalförsamling."
"How can we ensure that the planned UN General Assembly initiative will be successful?", "Hur kan vi se till att det planerade initiativet från FN:s generalförsamling kommer att bli framgångsrikt?"
"Preparation for UN General Assembly Special Session of June 1997", "Förberedelse för FN: s generalförsamlings specialmöte i juni 1997"
"Next June, during the UN General Assembly special session on drugs, we must be united.", "Vid det extra mötet i Förenta staternas generalförsamling om narkotika nästa år måste vi tala med en röst."
"A week ago, the UN General Assembly authorised the EU to speak with one voice at its meetings.", "För en vecka sedan gav FN:s generalförsamling EU tillåtelse att agera samfällt vid sina sammanträden."
