//Sentences
"2009 budget guidelines - (sections I, II, IV, V, VI, VII, VIII et IX) (debate)", "2009 års budgetriktlinjer - (avsnitt I, II, IV, V, VII, VIII och IX) (debatt)"
"Draft general budget for 2007 (sections I, II, IV, V, VI, VII, VIII) (vote)", "Förslag till allmän budget 2007 (avsnitt I, II, IV, V, VI, VII, VIII) (omröstning)"
"2008 draft general budget: Sections I, II, IV, V, VI, VII, VIII and IX (vote)", "Förslag till allmän budget 2008 (avsnitt I, II, IV, V, VI, VII, VIII, IX) (omröstning)"
"2006 discharge: EU general budget, section VII - Committee of the Regions (", "Ansvarsfrihet 2006: EU:s allmänna budget, avsnitt VII - Regionkommittén ("
"Draft general budget 2009 (Sections I, II, IV, V, VI, VII, VIII and IX) (", "Förslag till allmän budget 2009 (avsnitt I, II, IV, V, VI, VII, VIII, IX) ("
"Draft general budget 2010 (Sections I, II, IV, V, VI, VII, VIII, IX) (", "Förslag till EU:s allmänna budget 2010 (avsnitt I, II, IV, V, VI, VII, VIII, IX) ("
"Guidelines for the 2010 budget procedure - Sections I, II, IV, V, VI, VII, VIII and IX (", "Riktlinjerna för budgetförfarandet för 2010 - avsnitt I, II, IV, V, VI, VII, VIII och IX ("
"The conference is centered on political dialogue and economic cooperation (San José VII).", "Konferensen handlar framförallt om politisk dialog och ekonomiskt samarbete (San José VII)."
"We therefore still regard adaptation of Heading VII as a precondition.", "Därför ställer vi fortfarande villkoret att även rubrik 7 anpassas."
"Our cooperation with Commissioner Kinnock and Directorate-General VII was also very fruitful.", "Detta vill jag tacka er för. Samarbetet var mycket gott även med kommissionär Kinnock och GD VII."
"Amendment 39, Article 18(3) and Amendment 40, Annex VII.", "Ändringsförslag 39, artikel 18.3, och ändringsförslag 40, bilaga VII."
"Discharge 2005: Section VII, Committee of the Regions (vote)", "Ansvarsfrihet 2005: Avsnitt VII, Regionkommittén (omröstning)"
"2008 budget guidelines (Sections I, II, IV, V, VI, VII, VIII(A) and VIII(B)) (vote)", "Budgetriktlinjer för 2008 (omröstning)"
"Chapter VII of the UN Charter authorises the use of force in the event of the arms embargo not being respected.", "Enligt kapitel VII i FN-stadgan är det tillåtet att bruka våld om vapenembargot inte respekteras."
"Mr President, please permit me another reference to Heading VII.", "Herr talman! Låt mig också ta upp rubrik 7."
"2008 budget guidelines (Sections I, II, IV, V, VI, VII, VIII(A) and VIII(B))", "Budgetriktlinjer för 2008"
"You will shortly receive chapter VII of this report.", "Ni skall genast få kapitel VII av betänkandet."
"I therefore recommend that items VI and VII of Draft Supplementary and Amending Budget no. 3 be adopted.", "Därför yrkar jag för att ni röstar ja till de enskilda avsnitten VI och VII i tilläggs- och ändringsbudgeten nummer 3."
"I would quote Article 2 and chapter VII on the transfer of the right to invoke the Charter to regional organisations.", "Jag vill citera artikel 2 och kapitel VII om att överföra rätten att åberopa stadgan till regionala organisationer."
"Draft general budget for 2007 (Section III) - Draft general budget for 2007 (Sections I, II, IV, V, VI, VII and VIII)", "Förslag till allmän budget 2007 (avsnitt III) - Förslag till allmän budget 2007 (avsnitt I, II, IV, V, VI, VII, VIII)"
"2009 budget guidelines - (sections I, II, IV, V, VI, VII, VIII et IX) (debate)", "2009 års budgetriktlinjer - (avsnitt I, II, IV, V, VII, VIII och IX) (debatt)"
"The petitions process (Amendment of Title VIII of the Rules of Procedure) (", "Förfarandet för framställningar (ändring av avdelning VIII i arbetsordningen) ("
"Draft general budget for 2007 (sections I, II, IV, V, VI, VII, VIII) (vote)", "Förslag till allmän budget 2007 (avsnitt I, II, IV, V, VI, VII, VIII) (omröstning)"
"The petitions process (Amendment of Title VIII of the Rules of Procedure) (", "Översynen av bestämmelserna i arbetsordningen om förfarandet för framställningar ("
"Discharge 2005: Section VIII B, European Data Protection Supervisor (vote)", "Ansvarsfrihet 2005: Avsnitt VIII B, Europeiska datatillsynsmannen (omröstning)"
