//Sentences
"H0025N A History, From peasant to service society: Swedish social and economic history Sp3 VT", "H0025N Historia A, Från bonde- till tjänstesamhälle: Svensk social och ekonomisk historia Lp3 VT"
"H0014N West&amp;#39;s modern economic history Sp4 VT", "H0014N Västvärldens moderna ekonomiska historia Lp4 VT"
"H0007N Swedish and Nordic history Sp4 VT", "H0007N Svensk och nordisk historia Lp4 VT"
"VFU schedule VT 12", "VFU-schema VT 13"
"The VVD Group in the European Parliament: Hans van Baalen, Jan Mulder and Toine Manders", "VVD-gruppen i Europaparlamentet: Hans van Baalen, Jan Mulder och Toine Manders"
"The Dutch People's Party for Freedom and Democracy (VVD) has major objections to this.", "Det nederländska Folkpartiet för frihet och demokrati (VVD) invänder kraftigt mot detta."
"The VVD believes, in fact, that Turkey must first adhere to a number of firm commitments.", "VVD anser att Turkiet först måste fullgöra ett antal bestämda åtaganden."
"The VVD considers that the audit systems in these areas must be improved.", "VVD anser att kontrollsystemen inom dessa områden måste förbättras."
"The VVD is against including the cargo handling services in this directive.", "VVD är emot att ta med lasthanteringstjänster i detta direktiv."
"For the VVD, the best social policy at European level is the creation of jobs.", "Det nederländska folkpartiet anser att den bästa socialpolitiken på EU-nivå är att skapa arbetstillfällen."
"The VVD takes the view that social policy is something that falls within the remit of Member States.", "VVD anser att socialpolitiken hör till medlemsstaternas befogenheter."
"The People's Party for Freedom and Democracy (VVD) opposes bans, but supports improvements.", "skriftlig. - (NL) Folkpartiet för frihet och demokrati (VVD) är emot förbud men stöder förbättringar."
"The VVD backs the rapporteur where he wants to limit the directive to the technical-nautical services.", "VVD stöder föredraganden när han vill begränsa direktivet till de teknisk-nautiska tjänsterna."
"The VVD does not want Europe's powers to be extended in this field, while the other parties do.", "VVD vill här inte ha någon utvidgning av de europeiska befogenheterna medan övriga parter visst gör det."
"In addition, the VVD cannot see the point of promoting a model for European education and training.", "Arbetsmarknadsparterna verkar redan på EU-nivå och kan lösa dessa frågor mycket mer effektivt på egen hand."
"In addition, the VVD cannot see the point of promoting a model for European education and training.", "Partiet kan inte heller förstå syftet med att främja en europeisk modell för utbildning och yrkesutbildning."
"As far as the VVD is concerned, EU rules to regulate exemption from work for breastfeeding purposes are superfluous.", "För VVD är EU-regler för att reglera befrielse från arbetet för att kunna amma överflödiga."
"This is also the view of all the Members belonging to the VVD, the Dutch People's Party for Freedom and Democracy.", "Detta anser även alla ledamöter från det nederländska folkpartiet för frihet och demokrati, VVD."
"The VVD delegation therefore does not regard this increase in payment appropriations as necessary.", "Folkpartiet för frihet och demokrati anser således inte att denna ökning av betalningsbemyndigandena är nödvändig."
"Thus the VVD opposes a ban on patio heaters, but supports innovative solutions to combat inefficiency.", "VVD motsätter sig alltså ett förbud mot terrassvärmare men stöder innovativa lösningar för att motverka ineffektivitet."
"However, the members of the VVD distance themselves from the 0.7% target for development cooperation laid down in this report.", "VVD:s ledamöter tar dock avstånd från det mål för utvecklingssamarbetet på 0,7 procent som anges i betänkandet."
"The VVD believes that third-country products should meet the same requirements, certainly where food safety is at stake.", "Vi inom VVD anser att produkter från tredjeland ska uppfylla samma krav, särskilt när det handlar om livsmedelssäkerhet."
"If Turkey has not complied with these by the end of this year, the VVD is of the opinion that the accession negotiations must be put on hold.", "Om Turkiet inte uppfyller dessa i slutet av innevarande år anser VVD att anslutningsförhandlingarna ska avbrytas."
"Despite this, the VVD has voted in favour, because the compromise, in many ways, represents an improvement on the current situation.", "Trots detta har VVD röstat för kompromissen eftersom den på många sätt innebär en förbättring av den nuvarande situationen."
"Units 1-4 are of the more dangerous VVER 440-230 type, and should be closed forthwith.", "Enheterna 1-4 är av den farligare VVER 440-230-typen, och bör stängas omedelbart."
