//Sentences
"What is worse is that there is no possibility of pursuing secondary education in Valencian.", "Det värsta är att det inte finns möjlighet att bedriva gymnasiestudier på valencianska."
"(The speaker expressed himself in a mixture of Catalan and Valencian)", "(Talaren talade en blandning av katalanska och valensiska.)"
"The Valencian Community is therefore seventeen points above the European average in terms of area protected.", "Valencia ligger därför 17 poäng över EU:s genomsnitt när det gäller skyddade områden."
"The Valencian Community is therefore seventeen points above the European average in terms of area protected.", "Valencia ligger därför 17 poäng över EU: s genomsnitt när det gäller skyddade områden."
"I do actually understand Valencian Catalan, not every word, but a little, although I speak it very badly.", "Jag själv förstår valencisk katalanska, inte allt, men en del, emellertid pratar jag det dåligt."
"It is my assumption that real estate speculators take advantage of the feeble nature of Valencian autonomy.", "Jag antar att de som spekulerar i fastigheter drar nytta av att Valencias autonomi är så svag."
"The market for the Valencian textile sector is Europe and, within Europe, France, Italy and Germany.", "Marknaden för Valencias textilsektor är Europa och inom Europa är det Frankrike, Italien och Tyskland."
"Mr President, please believe that as a Spaniard and as a Valencian, I was extremely apprehensive about this report.", "– Herr talman! Som spanjor och Valenciabo var jag mycket orolig för detta betänkande."
"I also valued the attention paid to us by the Valencian authorities and their willingness to cooperate.", "Jag värdesatte också den uppmärksamhet som myndigheterna i Valencia ägnade åt oss, samt deras samarbetsvilja."
"Yes, the Valencian, Andalusian and Madrid building scandal is a European scandal that demands a European response.", "Ja, byggskandalen i Valencia, Andalusien och Madrid är en europeisk skandal som kräver en europeisk reaktion."
"But, in each case, the constituent has subsequently had to suffer illegal land-grabbing demands by the Valencian authorities.", "Men i alla fallen har väljaren efteråt utsatts för illegala markanspråk av myndigheterna i Valencia."
"Well, we have adopted the Fourtou report, which brought forward a series of recommendations to the Valencian Government.", "Vi har antagit Fourtoubetänkandet, i vilket en rad rekommendationer till den valencianska regeringen lades fram."
"Mr President, I am not intending with my speech to express any sort of disrespect to the autonomy of the Valencian Country.", "– Herr talman! Jag vill inte med mitt anförande uttrycka något slags ringaktning för regionen Valencias autonomi."
"Mr President, please believe that as a Spaniard and as a Valencian, I was extremely apprehensive about this report.", "Jag vet att han inte har talat än, men han har haft vänligheten att tala om det för mig i förväg – allt som krävs är lite intelligens."
"Mr President, last month, the Catalan Public Television channel (TV3) was shut down in Valencia by the regional Valencian government.", "(EN) Herr talman! Förra månaden stängdes den katalanska statliga tv-kanalen TV3 i Valencia ned av den regionala regeringen."
"In 2008‑09, only 138 223 out of 445 335 nursery and primary pupils were able to study in Valencian in public schools.", "Under läsåret 2008–2009 kunde endast 138 223 av de 445 335 eleverna i förskolan och grundskolan studera på valencianska i offentliga skolor."
"It so happens that today is the day I take up office as a Member of this House representing the Valencian Nationalist Bloc.", "Det är nämligen så att i dag är den dag då jag tillträder min tjänst som ledamot av detta parlament som företrädare för Bloc Nacionalista Valencià."
"In a spirit of openness, the Valencian Government has also invited the European Parliament to put forward any suggestions it considers necessary.", "I en anda av öppenhet har också regeringen i Valencia uppmanat Europaparlamentet att lägga fram förslag som det anser nödvändiga."
"The Valencian Government brought forward minor changes in the LUV, which do not address the key problems of land grab.", "Den valencianska regeringen har åstadkommit mindre förändringar i Ley Urbanistica Valencia (LUV), som inte löser de centrala problemen med rofferiet av land."
"It appears as if the Valencian authorities have designed this Stalinist law in order to achieve their plans cheaply.", "Det verkar som om myndigheterna i Valencia har utarbetat denna stalinistlag bara för att de skall kunna fullfölja sina planer utan att det kostar dem så mycket."
