//Sentences
"However, it also seems to be about widening the scope for genetic manipulation.", "Det visar sig dock också handla om en förstärkning av möjligheterna till genetisk modifiering."
"Our amendment on widening the scope in this way has been adopted by the Committee on Regional Policy, Transport and Tourism.", "Vi stöder upprättandet av ett europeiskt säkerhetsorgan som förenar så många länder som möjligt."
"Our amendment on widening the scope in this way has been adopted by the Committee on Regional Policy, Transport and Tourism.", "Vårt ändringsförslag om den här utvidgningen antogs av utskottet för regionalpolitik, transport och turism."
"The commission cannot accept the other amendments, which for the most part aim at widening the scope of the directive.", "Kommissionen kan inte godta de andra ändringsförslagen, som till största delen syftar till att bredda direktivets räckvidd."
"Nor can it accept widening the scope of applicable rates as suggested by Amendments Nos 3 and 10.", "Inte heller kan kommissionen godkänna att man utvidgar räckvidden för de tillämpliga skattesatserna, vilket föreslås i ändringsförslagen 3 och 10."
"The possibilities of widening the scope of the Rome Convention on the law applicable to the commercial field should also be analysed.", "Man måste också undersöka möjligheterna att utvidga den delen av Romkonventionen om tillämplig lag på kontraktsförpliktelser."
"We are aware that some amendments, especially those that propose widening the scope of the regulation, will be subject to Council discussion.", "Vi är medvetna om att vissa ändringsförslag, framför allt de som handlar om att utvidga förordningens tillämpningsområde, kommer att diskuteras av rådet."
"Firstly, the Council regulation aiming at widening the scope of existing provisions and, secondly, additional credits for a specific action.", "För det första, rådets förordning som har som mål att vidga de befintliga bestämmelsernas räckvidd och, för det andra, ytterligare medel till en särskild åtgärd."
"What, then, motivates the consortium of affluent countries constituted by the EU is, first of all, widening the scope for profit offered to their industrial and financial trusts.", "Drivkraften för EU-klubben av rika länder är i första hand att utvidga vinstmöjligheterna för dessa länders industri- och finanskoncerner."
"Concerning Amendment 12, I can accept the widening of scope to include a wider definition of fishing effort for plaice and sole, though a more precise legal wording may be necessary.", "När det gäller ändringsförslag 12 kan jag acceptera en utökning av definitionen av fiskeansträngningar för rödspätta och tunga, även om en mer exakt rättslig formulering kan vara nödvändig."
"What we nevertheless ought to remember is your motto: 'Europe without borders'.", "Vad vi inte desto mindre bör minnas är ert motto: ”Europa utan gränser.”"
"I learned how to effectively communicate across borders without being detected.", "Jag lärde mig att effektivt kommunicera över gränser utan att upptäckas."
"An area without internal borders must also be a market without privileges.", "Ett område utan inre gränser måste också vara en marknad utan privilegier."
"No one has constantly defended a Europe without borders more than the gypsies.", "Ingen har mer än zigenarna ständigt försvarat ett gränslöst Europa."
"Regulating European parties means nowadays creating a civic space without borders.", "En reglering av europeiska partier förutsätter nu att ett offentligt rum utan gränser skapas."
"They pass borders without any control and the fires themselves have no borders.", "Bränder sprids över gränserna utan någon som helst kontrollochbränderna själva har inga gränser."
"It will also very much correspond to the philosophy of a Europe without internal borders.", "Förslaget kommer också i hög grad att motsvara filosofin om ett Europa utan inre gränser."
"The Convention is working on the idea of a politically united Europe without internal borders.", "Konventet arbetar med idén med ett politiskt enat Europa utan inre gränser."
"The last 'Reporters without Borders' report reveals hundreds of attacks on freedom of the press.", "För närvarande har emellertid landet drabbats av en militant islamsk fundamentalism."
"Only a Europe without internal borders can be a truly united community.", "Endast ett EU utan inre gränser kan vara en verkligt enad gemenskap."
"On the other hand, a Europe without barriers cannot be a Europe without rules and borders.", "Men ett EU utan hinder får inte vara ett EU utan regler och gränser."
"In 2004, the United Kingdom, Ireland and Sweden opened up their borders without restriction.", "Under 2004 öppnade Förenade kungariket, Irland och Sverige sina gränser utan begränsningar."
"The Americans, however, have just shown us that, without borders, there can be no protection.", "Amerikanerna har emellertid just visat oss att det inte kan finnas något skydd utan gränser."
"Violence takes place in a world without borders and is not something from distant, barbaric times.", "Våldet finns i denna värld utan gränser och inte i en barbarisk tid eller avlägsen tid."
"It also means that we are defending the security in law of the individual in a Europe without borders.", "Det innebär också att vi värnar den enskildes rättssäkerhet i ett gränslöst Europa."
"Those are only the obvious consequences of the Schengen Agreement and of an area without borders!", "Detta är bara en uppenbar följd av Schengenavtalet och avskaffandet av de inre gränserna!"
"In an area without internal borders, we also need to have a joint approach to illegal immigration.", "I ett område utan inre gränser måste vi ha en gemensam strategi gentemot olaglig invandring."
"Closing Sangatte without closing borders is obviously inconsistent, absurd and ineffective.", "Att stänga Sangatte utan att stänga gränserna är naturligtvis ologiskt, förnuftsvidrigt och ineffektivt."
"I am proud to be associated with the Reporters Without Borders.", "Jag är stolt över att förknippas med Reportrar utan gränser."
"The country is fifth to last in the world press freedom ranking drawn up by Reporters without Borders.", "När man tittar på förslaget så ser man att mitt hemland Malta och Libyen figurerar i resolutionen."
"A lot of work needs to be done in order to support and justify this initiative.", "En hel del arbete måste göras för att kunna stödja och berättiga detta initiativ."
"Work needs to be done at the start of the product chain where this happens.", "Åtgärderna måste vidtas i början av produktionskedjan där problemen inträffar."
"There is no doubt that it is within the ICAO that this work needs to be done.", "Det råder inga tvivel om att det är inom ICAO vi måste bedriva detta arbete."
"Further work needs to be done on countering the illegal export of arms.", "Ytterligare ansträngningar måste göras för att motverka den illegala vapenhandeln."
