//Sentences
"WK: Yeah, I want to build another one -- to pump water and irrigation for crops.", "WK: Ja, jag vill bygga ett till - för att pumpa vatten och bevattna - bevattning för odlingar."
"WK: I made four blades, just because I want to increase power. ~~~ CA: OK.", "WK: Jag gjorde fyra blad, bara för jag ville öka kraften CA: OK."
"WK: Um CA: What do you -- I mean -- do you want to build another one?", "WK: Öh - CA: Vad tänker du - jag menar - vill du bygga ett till?"
"WK: I think it will produce more than 20 the watts.", "CA: Hur stor? ~~~ WK: Jag tror det kommer att ge mer än 20 watt."
"WK: I use a bicycle frame, and a pulley, and plastic pipe, what then pulls CA: Do we have a picture of that?", "WK: Jag använde en cykelram, en remskiva, ett plaströr, som sen drar -- CA: Har vi en bild av det?"
"WK: Yeah, if they can help me with materials, yeah.", "WK: Ja, om de kan hjälpa mig - med material. ~~~ Ja."
"WK: When the wind blows, it rotates and generates.", "WK: När vinden blåser, roterar det och genererar."
"WK: In fact, a design of the windmill that was in the book, it has got four -- ah -- three blades, and mine has got four blades.", "WK: Egentligen, designen av kraftverket i boken, det har fyra - äh - tre blad, och mitt har fyra blad."
"WK: This is my parents, holding the radio.", "WK: Det är mina föräldrar, med radion."
"WK: Four bulbs and two radios.", "WK: Fyra glödlampor och två radioapparater."
"WK: I wanted to make a windmill.", "WK: Jag ville bygga ett vindkraftverk."
"WK: This is my home.", "WK: Detta är mitt hem."
"WK: Thank you.", "WK: Tack."
"WK: Ah, no.", "WK: Äh, nä."
"WK: After I dropped out of school, I went to library, and I read a book that would -- "Using Energy," and I get information about doing the mill.", "WK: När jag lämnat skolan så gick jag till biblioteket. och läste en bok som skulle -- "Använda energi," och jag fick information om att göra vindkraftverket."
"WK: Yeah.", "WK: Ja."
"When and whenever WMD have been used, they have always had the identity of imperialism.", "Närhelst massförstörelsevapen har använts har de burit imperialismens märke."
"Specifically, the report is a response to the EU strategy on WMD which I back.", "Förenta staterna använde napalmbomber första gången i Grammo mot den grekiska demokratiska armén och i Vietnam."
"Among criminal and terrorist circles, there is a growing interest in WMD and their constituents.", "Intresset för massförstörelsevapen och deras beståndsdelar växer bland kriminella och terrorister."
"Specifically, the report is a response to the EU strategy on WMD which I back.", "Betänkandet är ett uttryckligt svar på EU:s strategi för icke-spridning av massförstörelsevapen, som jag stöder."
"Among criminal and terrorist circles, there is a growing interest in WMD and their constituents.", "De är ofta kritiska till att låta frågan om massförstörelsevapen vara föremål för internationell kontroll."
"In earlier and in modern times, WMD have always been used to subjugate peoples to imperialist rule.", "Massförstörelsevapen har både förr och nu använts för att kuva människor under ett imperialistiskt styre."
"On the subject of WMD, we attach enormous importance to combating proliferation and to strengthening the security of component materials.", "Vi bör skärpa offensiven mot detta hycklarband i parlamentet och i vår PR-verksamhet."
"What role can or will the WMD clause in agreements with third countries play in this respect?", "Kan rådet, i detta sammanhang, redogöra för vilken roll klausulen om massförstörelsevapen spelar eller kommer att spela i avtal med tredjeländer?"
"What are the Commission's priorities for further action on WMD non-proliferation and disarmament during the Spanish Presidency?", "Vilka ytterligare åtgärder för icke-spridning och nedrustning prioriterar kommissionen under det spanska ordförandeskapet?"
"The WMD strategy underlines the EU’s particular commitment to the Treaty on the Non-proliferation of Nuclear Weapons – NPT.", "Strategin mot massförstörelsevapen understryker EU:s särskilda engagemang för fördraget om förhindrande av spridning av kärnvapen (NPT)."
