//Sentences
"A permanent war crimes tribunal could be a step on way to realizing our dreams.", "En permanent krigsförbrytardomstol kan bli ett steg på vägen mot våra drömmars mål."
"The Russell War Crimes Tribunal was only what it was in its day, and we should follow its example.", "Russelltribunalen var bara vad den var på sin tid och vi bör följa dess exempel."
"My third point concerns the cooperation with the International War Crimes Tribunal in the Hague.", "Min tredje punkt gäller samarbetet med Internationella krigsförbrytartribunalen i Haag."
"Mr Milosevic should be appearing before the war crimes tribunal and we should be awarding NATO the Sakharov prize.", "Milosevic borde ställas inför krigsförbrytartribunalen, och Nato borde vi ge Sacharovpriset!"
"And we met in the Hague, in the Peace Palace, in the same room where the Yugoslav war crimes tribunal was taking place.", "Och vi möttes i Haag, i Fredspalatset, i samma rum där den jugoslaviska krigstribunalen hölls."
"We also wish to support the work of the International War Crimes Tribunal in The Hague and Rwanda.", "Ett stöd till den i Haag och Rwanda verkande internationella domstolen mot krigsförbrytelser hör också till våra önskemål."
"The man who is accused of genocide and who ought to be brought before the war crimes tribunal in the Hague still goes free.", "Den man som är anklagad för folkmord och borde ställas inför krigsterminalen i Haag går fortfarande fri."
"At the same time, our wish remains, of course, to ultimately see Mr Milosevic brought before the International War Tribunal in The Hague.", "Samtidigt kvarstår naturligtvis vår önskan att se Milosevic inför Internationella krigstribunalen i Haag."
"Every day that passes with the suspected perpetrators still at large undermines the credibility of the War Crimes Tribunal in the Hague.", "För varje dag som går och de misstänkta fortsätter att gå fria minskas förtroendet för krigstribunalen i Haag."
"The European Union is still demanding that war suspects be handed over to the international war tribunal in The Hague.", "Europeiska unionen kräver fortfarande att misstänkta krigsförbrytare skall överlämnas till den internationella tribunalen i Haag."
"We should also continue to support the Government, but I also believe that support for the war tribunal is absolutely necessary.", "Vårt stöd till regeringen måste fortsätta, men jag anser att vårt stöd till krigsdomstolen också är absolut nödvändigt."
"A permanent war crimes tribunal becomes a lodestar for respect for human rights, even in the lifeʼ s darkest moments.", "En permanent krigsförbrytardomstol blir en ledstjärna för respekt för mänskliga rättigheter, även i tillvarons mörkaste ögonblick."
"Does the Council consider that such accusations should be put before the War Crimes Tribunal for a thorough judicial investigation?", "Anser rådet att denna typ av anklagelser bör anföras i krigsförbrytartribunalen för en grundlig rättslig undersökning?"
"A permanent war crimes tribunal becomes a lodestar for respect for human rights, even in the life&#x02BC;s darkest moments.", "En permanent krigsförbrytardomstol blir en ledstjärna för respekt för mänskliga rättigheter, även i tillvarons mörkaste ögonblick."
