//Sentences
"Define the grid points spacing in the desired unit of measurement on the X-axis.", "Här definierar du avståndet mellan rasterpunkter på X-axeln i önskad måttenhet."
"It uses X-rays, X-ray beams, that are rotating very fast around the human body.", "Den använder röntgenstrålning, som roterar väldigt snabbt kring människokroppen."
"This position must not be regarded as a rejection of the rapporteur&#x02BC;s work.", "Ställningstagandet bör inte ses som ett ogillande av föredragandens arbete."
"The table below shows the presentation periods for the courses X0001E - X7005E.", "Nedan framgår de fastställda presentationsperioderna avseende kurserna X0001E - X7005E."
"In fact, they are like an x-ray of a society at a precise moment in time.", "I själva verket är de som en röntgenbild av ett samhälle vid en exakt tidpunkt."
"A xff (x[hexadecimal number ]) can be entered for a ASCII Code 255 character.", "För ett tecken enligt ASCII -Code 255 skriver Du xff (x[hexadecimalt tal])."
"You can see that there is [a] scattering of X-rays on the teeth, the metal in the teeth.", "Man kan se viss diffraktion av röntgenstrålar på tänderna, metallen i tänderna."
"X equals Y. (Laughter) This formula works wherever metaphor is present.", "X är lika med Y. ~~~ (Skratt) Denna formel fungerar oavsett var metaforen finns."
"Now the problem is there's an X-axis for that, which is the practical axis.", "Problemet är att det finns en X-axel för det, vilket är den praktiska axeln."
"Root canal... and by the looks of those x-rays... it's not going to be pretty.", "Rotfyllning, och om man tolkar röntgenplåtarna...... så kommer det inte att bli snyggt."
"We see no reason to reinforce the Commission&#x02BC;s role in this context.", "Vi ser ingen anledning att förstärka kommissionens roll i detta sammanhang."
"Select this option if you already use an address book in Mozilla or Netscape 6.x.", "Välj det här alternativet om du redan använder en adressbok i Mozilla eller Netscape 6.x."
"We cannot allow taxpayers&#x02BC; money to end up in the pockets of criminals.", "Vi kan inte låta skattebetalarnas medel hamna i brottslighetens fickor."
"And it's from X-ray crystallography, so it's an accurate model of DNA.", "Och det kommer från röntgenkristallografi, så det är en korrekt modell av DNA."
"This is contrary to Sweden&#x02BC;s policy of non-alignment and is not acceptable.", "Detta strider mot den svenska alliansfriheten och kan inte accepteras."
"In particular, we do not welcome the proposal to enshrine the euro-X Council in the Treaty.", "Vi välkomnar framför allt inte förslaget att låta fördraget omfatta Euro-X-rådet."
"&amp; amp; amp; #x2019;", "Ingen får dömas till ett sådant straff eller avrättas & amp; #x201D;."
