//Sentences
"It is almost like real life and yet there are some important differences.", "Det är nästan som i det riktiga livet, och ändå finns det viktiga skillnader."
"I believe she has absorbed this important, yet technical subject well.", "Jag tror att hon har satt sig in i detta viktiga men också tekniska ärende mycket väl."
"You will probably be aware that these informal, yet important, discussions have already begun.", "Ni vet sannolikt att dessa informella, och ändå viktiga, diskussioner redan har inletts."
"Yet the most important information consumers want to know is whether their product is actually safe.", "Ändå är den viktigaste informationen för konsumenterna om produkten faktiskt är säker."
"We therefore support the Luxembourg Presidency in this difficult, yet extremely important, task.", "Vi stöder därför det luxemburgska ordförandeskapet i denna svåra men ytterst viktiga uppgift."
"But this process is not complete yet on any single important issue.", "Men det har fortfarande inte skett i någon enskild viktig fråga."
"Yet it is important to try to draw up a common basic agenda.", "Ändå är det viktigt att försöka formulera en gemensam grunddagordning."
"This is yet another important issue for budgetary policy in 2009.", "Detta är ännu en viktig fråga för budgetpolitiken för 2009."
"All that remains for us to do is to make a small, yet important, step.", "Vi måste nu göra en liten men viktig överbryggning."
"Yet, it is important to create a solid social support base to set up the Natura 2000 network.", "Ändå är det viktigt att skapa ett starkt förankrat stöd i samhället för att upprätta Natura 2000-nätverket."
"A sensitive, yet important, point that was mentioned by many is the open-ended nature of the negotiations.", "En känslig men viktig punkt, som nämndes av många, är att utgången av förhandlingarna är öppen."
"Yet very important issues of principle are still outstanding.", "Mycket viktiga principfrågor är emellertid obesvarade."
"Yet it is an important first step that so many states have in fact subscribed to these principles.", "Trots det är det ett viktigt första steg att så många stater åtminstone har skrivit under de här principerna."
"Yet it is important, because the preventative effects of these kind of monitoring committees is excellent.", "Ändå är det viktigt, för denna typ av övervakningskommissioner har en ovanligt bra förebyggande verkan."
"This practical, yet important, loophole is identified in the own initiative report, which I voted in favour of.", "Detta praktiska, men kritiska, kryphål identifieras i detta initiativbetänkande som jag har röstat för."
"Those countries that have not yet ratified this important Convention were urged to do so without delay.", "Man har beslutsamt anmodat de länder som ännu inte ratificerat denna viktiga konvention att göra det utan dröjsmål."
"Yet more important, though, is what happens to a business when the older generation hands it on to the younger.", "Ännu viktigare är emellertid vad som händer med en verksamhet när den äldre generationen lämnar över till den yngre."
"Yet that is fairly important to people.", "Det här är ändå en fråga som engagerar människor."
"It is ridiculous that we should be involved in the minutiae of this directive given how complex and yet how important it is.", "Det är löjligt att vi ska diskutera detaljer i detta direktiv med tanke på hur komplicerat och viktigt det är."
"The directive before us, however, is somewhat limited, yet is very important for equality between persons, and in itself represents a step forward.", "Ursäkta mig, men jag är kvinna och jag anser inte att min könstillhörighet utgör en risk."
"Do you also remember what you swore to do... with every breath in your body?", "Kommer du också ihåg vad du svor att göra, så länge du andades?"
"Mr Flynn, if you hold your breath for too long you will do yourself an injury and then you might need the health card.", "Herr Flynn! Om ni håller andan för länge kommer ni att åsamka er en skada, och då kanske ni behöver ett sjukvårdskort."
"Hold your breath while we're on the bridge.", "Du måste hålla andan när vi är på bron."
"Do not hold your breath.", "Bli inte förvånade i så fall!"
"You know, catch your breath.", "Du du vet lugna dig lite."
"Save your breath Sid.", "Spara på krafterna Sid."
"Do not hold your breath.", "Spara inga krafter."
"Do not hold your breath in expecting our Taoiseach's road map - that is, if you get one - to announce a date for a referendum.", "Vänta er inte att vår premiärminister snart ska komma med en färdplan där han fastställer datumet för en ny omröstning, om han nu gör det överhuvudtaget."
"It really takes your breath away that there are plenty of other airlines who would be filling to fill the slots but are unable to because Air India is holding onto them.", "Man häpnar över att det finns massor av flygbolag som gärna skulle vilja ha dessa avgångs- och ankomsttider, men som inte kan använda dem för att Air India håller fast vid dem."
"I will work overtime, weekends, holidays, Yom Kippur, Christmas.", "Jag kan jobba över, helger, semester, Yom Kippur, jul."
"YoM is about making the transition from learning and training into the labour market easier for Europe's young people.", "Unga på väg handlar om att underlätta övergången från utbildning till arbetsmarknad för Europas ungdomar."
"The attack in Haifa on the eve of Yom Kippur is a further example of what must never again be allowed to happen.", "Attacken i Haifa kvällen före yom kippur är ytterligare ett exempel på något som aldrig mer får tillåtas att hända."
"The attack in Haifa on the eve of Yom Kippur is a further example of what must never again be allowed to happen.", "Attacken i Haifa kvällen före yom kippur är ytterligare ett exempel på något som aldrig mer får tillåtas att hända."
"The YoM initiative supports lifelong learning and the 'new skills for new jobs' initiative of the European Commission.", "Initiativet Unga på väg stöder livslångt lärande och kommissionens initiativ om ny kompetens för nya arbetstillfällen."
"Youth on the Move (YoM) is one of the flagship initiatives of the Europe 2020 strategy for the promotion of smart, sustainable and inclusive economic growth.", "Initiativet Unga på väg är ett av de flaggskeppsinitiativ som ingår i Europa 2020-strategin för smart och hållbar tillväxt för alla."
"YoM looks to improve higher level education within Europe and to improve student and worker mobility through existing European programmes.", "Initiativet Unga på väg syftar till att förbättra den högre utbildningen inom Europa samt studenters och arbetstagares rörlighet genom befintliga EU-program."
"Youth on the Move (YoM) is one of seven flagship initiatives contained in the Commission's Europe 2020 strategy to promote smart, sustainable and inclusive economic growth.", "Unga på väg är ett av sju flaggskeppsinitiativ som ingår i kommissionens Europa 2020-strategi för smart och hållbar tillväxt för alla."
"YoM outlines key courses of action for increasing young people's education and training by means of mobility, and thus for facilitating their entry into the labour market.", "Initiativet anger centrala åtgärder för att förbättra ungdomars utbildning genom rörlighet och på så sätt underlätta deras inträde på arbetsmarknaden."
"Lastly, we have taken note of the 700 posts you request from us, Commissioner.", "Slutligen har vi noterat de 700 nya tjänster ni begär av oss, fru kommissionär."
"If you insist on your request, I will take every one of these as a roll-call vote.", "Om du vidhåller din begäran ska jag ta alla dessa som en omröstning med namnupprop."
"Once you have your publisher ID you can request live ads and start earning money.", "När du har fått ditt utgivar-ID kan du begära aktiva annonser och börja tjäna pengar."
"I ask you to repeat Parliament's request that the Council participate in this debate.", "Jag ber att ni upprepar parlamentets begäran till rådet att delta i denna debatt."
"Very well, Mr Puerta, we shall naturally make the corrections as you request.", "Tack, herr Puerta. Vi skall naturligtvis rätta till det enligt era önskemål."
"I shall therefore request you, colleagues, to be so kind as to put away your banners.", "Kära kolleger! Jag skall därför be er vara så vänliga att återta era skyltar."
"Please supply the relevant material and I will follow the matter up as you request.", "Om ni överlämnar det relevanta materialet så skall jag följa upp frågan som ni begär."
"That is my personal request to you, to Parliament and to you, Mr President.", "Det är min personliga begäran till er i parlamentet och till dig herr talman."
"I made a request that you should change your oral explanation into a written explanation.", "Jag bad att ni skulle ändra er muntliga förklaring till en skriftlig förklaring."
"Do you still request that this item be placed on the agenda of this sitting?", "Vidhålls begäran om att betänkandena skall tas upp under detta sammanträde?"
"You cannot request it alone; you need the support of 29 Members of the House.", "Ni kan inte göra begäran ensam, utan ni behöver understöd av 29 ledamöter."
"The report on biogas that you request from the Commission is certainly useful.", "Den rapport om biogas som ni begär från kommissionen är klart användbar."
"I wonder whether you could put that request to it at some stage this week.", "Jag undrar om ni skulle kunna framföra det förslaget till den någon gång denna vecka."
"Once you’ve submitted a removal request, you can check its status at any time.", "När du har skickat en begäran om borttagning kan du när som helst kontrollera dess status."
"Rest assured, Mr Alyssandrakis, the correction you request will be made.", "Herr Alyssandrakis! Den rättelse ni talar om kommer naturligtvis att göras."
"As I say, I have a request for you, Mr Vanhanen, from one Liberal to another, so to speak.", "Jag vill som sagt be er om en sak, herr Vanhanen, oss liberaler emellan, så att säga."
"As I say, I have a request for you, Mr Vanhanen, from one Liberal to another, so to speak.", "Jag vill som sagt be er om en sak, herr Vanhanen, oss liberaler emellan, så att säga."
"I shall suspend the sitting until 6.30 p.m. and request you to reassemble punctually.", "Jag avbryter alltså sammanträdet till kl. 18.30 och ber er sedan att infinna er punktligt!"
"Therefore, if the Council so wishes, it can reply in writing, as you request.", "Därför kan rådet, om det så önskar, svara skriftligt på era frågor."
"In this case you need to request removal of the other URLs in question.", "Även om en webbadress ser ut att vara identisk kan det finnas skillnader."
"more_vert open_in_new Link to statmt.org warning Request revision You now have AA, A+, A20, A40, and soon all products will have some type of A rating.", "expand_more Idag har vi AA, A+, A20, A40 och snart kommer alla produkter att ha någon typ av A-gradering."
"more_vert open_in_new Link to Luleå Tekniska Universitet warning Request revision English language as a subject at Luleå University of Technology gets top marks in a new Quality Review from Swedish National Agency for Higher Education (HSV).", "toppbetyg i en ny kvalitetsgranskning av Högskoleverket (HSV)."
"I should now like to make two remarks to Mr García-Margallo y Marfil and Mrs Kauppi.", "Jag skulle nu vilja säga ett par saker till García-Margallo y Marfil och Kauppi."
"Margallo y Marfil has just said.", "Jag har med stort intresse lyssnat till vad García-Margallo y Marfil just sade."
"Margallo y Marfil has just said.", "Jag har med stort intresse lyssnat till vad García-Margallo y Marfil just sade."
"X equals Y. (Laughter) This formula works wherever metaphor is present.", "X är lika med Y. ~~~ (Skratt) Denna formel fungerar oavsett var metaforen finns."
"Check this box if you want to display the Y axis as a line with subdivisions.", "Markera den här rutan om Y-axeln ska visas som linje med indelningsmärken."
"Check this box and enter the desired Y axis title in the respective text field.", "Om du aktiverar den här rutan, kan du skriva in den önskade rubriken för Y-axeln i textfältet."
"(B5-0154/2002) by Mr García-Margallo y Marfil, on behalf of the PPE-DE Group, on clementines.", "(B5-0154/2002) av García-Margallo y Marfil för PPE-DE-gruppen om klementiner."
"Let me also thank the rapporteur, Mr García-Margallo y Marfil, for his excellent work.", "Tillåt mig också att tacka föredraganden García Margallo y Marfil för hans utmärkta arbete."
"Their rapporteur, Mr Ripoll y Martínez de Bedoya, unfortunately cannot be with us this evening.", "Deras föredragande, Ripoll y Martínez de Bedoya, kan tyvärr inte vara här i kväll."
"Specify in which position to display the values along the y axis.", "Här anger Du den position utmed axeln där ursprunget för de visade värdena ska ligga."
"In fact, we can accept Amendments 4 and 7 of Mr García-Margallo y Marfil's report.", "Vi kan faktiskt godta ändringsförslagen 4 och 7 i José Manuel García-Margallo y Marfils betänkande."
"If you want to display gridlines extending from the y axis, click here.", "Om Du vill att gitterlinjerna ska utgå från y-axeln klickar Du här."
"Here, you can determine the position of the vertical snap line or the Y coordinate of the snap point.", "Här anger Du en vertikal stödlinjes placering eller en stödpunkts Y-koordinat."
"Mark this check box to change the scaling of the Y axis.", "Om du vill ha en annan skalning av y-axeln, väljer du det här alternativfältet."
"Define the distance between the grid points on the Y-axis.", "Här anger Du avståndet mellan rasterpunkterna på Y-axeln i önskad måttenhet."
"We will consider instead Mr García-Margallo y Marfil's report.", "Vi kommer snarare att arbeta på betänkandet av García-Margallo y Marfil."
"Click the respective buttons to define the texture for the object Y axis.", "Med de tillhörande kommandoknapparna bestämmer Du för Ditt objekts Y-axel hur texturen ska placeras."
"On the Y-axis is the cumulative instances of contagion, and on the X-axis is the time.", "På Y-axeln är kumulerade smittan, och på X-axeln är tiden."
"Questions to 41 by José Manuel García-Margallo y Marfil (H-0800/02):", "Fråga nr 41 av José Manuel García-Margallo y Marfil (H-0800/02):"
